kode_provinsi ;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
15;JAMBI;1508;Kab. Bungo;150812;Bungo Dani;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150812;Bungo Dani;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;Kab. Bungo;150812;Bungo Dani;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;Kab. Bungo;150812;Bungo Dani;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150812;Bungo Dani;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150812;Bungo Dani;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;1
15;JAMBI;1508;Kab. Bungo;150804;Jujuhan;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150804;Jujuhan;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;Kab. Bungo;150804;Jujuhan;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;Kab. Bungo;150804;Jujuhan;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150804;Jujuhan;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150804;Jujuhan;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150816;Jujuhan Ilir;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150816;Jujuhan Ilir;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;Kab. Bungo;150816;Jujuhan Ilir;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;Kab. Bungo;150816;Jujuhan Ilir;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150816;Jujuhan Ilir;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150816;Jujuhan Ilir;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150807;Limbur Lubuk Mengkuang;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150807;Limbur Lubuk Mengkuang;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1508;Kab. Bungo;150807;Limbur Lubuk Mengkuang;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;Kab. Bungo;150807;Limbur Lubuk Mengkuang;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150807;Limbur Lubuk Mengkuang;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150807;Limbur Lubuk Mengkuang;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150808;Muko Muko Batin VII;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150808;Muko Muko Batin VII;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;Kab. Bungo;150808;Muko Muko Batin VII;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;Kab. Bungo;150808;Muko Muko Batin VII;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150808;Muko Muko Batin VII;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150808;Muko Muko Batin VII;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150806;Pelepat;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150806;Pelepat;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;Kab. Bungo;150806;Pelepat;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;3
15;JAMBI;1508;Kab. Bungo;150806;Pelepat;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
15;JAMBI;1508;Kab. Bungo;150806;Pelepat;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150806;Pelepat;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150809;Pelepat Ilir;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150809;Pelepat Ilir;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1508;Kab. Bungo;150809;Pelepat Ilir;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;2
15;JAMBI;1508;Kab. Bungo;150809;Pelepat Ilir;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150809;Pelepat Ilir;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
15;JAMBI;1508;Kab. Bungo;150809;Pelepat Ilir;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
