kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;kode_kecamatan;nama_kecamatan;nilai_idm_kecamatan;status_idm_kecamatan;tahun
15;JAMBI;1508;BUNGO;150812;BUNGO DANI;0,7471;MAJU;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;0,7456;MAJU;2024
15;JAMBI;1503;SAROLANGUN;150311;MANDIANGIN TIMUR;0,7436;MAJU;2024
15;JAMBI;1509;TEBO;150909;TENGAH ILIR;0,7411;MAJU;2024
15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;0,7408;MAJU;2024
15;JAMBI;1501;KERINCI;150123;DANAU KERINCI  BARAT;0,7406;MAJU;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;0,7382;MAJU;2024
15;JAMBI;1502;MERANGIN;150205;TABIR;0,7377;MAJU;2024
15;JAMBI;1508;BUNGO;150810;BATIN II  BABEKO;0,7356;MAJU;2024
15;JAMBI;1508;BUNGO;150804;JUJUHAN;0,7354;MAJU;2024
15;JAMBI;1505;MUARO JAMBI;150511;TAMAN  RAJO;0,7328;MAJU;2024
15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;0,7300;MAJU;2024
15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;0,7296;MAJU;2024
15;JAMBI;1501;KERINCI;150117;DEPATI  TUJUH;0,7291;MAJU;2024
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;0,7285;MAJU;2024
15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;0,7276;MAJU;2024
15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN  GEDANG;0,7261;MAJU;2024
15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;0,7215;MAJU;2024
15;JAMBI;1509;TEBO;150902;TEBO ILIR;0,7213;MAJU;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;0,7196;MAJU;2024
15;JAMBI;1508;BUNGO;150806;PELEPAT;0,7189;MAJU;2024
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;0,7171;MAJU;2024
15;JAMBI;1502;MERANGIN;150207;TABIR ULU;0,7163;MAJU;2024
15;JAMBI;1501;KERINCI;150122;TANAH COGOK;0,7163;MAJU;2024
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;0,7135;MAJU;2024
15;JAMBI;1508;BUNGO;150805;TANAH SEPENGGAL;0,7129;MAJU;2024
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;0,7116;MAJU;2024
15;JAMBI;1501;KERINCI;150116;SIULAK;0,7110;MAJU;2024
15;JAMBI;1508;BUNGO;150808;MUKO-MUKO BATHIN VII;0,7107;MAJU;2024
15;JAMBI;1503;SAROLANGUN;150305;PELAWAN;0,7097;MAJU;2024
15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;0,7090;MAJU;2024
15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;0,7079;MAJU;2024
15;JAMBI;1508;BUNGO;150815;BATHIN II  PELAYANG;0,7066;BERKEMBANG;2024
15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;0,7061;BERKEMBANG;2024
15;JAMBI;1508;BUNGO;150814;BATHIN III  ULU;0,7051;BERKEMBANG;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;0,7039;BERKEMBANG;2024
15;JAMBI;1508;BUNGO;150816;JUJUHAN  ILIR;0,7025;BERKEMBANG;2024
15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;0,7019;BERKEMBANG;2024
15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;0,7013;BERKEMBANG;2024
15;JAMBI;1509;TEBO;150903;TEBO ULU;0,7011;BERKEMBANG;2024
15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;0,6972;BERKEMBANG;2024
15;JAMBI;1509;TEBO;150901;TEBO TENGAH;0,6944;BERKEMBANG;2024
15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;0,6942;BERKEMBANG;2024
15;JAMBI;1508;BUNGO;150801;TANAH TUMBUH;0,6930;BERKEMBANG;2024
15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;0,6900;BERKEMBANG;2024
15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;0,6891;BERKEMBANG;2024
15;JAMBI;1508;BUNGO;150802;RANTAU PANDAN;0,6879;BERKEMBANG;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;0,6844;BERKEMBANG;2024
15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;0,6842;BERKEMBANG;2024
15;JAMBI;1509;TEBO;150910;SERAI  SERUMPUN;0,6839;BERKEMBANG;2024
15;JAMBI;1502;MERANGIN;150201;JANGKAT;0,6818;BERKEMBANG;2024
15;JAMBI;1503;SAROLANGUN;150306;MANDIANGIN;0,6816;BERKEMBANG;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;0,6808;BERKEMBANG;2024
15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;0,6788;BERKEMBANG;2024
15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;0,6757;BERKEMBANG;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;0,6757;BERKEMBANG;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;0,6727;BERKEMBANG;2024
15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;0,6716;BERKEMBANG;2024
15;JAMBI;1508;BUNGO;150817;TANAH SEPENGGAL LINTAS;0,6705;BERKEMBANG;2024
15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;0,6669;BERKEMBANG;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;0,6638;BERKEMBANG;2024
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;0,6627;BERKEMBANG;2024
15;JAMBI;1503;SAROLANGUN;150304;PAUH;0,6606;BERKEMBANG;2024
15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;0,6596;BERKEMBANG;2024
