id;kode_provinsi ;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
81;15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
82;15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
83;15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
84;15;JAMBI;1508;150804;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
85;15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
86;15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
87;15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
88;15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
89;15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
90;15;JAMBI;1508;150816;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
91;15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
92;15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
93;15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
94;15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
95;15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
96;15;JAMBI;1508;150807;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
97;15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
98;15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
99;15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
100;15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
101;15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
102;15;JAMBI;1508;150808;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
103;15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
104;15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
105;15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;3
106;15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
107;15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
108;15;JAMBI;1508;150806;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
109;15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
110;15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
111;15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;2
112;15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
113;15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
114;15;JAMBI;1508;150809;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
115;15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
116;15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
117;15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
118;15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
119;15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
120;15;JAMBI;1508;150802;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
121;15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;1
122;15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;4
123;15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
124;15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
125;15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
126;15;JAMBI;1508;150813;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
127;15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
128;15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
129;15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
130;15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
131;15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
132;15;JAMBI;1508;150805;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
133;15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
134;15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
135;15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
136;15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
137;15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
138;15;JAMBI;1508;150817;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
139;15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
140;15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
141;15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
142;15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
143;15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
144;15;JAMBI;1508;150801;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
145;15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
146;15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
147;15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
148;15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
149;15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
150;15;JAMBI;1501;150105;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
151;15;JAMBI;1501;150121;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
152;15;JAMBI;1501;150121;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
153;15;JAMBI;1501;150121;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
154;15;JAMBI;1501;150121;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
