id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;jumlah_produktivitas;satuan;tahun
;15;JAMBI;1508;JAHE;0,85;KG/M²;2024
;15;JAMBI;1508;KENCUR;0,76;KG/M²;2024
;15;JAMBI;1508;KUNYIT;1,22;KG/M²;2024
;15;JAMBI;1508;LAOS;1,50;KG/M²;2024
;15;JAMBI;1509;JAHE;1,11;KG/M²;2024
;15;JAMBI;1509;KENCUR;1,12;KG/M²;2024
;15;JAMBI;1509;KUNYIT;1,12;KG/M²;2024
;15;JAMBI;1509;LAOS;1,12;KG/M²;2024
;15;JAMBI;1571;JAHE;0,56;KG/M²;2024
;15;JAMBI;1571;KENCUR;0,73;KG/M²;2024
;15;JAMBI;1571;KUNYIT;0,46;KG/M²;2024
;15;JAMBI;1571;LAOS;0,63;KG/M²;2024
;15;JAMBI;1572;JAHE;4,24;KG/M²;2024
;15;JAMBI;1572;KENCUR;3,15;KG/M²;2024
;15;JAMBI;1572;KUNYIT;4,13;KG/M²;2024
;15;JAMBI;1572;LAOS;4,93;KG/M²;2024
