NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
119;15;JAMBI;1502;150212;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;6198;2022
120;15;JAMBI;1502;150212;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;5993;2022
121;15;JAMBI;1502;150213;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;9087;2022
122;15;JAMBI;1502;150213;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;8818;2022
123;15;JAMBI;1502;150213;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;9282;2022
124;15;JAMBI;1502;150213;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;9007;2022
125;15;JAMBI;1502;150214;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;4834;2022
126;15;JAMBI;1502;150214;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;4750;2022
127;15;JAMBI;1502;150214;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;5019;2022
128;15;JAMBI;1502;150214;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;4901;2022
129;15;JAMBI;1502;150215;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;4073;2022
130;15;JAMBI;1502;150215;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;3902;2022
131;15;JAMBI;1502;150215;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;4190;2022
132;15;JAMBI;1502;150215;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;4022;2022
133;15;JAMBI;1502;150216;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;6983;2022
134;15;JAMBI;1502;150216;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;6628;2022
135;15;JAMBI;1502;150216;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;7096;2022
136;15;JAMBI;1502;150216;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;6725;2022
137;15;JAMBI;1502;150217;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;3381;2022
138;15;JAMBI;1502;150217;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;3471;2022
139;15;JAMBI;1502;150217;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;3432;2022
140;15;JAMBI;1502;150217;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;3539;2022
141;15;JAMBI;1502;150218;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;5286;2022
142;15;JAMBI;1502;150218;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;4963;2022
143;15;JAMBI;1502;150218;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;5466;2022
144;15;JAMBI;1502;150218;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;5140;2022
145;15;JAMBI;1502;150219;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;7419;2022
146;15;JAMBI;1502;150219;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;7177;2022
147;15;JAMBI;1502;150219;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;7530;2022
148;15;JAMBI;1502;150219;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;7252;2022
149;15;JAMBI;1502;150220;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;5504;2022
150;15;JAMBI;1502;150220;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;5317;2022
151;15;JAMBI;1502;150220;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;5620;2022
152;15;JAMBI;1502;150220;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;5401;2022
153;15;JAMBI;1502;150221;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;7048;2022
154;15;JAMBI;1502;150221;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;6841;2022
155;15;JAMBI;1502;150221;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;7163;2022
156;15;JAMBI;1502;150221;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;6957;2022
157;15;JAMBI;1502;150222;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;4290;2022
158;15;JAMBI;1502;150222;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;4137;2022
159;15;JAMBI;1502;150222;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;4376;2022
160;15;JAMBI;1502;150222;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;4196;2022
161;15;JAMBI;1502;150223;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;4861;2022
162;15;JAMBI;1502;150223;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;4825;2022
163;15;JAMBI;1502;150223;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;4981;2022
164;15;JAMBI;1502;150223;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;4927;2022
165;15;JAMBI;1502;150224;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;2458;2022
166;15;JAMBI;1502;150224;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;2412;2022
167;15;JAMBI;1502;150224;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;2505;2022
168;15;JAMBI;1502;150224;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;2441;2022
169;15;JAMBI;1503;150301;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;9376;2022
170;15;JAMBI;1503;150301;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;9314;2022
171;15;JAMBI;1503;150301;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;10048;2022
172;15;JAMBI;1503;150301;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;9871;2022
173;15;JAMBI;1503;150302;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;9276;2022
174;15;JAMBI;1503;150302;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;9005;2022
175;15;JAMBI;1503;150302;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;9802;2022
176;15;JAMBI;1503;150302;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;9444;2022
177;15;JAMBI;1503;150303;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;28952;2022
178;15;JAMBI;1503;150303;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;28364;2022
179;15;JAMBI;1503;150303;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;29690;2022
180;15;JAMBI;1503;150303;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;29011;2022
181;15;JAMBI;1503;150304;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;12580;2022
182;15;JAMBI;1503;150304;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;11923;2022
