id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah,tahun
407,15,JAMBI,1506,TANJUNG JABUNG BARAT,150601,TUNGKAL ULU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,10113,2022
408,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150711,BERBAK,PEREKAMAN KTP,WAJIB KTP,JIWA,1,7774,2022
409,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150706,DENDANG,PEREKAMAN KTP,WAJIB KTP,JIWA,1,12452,2022
410,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150710,GERAGAI,PEREKAMAN KTP,WAJIB KTP,JIWA,1,19337,2022
411,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150708,KUALA JAMBI,PEREKAMAN KTP,WAJIB KTP,JIWA,1,10831,2022
412,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150703,MENDAHARA,PEREKAMAN KTP,WAJIB KTP,JIWA,1,19656,2022
413,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150709,MENDAHARA ULU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,12028,2022
414,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150707,MUARA SABAK BARAT,PEREKAMAN KTP,WAJIB KTP,JIWA,1,15831,2022
415,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150701,MUARA SABAK TIMUR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,24237,2022
416,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150702,NIPAH PANJANG,PEREKAMAN KTP,WAJIB KTP,JIWA,1,19501,2022
417,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150704,RANTAU RASAU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,18965,2022
418,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150705,S A D U,PEREKAMAN KTP,WAJIB KTP,JIWA,1,9560,2022
419,15,JAMBI,1509,TEBO,150912,MUARA TABIR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,12883,2022
420,15,JAMBI,1509,TEBO,150904,RIMBO BUJANG,PEREKAMAN KTP,WAJIB KTP,JIWA,1,46672,2022
421,15,JAMBI,1509,TEBO,150908,RIMBO ILIR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,17766,2022
422,15,JAMBI,1509,TEBO,150907,RIMBO ULU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,28100,2022
423,15,JAMBI,1509,TEBO,150910,SERAI SERUMPUN,PEREKAMAN KTP,WAJIB KTP,JIWA,1,7455,2022
424,15,JAMBI,1509,TEBO,150905,SUMAY,PEREKAMAN KTP,WAJIB KTP,JIWA,1,16870,2022
425,15,JAMBI,1509,TEBO,150902,TEBO ILIR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,20801,2022
426,15,JAMBI,1509,TEBO,150901,TEBO TENGAH,PEREKAMAN KTP,WAJIB KTP,JIWA,1,28766,2022
427,15,JAMBI,1509,TEBO,150903,TEBO ULU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,25079,2022
428,15,JAMBI,1509,TEBO,150909,TENGAH ILIR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,18826,2022
429,15,JAMBI,1509,TEBO,150906,VII KOTO,PEREKAMAN KTP,WAJIB KTP,JIWA,1,13941,2022
430,15,JAMBI,1509,TEBO,150911,VII KOTO ILIR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,13144,2022
431,15,JAMBI,1504,BATANGHARI,150407,BAJUBANG,PEREKAMAN KTP,REKAM KTP,JIWA,1,27023,2022
432,15,JAMBI,1504,BATANGHARI,150404,BATIN XXIV,PEREKAMAN KTP,REKAM KTP,JIWA,1,20727,2022
433,15,JAMBI,1504,BATANGHARI,150408,MARO SEBO ILIR,PEREKAMAN KTP,REKAM KTP,JIWA,1,10586,2022
434,15,JAMBI,1504,BATANGHARI,150406,MARO SEBO ULU,PEREKAMAN KTP,REKAM KTP,JIWA,1,23514,2022
435,15,JAMBI,1504,BATANGHARI,150401,MERSAM,PEREKAMAN KTP,REKAM KTP,JIWA,1,21740,2022
436,15,JAMBI,1504,BATANGHARI,150403,MUARA BULIAN,PEREKAMAN KTP,REKAM KTP,JIWA,1,47100,2022
437,15,JAMBI,1504,BATANGHARI,150402,MUARA TEMBESI,PEREKAMAN KTP,REKAM KTP,JIWA,1,22839,2022
438,15,JAMBI,1504,BATANGHARI,150405,PEMAYUNG,PEREKAMAN KTP,REKAM KTP,JIWA,1,24629,2022
439,15,JAMBI,1508,BUNGO,150815,BATHIN II PELAYANG,PEREKAMAN KTP,REKAM KTP,JIWA,1,6101,2022
440,15,JAMBI,1508,BUNGO,150811,BATHIN III,PEREKAMAN KTP,REKAM KTP,JIWA,1,17600,2022
441,15,JAMBI,1508,BUNGO,150814,BATHIN III ULU,PEREKAMAN KTP,REKAM KTP,JIWA,1,6429,2022
442,15,JAMBI,1508,BUNGO,150810,BATIN II BABEKO,PEREKAMAN KTP,REKAM KTP,JIWA,1,9577,2022
443,15,JAMBI,1508,BUNGO,150812,BUNGO DANI,PEREKAMAN KTP,REKAM KTP,JIWA,1,18493,2022
444,15,JAMBI,1508,BUNGO,150804,JUJUHAN,PEREKAMAN KTP,REKAM KTP,JIWA,1,12633,2022
445,15,JAMBI,1508,BUNGO,150816,JUJUHAN ILIR,PEREKAMAN KTP,REKAM KTP,JIWA,1,7594,2022
446,15,JAMBI,1508,BUNGO,150807,LIMBUR LUBUK MENGKUANG,PEREKAMAN KTP,REKAM KTP,JIWA,1,11429,2022
447,15,JAMBI,1508,BUNGO,150808,MUKO-MUKO BATHIN VII,PEREKAMAN KTP,REKAM KTP,JIWA,1,10589,2022
448,15,JAMBI,1508,BUNGO,150803,PASAR MUARO BUNGO,PEREKAMAN KTP,REKAM KTP,JIWA,1,14649,2022
449,15,JAMBI,1508,BUNGO,150806,PELEPAT,PEREKAMAN KTP,REKAM KTP,JIWA,1,23503,2022
450,15,JAMBI,1508,BUNGO,150809,PELEPAT ILIR,PEREKAMAN KTP,REKAM KTP,JIWA,1,35353,2022
451,15,JAMBI,1508,BUNGO,150802,RANTAU PANDAN,PEREKAMAN KTP,REKAM KTP,JIWA,1,7181,2022
452,15,JAMBI,1508,BUNGO,150813,RIMBO TENGAH,PEREKAMAN KTP,REKAM KTP,JIWA,1,21878,2022
453,15,JAMBI,1508,BUNGO,150805,TANAH SEPENGGAL,PEREKAMAN KTP,REKAM KTP,JIWA,1,16822,2022
454,15,JAMBI,1508,BUNGO,150817,TANAH SEPENGGAL LINTAS,PEREKAMAN KTP,REKAM KTP,JIWA,1,16891,2022
