NO ;KODE KABUPATEN/KOTA;KODE KECAMATAN;KODE DESA;NILAI IDM;STATUS IDM
189;1502;150218;1502182003;0,8068;MAJU
190;1502;150218;1502182007;0,7125;MAJU
191;1502;150218;1502182008;0,7479;MAJU
192;1502;150218;1502182010;0,7144;MAJU
193;1502;150218;1502182011;0,7311;MAJU
194;1502;150218;1502182015;0,7197;MAJU
195;1502;150220;1502202003;0,7746;MAJU
196;1502;150221;1502212001;0,7394;MAJU
197;1502;150223;1502232001;0,8092;MAJU
198;1502;150223;1502232002;0,7641;MAJU
199;1502;150223;1502232003;0,757;MAJU
200;1502;150223;1502232006;0,7105;MAJU
201;1502;150223;1502232007;0,7195;MAJU
202;1502;150223;1502232011;0,7606;MAJU
203;1502;150223;1502232012;0,7386;MAJU
204;1502;150224;1502242001;0,7273;MAJU
205;1502;150224;1502242002;0,7737;MAJU
206;1502;150224;1502242003;0,7424;MAJU
207;1503;150301;1503012011;0,7254;MAJU
208;1503;150302;1503022016;0,7079;MAJU
209;1503;150303;1503032005;0,713;MAJU
210;1503;150303;1503032013;0,736;MAJU
211;1503;150303;1503032027;0,7116;MAJU
212;1503;150303;1503032028;0,7984;MAJU
213;1503;150304;1503042002;0,7543;MAJU
214;1503;150304;1503042006;0,7343;MAJU
215;1503;150305;1503052002;0,7786;MAJU
216;1503;150305;1503052013;0,7538;MAJU
217;1503;150305;1503052016;0,7948;MAJU
218;1503;150305;1503052019;0,7229;MAJU
219;1503;150305;1503052022;0,7303;MAJU
220;1503;150306;1503062022;0,7378;MAJU
221;1503;150307;1503072002;0,7643;MAJU
222;1503;150307;1503072009;0,7189;MAJU
223;1503;150308;1503082001;0,7413;MAJU
224;1503;150308;1503082002;0,7113;MAJU
225;1503;150308;1503082008;0,7427;MAJU
226;1503;150308;1503082009;0,7092;MAJU
227;1503;150308;1503082012;0,7302;MAJU
228;1503;150309;1503092005;0,7419;MAJU
229;1503;150309;1503092007;0,7971;MAJU
230;1503;150309;1503092008;0,7975;MAJU
231;1503;150309;1503092009;0,7378;MAJU
232;1503;150309;1503092010;0,7265;MAJU
233;1503;150309;1503092011;0,7484;MAJU
234;1503;150309;1503092012;0,7956;MAJU
235;1503;150309;1503092013;0,7713;MAJU
236;1503;150310;1503102001;0,7303;MAJU
237;1503;150310;1503102003;0,7556;MAJU
238;1503;150310;1503102004;0,7527;MAJU
239;1503;150310;1503102005;0,7552;MAJU
240;1503;150310;1503102006;0,721;MAJU
241;1503;150310;1503102009;0,7375;MAJU
242;1503;150311;1503112002;0,7525;MAJU
243;1503;150311;1503112008;0,7497;MAJU
244;1503;150311;1503112009;0,7225;MAJU
245;1504;150401;1504012002;0,7183;MAJU
246;1504;150401;1504012003;0,7646;MAJU
247;1504;150401;1504012011;0,7929;MAJU
248;1504;150401;1504012015;0,7533;MAJU
249;1504;150402;1504022003;0,7843;MAJU
250;1504;150402;1504022005;0,741;MAJU
251;1504;150402;1504022007;0,7476;MAJU
252;1504;150402;1504022008;0,7592;MAJU
253;1504;150402;1504022011;0,8119;MAJU
254;1504;150402;1504022013;0,7927;MAJU
255;1504;150402;1504022015;0,7537;MAJU
256;1504;150403;1504032015;0,8003;MAJU
257;1504;150403;1504032016;0,7876;MAJU
258;1504;150403;1504032017;0,7914;MAJU
259;1504;150403;1504032020;0,8108;MAJU
260;1504;150403;1504032021;0,7721;MAJU
261;1504;150404;1504042001;0,8114;MAJU
262;1504;150404;1504042002;0,7871;MAJU
263;1504;150404;1504042004;0,7276;MAJU
264;1504;150404;1504042007;0,8154;MAJU
265;1504;150404;1504042008;0,8108;MAJU
266;1504;150405;1504052005;0,794;MAJU
267;1504;150405;1504052006;0,7402;MAJU
268;1504;150405;1504052007;0,7797;MAJU
269;1504;150405;1504052010;0,7619;MAJU
270;1504;150405;1504052013;0,7198;MAJU
271;1504;150405;1504052014;0,7625;MAJU
272;1504;150405;1504052015;0,7837;MAJU
273;1504;150405;1504052016;0,7625;MAJU
274;1504;150405;1504052017;0,7508;MAJU
275;1504;150405;1504052019;0,7943;MAJU
276;1504;150405;1504052020;0,7841;MAJU
277;1504;150406;1504062004;0,7629;MAJU
278;1504;150406;1504062005;0,7863;MAJU
279;1504;150406;1504062008;0,7586;MAJU
280;1504;150406;1504062009;0,7092;MAJU
281;1504;150406;1504062010;0,7179;MAJU
282;1504;150406;1504062011;0,7392;MAJU
283;1504;150406;1504062012;0,7105;MAJU
284;1504;150406;1504062013;0,7325;MAJU
285;1504;150406;1504062017;0,774;MAJU
286;1504;150408;1504082003;0,8114;MAJU
287;1504;150408;1504082004;0,7811;MAJU
288;1505;150501;1505012010;0,7278;MAJU
289;1505;150501;1505012013;0,7567;MAJU
290;1505;150502;1505022001;0,7427;MAJU
291;1505;150502;1505022003;0,8151;MAJU
292;1505;150502;1505022004;0,7948;MAJU
293;1505;150502;1505022005;0,7146;MAJU
294;1505;150502;1505022006;0,7365;MAJU
295;1505;150502;1505022007;0,7316;MAJU
296;1505;150502;1505022008;0,7756;MAJU
297;1505;150502;1505022009;0,7808;MAJU
298;1505;150502;1505022011;0,75;MAJU
299;1505;150502;1505022014;0,7403;MAJU
300;1505;150502;1505022016;0,7827;MAJU
301;1505;150503;1505032006;0,7111;MAJU
302;1505;150504;1505042001;0,7608;MAJU
303;1505;150504;1505042003;0,776;MAJU
304;1505;150504;1505042004;0,7819;MAJU
305;1505;150504;1505042005;0,7841;MAJU
306;1505;150504;1505042006;0,7116;MAJU
307;1505;150504;1505042016;0,7237;MAJU
308;1505;150504;1505042020;0,7386;MAJU
309;1505;150505;1505052001;0,719;MAJU
310;1505;150505;1505052005;0,7779;MAJU
311;1505;150505;1505052006;0,7862;MAJU
312;1505;150505;1505052015;0,7073;MAJU
313;1505;150505;1505052017;0,7135;MAJU
314;1505;150505;1505052019;0,7305;MAJU
315;1505;150506;1505062001;0,7748;MAJU
316;1505;150506;1505062013;0,716;MAJU
317;1505;150506;1505062016;0,7083;MAJU
318;1505;150506;1505062023;0,7127;MAJU
319;1505;150507;1505072006;0,7848;MAJU
320;1505;150507;1505072012;0,7078;MAJU
321;1505;150507;1505072013;0,7316;MAJU
322;1505;150507;1505072018;0,7562;MAJU
323;1505;150507;1505072021;0,7767;MAJU
324;1505;150507;1505072033;0,7283;MAJU
325;1505;150507;1505072034;0,7137;MAJU
326;1505;150508;1505082002;0,8121;MAJU
327;1505;150508;1505082008;0,7894;MAJU
328;1505;150508;1505082010;0,8002;MAJU
329;1505;150508;1505082011;0,7078;MAJU
330;1505;150508;1505082012;0,7335;MAJU
331;1505;150508;1505082014;0,7763;MAJU
332;1505;150509;1505092009;0,7763;MAJU
333;1505;150510;1505102006;0,7281;MAJU
334;1505;150510;1505102009;0,7446;MAJU
335;1505;150511;1505112001;0,7576;MAJU
336;1505;150511;1505112003;0,7467;MAJU
337;1505;150511;1505112004;0,8152;MAJU
338;1505;150511;1505112009;0,7081;MAJU
339;1506;150601;1506012017;0,7092;MAJU
340;1506;150604;1506042001;0,7486;MAJU
341;1506;150604;1506042009;0,7698;MAJU
342;1506;150604;1506042013;0,7221;MAJU
343;1506;150604;1506042015;0,723;MAJU
344;1506;150604;1506042016;0,7381;MAJU
345;1506;150604;1506042017;0,721;MAJU
346;1506;150605;1506052006;0,7329;MAJU
347;1506;150605;1506052012;0,7321;MAJU
348;1506;150605;1506052021;0,7411;MAJU
349;1506;150606;1506062003;0,7149;MAJU
350;1506;150606;1506062004;0,754;MAJU
351;1506;150606;1506062006;0,7092;MAJU
352;1506;150606;1506062007;0,7075;MAJU
353;1506;150606;1506062009;0,7824;MAJU
354;1506;150606;1506062010;0,7686;MAJU
355;1506;150607;1506072002;0,7216;MAJU
356;1506;150607;1506072003;0,8038;MAJU
357;1506;150607;1506072005;0,7351;MAJU
358;1506;150608;1506082003;0,7494;MAJU
359;1506;150608;1506082004;0,7227;MAJU
360;1506;150608;1506082005;0,7073;MAJU
361;1506;150608;1506082006;0,72;MAJU
362;1506;150609;1506092003;0,7581;MAJU
363;1506;150609;1506092004;0,7175;MAJU
364;1506;150609;1506092007;0,774;MAJU
365;1506;150609;1506092008;0,7446;MAJU
366;1506;150609;1506092009;0,7184;MAJU
367;1506;150609;1506092010;0,7167;MAJU
368;1506;150611;1506112004;0,81;MAJU
369;1506;150613;1506132006;0,7887;MAJU
370;1507;150701;1507012002;0,7479;MAJU
371;1507;150701;1507012004;0,7733;MAJU
372;1507;150701;1507012011;0,7151;MAJU
373;1507;150701;1507012012;0,7086;MAJU
374;1507;150703;1507032001;0,7146;MAJU
375;1507;150703;1507032017;0,7075;MAJU
376;1507;150704;1507042005;0,8098;MAJU
377;1507;150706;1507062004;0,7744;MAJU
378;1507;150706;1507062008;0,7783;MAJU
379;1507;150708;1507082003;0,7905;MAJU
380;1507;150708;1507082006;0,7349;MAJU
381;1507;150710;1507102002;0,7446;MAJU
382;1507;150710;1507102005;0,7473;MAJU
383;1507;150710;1507102007;0,8154;MAJU
384;1507;150710;1507102008;0,7243;MAJU
385;1507;150710;1507102009;0,7537;MAJU
386;1507;150711;1507112003;0,8005;MAJU
387;1507;150711;1507112005;0,7863;MAJU
388;1508;150801;1508012004;0,7976;MAJU
389;1508;150802;1508022001;0,711;MAJU
390;1508;150802;1508022003;0,7317;MAJU
391;1508;150804;1508042001;0,7225;MAJU
392;1508;150804;1508042003;0,804;MAJU
393;1508;150804;1508042013;0,7854;MAJU
394;1508;150804;1508042015;0,7294;MAJU
395;1508;150805;1508052001;0,7378;MAJU
396;1508;150805;1508052003;0,7878;MAJU
397;1508;150805;1508052006;0,7425;MAJU
398;1508;150806;1508062002;0,7114;MAJU
399;1508;150806;1508062003;0,7484;MAJU
400;1508;150806;1508062010;0,769;MAJU
401;1508;150806;1508062011;0,7486;MAJU
402;1508;150806;1508062013;0,7448;MAJU
403;1508;150807;1508072004;0,7629;MAJU
404;1508;150807;1508072013;0,8114;MAJU
405;1508;150808;1508082002;0,7905;MAJU
406;1508;150808;1508082005;0,7322;MAJU
407;1508;150808;1508082006;0,7135;MAJU
408;1508;150808;1508082007;0,7581;MAJU
409;1508;150808;1508082008;0,7362;MAJU
410;1508;150809;1508092001;0,734;MAJU
411;1508;150809;1508092002;0,8065;MAJU
412;1508;150809;1508092003;0,7614;MAJU
413;1508;150809;1508092004;0,7413;MAJU
414;1508;150810;1508102002;0,7338;MAJU
415;1508;150810;1508102003;0,7806;MAJU
416;1508;150810;1508102004;0,7713;MAJU
417;1508;150811;1508112002;0,7424;MAJU
418;1508;150811;1508112005;0,7271;MAJU
419;1508;150811;1508112006;0,8016;MAJU
420;1508;150811;1508112007;0,8002;MAJU
421;1508;150811;1508112008;0,753;MAJU
422;1508;150812;1508122003;0,7698;MAJU
423;1508;150812;1508122004;0,7475;MAJU
424;1508;150812;1508122005;0,7165;MAJU
425;1508;150813;1508132003;0,7773;MAJU
426;1508;150814;1508142001;0,7394;MAJU
427;1508;150814;1508142003;0,7441;MAJU
428;1508;150814;1508142004;0,7075;MAJU
429;1508;150814;1508142008;0,7724;MAJU
430;1508;150816;1508162003;0,7213;MAJU
431;1508;150816;1508162004;0,7922;MAJU
432;1508;150816;1508162005;0,7822;MAJU
433;1508;150817;1508172006;0,7802;MAJU
434;1508;150817;1508172011;0,7208;MAJU
435;1509;150901;1509012003;0,8024;MAJU
436;1509;150901;1509012010;0,8124;MAJU
437;1509;150901;1509012012;0,7146;MAJU
438;1509;150902;1509022003;0,7746;MAJU
439;1509;150902;1509022004;0,8011;MAJU
440;1509;150902;1509022008;0,761;MAJU
441;1509;150902;1509022012;0,7448;MAJU
442;1509;150903;1509032018;0,7219;MAJU
443;1509;150904;1509042002;0,7917;MAJU
444;1509;150904;1509042003;0,8137;MAJU
445;1509;150904;1509042004;0,7486;MAJU
446;1509;150904;1509042005;0,7846;MAJU
447;1509;150904;1509042006;0,7122;MAJU
448;1509;150904;1509042007;0,7338;MAJU
449;1509;150904;1509042008;0,7257;MAJU
450;1509;150904;1509042013;0,7871;MAJU
451;1509;150904;1509042016;0,7095;MAJU
452;1509;150905;1509052001;0,7317;MAJU
453;1509;150905;1509052006;0,7189;MAJU
454;1509;150905;1509052011;0,7279;MAJU
455;1509;150906;1509062001;0,7665;MAJU
456;1509;150906;1509062002;0,7986;MAJU
457;1509;150906;1509062003;0,7695;MAJU
458;1509;150906;1509062004;0,7673;MAJU
459;1509;150906;1509062005;0,7898;MAJU
460;1509;150906;1509062007;0,8144;MAJU
461;1509;150906;1509062013;0,7727;MAJU
462;1509;150906;1509062014;0,7537;MAJU
463;1509;150906;1509062015;0,8111;MAJU
464;1509;150906;1509062016;0,7137;MAJU
465;1509;150907;1509072002;0,7397;MAJU
466;1509;150907;1509072004;0,7448;MAJU
467;1509;150908;1509082001;0,7706;MAJU
468;1509;150908;1509082003;0,7208;MAJU
469;1509;150908;1509082005;0,7281;MAJU
470;1509;150908;1509082006;0,7673;MAJU
471;1509;150908;1509082007;0,7186;MAJU
472;1509;150908;1509082008;0,7687;MAJU
473;1509;150908;1509082009;0,7281;MAJU
474;1509;150909;1509092001;0,7151;MAJU
475;1509;150909;1509092002;0,7084;MAJU
476;1509;150909;1509092004;0,7113;MAJU
477;1509;150909;1509092005;0,7284;MAJU
478;1509;150910;1509102002;0,7244;MAJU
479;1509;150911;1509112001;0,7076;MAJU
480;1509;150911;1509112003;0,7651;MAJU
481;1509;150911;1509112004;0,7465;MAJU
482;1509;150911;1509112005;0,7721;MAJU
483;1509;150912;1509122005;0,7183;MAJU
484;1509;150912;1509122008;0,7243;MAJU
485;1572;157205;1572052007;0,7398;MAJU
