no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;Day of tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
28;15;JAMBI;1508;BUNGO;RESTU BUMI ANUGERAH;1201230070369;01/12/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Lintas Sumatera Kilometer 2 Arah Padang
29;15;JAMBI;1506;TANJUNG JABUNG BARAT;HOKINDO KONTRUKSI MANDIRI;1201230078034;01/12/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Namirah Blok A, Kelurahan Sungai Nibung
30;15;JAMBI;1571;KOTA JAMBI;RUANG BUMI INDONESIA;1201230079092;01/12/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Perum Delima Mayang Blok Garuda No.1 Jl Lingkar Barat Ii
31;15;JAMBI;1505;MUARO JAMBI;TRI PRIMA BUANA;1201230085706;01/12/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Dusun Seroja
32;15;JAMBI;1509;TEBO;ARI AMRIL KARYA;1401230000228;01/14/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Patimura 
33;15;JAMBI;1505;MUARO JAMBI;TITIAN TERAS TANGGO BATU;1401230010567;01/14/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Rukun Tetangga 004, Rukun Warga 001, Kelurahan/ Desa Pijoan, Kecamatan Jambi Luar Kota, Kabupaten Muaro Jambi, Provinsi Jambi
34;15;JAMBI;1571;KOTA JAMBI;BISA FOTO KREATIF;1601230018943;01/16/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Surya Negara
35;15;JAMBI;1501;KERINCI;BERKAH FIQRI KERINCI;1601230021279;01/16/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Desa Siulak Kecil Mudik, Kecamatan Siulak 
36;15;JAMBI;1506;TANJUNG JABUNG BARAT;SAHARA PRATAMA MANDIRI;1601230055955;01/16/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jln. Kapten Darham
37;15;JAMBI;1507;TANJUNG JABUNG TIMUR;POETRA KURNIA;1601230060163;01/16/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Madrasah
38;15;JAMBI;1509;TEBO;KALAENA DUTA KONSTRUKSI;1601230080165;01/16/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Kalaena
39;15;JAMBI;1571;KOTA JAMBI;EFATA PRO;1601230080299;01/16/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Serunai Malam Iii
40;15;JAMBI;1571;KOTA JAMBI;ADHIKARI GLOBAL UTAMA;1701230008335;01/17/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl.Sumantri Brojonegoro
41;15;JAMBI;1571;KOTA JAMBI;CHINOS DESIGN;1701230008559;01/17/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Sersan Anwar Bay, Lr. Citra Perumahan Villa Delima Mayang Blok D Nomor 11
42;15;JAMBI;1503;SAROLANGUN;RIFKI PUTRA PRATAMA;1701230011597;01/17/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Desa Batu Emaoang
43;15;JAMBI;1502;MERANGIN;AZME MANDIRI SEJAHTERA;1701230012846;01/17/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Kel. Mampun
44;15;JAMBI;1571;KOTA JAMBI;MAJU JAYA TRANPORTASI;1701230027393;01/17/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Lrg. Pandoman
45;15;JAMBI;1506;TANJUNG JABUNG BARAT;NANDA KURNIA MANDIRI;1801230045304;01/18/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Parit Lapis Tomo
46;15;JAMBI;1571;KOTA JAMBI;AGEFI ALMAHYRA;1801230052662;01/18/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Jenderal Sudirman, No. 68
47;15;JAMBI;1571;KOTA JAMBI;WILDAN ALFATIH JAYA;1901230010892;01/19/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Gajah Mada
48;15;JAMBI;1571;KOTA JAMBI;TITIK BALIK BERSAMA;1901230017179;01/19/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Perumahan Teguh Permai Iii No.8A
49;15;JAMBI;1571;KOTA JAMBI;RAJO MUDO;1901230032207;01/19/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Griya Rukun Sentosa V, Blok B, No 19
50;15;JAMBI;1506;TANJUNG JABUNG BARAT;IKHSAN ZAINETTI;1901230046475;01/19/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Tebing Tinggi Rt. 014
51;15;JAMBI;1505;MUARO JAMBI;MARAWA MANAGEMENT;1901230047454;01/19/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Lintas Sumatera Dusun Kenali Kecil
52;15;JAMBI;1571;KOTA JAMBI;TRI KARYA BERSAUDARA;1901230058502;01/19/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Poros Bougenvile Lr. Sejahtera Perum Simp. Rimbo
53;15;JAMBI;1571;KOTA JAMBI;UBEID BERSAUDARA;1901230072893;01/19/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Kol. Pol. M. Thaher No.44
54;15;JAMBI;1571;KOTA JAMBI;ILHAM PUTRA CONSULTANT;2001230025967;01/20/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Perumahan Pesona Jambi Blok X Nomor 32
55;15;JAMBI;1505;MUARO JAMBI;MUTIARA SEJAHTERA ABADI;2101230004647;01/21/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Lopak Alai
56;15;JAMBI;1571;KOTA JAMBI;NARAYA ARTHA JAYA;2201230006415;01/22/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Malik Ibrahim
57;15;JAMBI;1504;BATANGHARI;JAYA MULYA EKA JAYA;2301230032202;01/23/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Bajubang Laut
58;15;JAMBI;1571;KOTA JAMBI;AUCHY WIJAYA;2401230028289;01/24/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Perumahan Puri Mayang Cluster Cassablanca No. K19
59;15;JAMBI;1508;BUNGO;BERSAMA GLAMINDO BUNGO;2401230046886;01/24/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Lintas Sumatra, Pasar Batang Bungo, Muaro Bungo
60;15;JAMBI;1571;KOTA JAMBI;SUMBER REZEKI KITA;2401230056178;01/24/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Serunai Malam 2.
