NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
92;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;62;ORANG;2021
93;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;47;ORANG;2021
94;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;52;ORANG;2021
95;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;55;ORANG;2021
96;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;41;ORANG;2021
97;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;35;ORANG;2021
98;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;43;ORANG;2021
99;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;79;ORANG;2021
100;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;14;ORANG;2021
101;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;61;ORANG;2022
102;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;83;ORANG;2022
103;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;60;ORANG;2022
104;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;47;ORANG;2022
