NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_laporan;jenis_penanganan;jumlah_perempuan_korban_yang_terlayani;jumlah;total_capaian
120;15;JAMBI;1571;PSIKIS;RUMAH AMAN;35;35;100
121;15;JAMBI;1572;SEKSUAL;BANTUAN HUKUM;31;31;100
122;15;JAMBI;1572;SEKSUAL;PSIKOLOG;31;31;100
123;15;JAMBI;1572;SEKSUAL;VISUM;31;31;100
124;15;JAMBI;1572;SEKSUAL;RUMAH AMAN;31;31;100
125;15;JAMBI;1572;FISIK;BANTUAN HUKUM;31;31;100
126;15;JAMBI;1572;FISIK;PSIKOLOG;31;31;100
127;15;JAMBI;1572;FISIK;VISUM;31;31;100
128;15;JAMBI;1572;FISIK;RUMAH AMAN;31;31;100
129;15;JAMBI;1572;PSIKIS;BANTUAN HUKUM;31;31;100
130;15;JAMBI;1572;PSIKIS;PSIKOLOG;31;31;100
131;15;JAMBI;1572;PSIKIS;VISUM;31;31;100
132;15;JAMBI;1572;PSIKIS;RUMAH AMAN;31;31;100
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
