kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;48;ORANG;2021
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;60;ORANG;2021
15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;42;ORANG;2021
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2021
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;46;ORANG;2021
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;102;ORANG;2021
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;47;ORANG;2021
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;73;ORANG;2022
15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;54;ORANG;2022
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;53;ORANG;2022
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;75;ORANG;2022
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;49;ORANG;2022
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;76;ORANG;2022
15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;42;ORANG;2022
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;57;ORANG;2022
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;66;ORANG;2022
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;102;ORANG;2022
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;49;ORANG;2022
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;15;ORANG;2023
15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;5;ORANG;2023
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;53;ORANG;2023
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;75;ORANG;2023
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2023
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;77;ORANG;2023
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;60;ORANG;2023
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;65;ORANG;2023
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;40;ORANG;2023
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;51;ORANG;2023
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;59;ORANG;2024
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;51;ORANG;2024
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;83;ORANG;2024
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2024
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;77;ORANG;2024
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;65;ORANG;2024
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2024
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;51;ORANG;2024
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;62;ORANG;2021
15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;84;ORANG;2021
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;62;ORANG;2021
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;47;ORANG;2021
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;52;ORANG;2021
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;55;ORANG;2021
15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;41;ORANG;2021
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;35;ORANG;2021
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;43;ORANG;2021
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;79;ORANG;2021
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;14;ORANG;2021
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;61;ORANG;2022
15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;83;ORANG;2022
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;60;ORANG;2022
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;47;ORANG;2022
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;51;ORANG;2022
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2022
15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;42;ORANG;2022
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;35;ORANG;2022
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;43;ORANG;2022
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;78;ORANG;2022
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;13;ORANG;2022
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;52;ORANG;2023
15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;11;ORANG;2023
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;50;ORANG;2023
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;44;ORANG;2023
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2023
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2023
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;36;ORANG;2023
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;43;ORANG;2023
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;81;ORANG;2023
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;14;ORANG;2023
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;58;ORANG;2024
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;57;ORANG;2024
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;44;ORANG;2024
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2024
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2024
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;43;ORANG;2024
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;77;ORANG;2024
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;13;ORANG;2024
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;30;ORANG;2021
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;5;ORANG;2021
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;2;ORANG;2021
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2021
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;1;ORANG;2022
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;30;ORANG;2022
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;5;ORANG;2022
15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2022
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;2;ORANG;2022
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2022
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2022
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;10;ORANG;2023
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;1;ORANG;2023
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;30;ORANG;2023
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;1;ORANG;2023
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;2;ORANG;2023
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2023
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2023
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;7;ORANG;2024
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;4;ORANG;2024
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;30;ORANG;2024
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;1;ORANG;2024
