kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_ruas_jalan;kondisi;panjang_jalan;satuan;tahun
15;JAMBI;1505;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;SEDANG;1,9;KILOMETER;2022
15;JAMBI;1509;MUARA TEBO - SIMP. LOGPON;SEDANG;6,2;KILOMETER;2022
15;JAMBI;1509;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;SEDANG;10,2;KILOMETER;2022
15;JAMBI;1509;SIMP. SAWMIL - SIMP. LOGPON ;SEDANG;3,6;KILOMETER;2022
15;JAMBI;1508;MA. BUNGO - PENINJAUAN - JUNCTION;SEDANG;14;KILOMETER;2022
15;JAMBI;1508;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );SEDANG;21,709;KILOMETER;2022
15;JAMBI;1508;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);SEDANG;10,95;KILOMETER;2022
15;JAMBI;1504;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;SEDANG;8,122;KILOMETER;2022
15;JAMBI;1504;JL. SUDIRMAN (MA.BULIAN);SEDANG;1;KILOMETER;2022
15;JAMBI;1504;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;SEDANG;5,8;KILOMETER;2022
15;JAMBI;1501;SANGGARAN AGUNG - JUJUN;SEDANG;2,2;KILOMETER;2022
15;JAMBI;1501;JUJUN - LEMPUR;SEDANG;0,4;KILOMETER;2022
15;JAMBI;1501;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;SEDANG;0,2;KILOMETER;2022
15;JAMBI;1572;JALAN DEPATI PARBO (SUNGAI PENUH);SEDANG;0;KILOMETER;2022
15;JAMBI;1572;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;SEDANG;0,6;KILOMETER;2022
15;JAMBI;1502;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;SEDANG;9,396;KILOMETER;2022
15;JAMBI;1502;SIMP. PULAU. RENGAS -  MUARA SIAU;SEDANG;8,2;KILOMETER;2022
15;JAMBI;1502;MUARA SIAU - DUSUN TUO ;SEDANG;9,982;KILOMETER;2022
15;JAMBI;1502;DUSUN TUO - JANGKAT ;SEDANG;11,968;KILOMETER;2022
