no;kode_provinsi;provinsi;kode_kabupaten_kota;kode_kecamatan;nama_daya_tarik_wisata;jenis_daya_tarik_wisata
108;15;JAMBI;1501;150115;Goa Kapeh ;Alam 
109;15;JAMBI;1501;150115;Air Terjun Lembah Mengurai;Alam 
110;15;JAMBI;1501;150116;Air Terjun Siulak Kecil ;Alam 
111;15;JAMBI;1501;150105;Air Panas Semurup ;Alam 
112;15;JAMBI;1501;150102;Air Terjun 13 Tingkat ;Alam 
113;15;JAMBI;1501;150101;Gunung Kaca ;Alam 
114;15;JAMBI;1501;150105;Air Panas ;Alam 
115;15;JAMBI;1501;150105;Air Terjun Pendung Mudik;Alam 
116;15;JAMBI;1501;150109;Goa Batu ;Alam 
117;15;JAMBI;1501;150111;Bukit Kutinggi;Alam 
118;15;JAMBI;1501;150104;Serujung Angin ;Alam 
119;15;JAMBI;1501;150120;Batu Megalitik ;Alam 
120;15;JAMBI;1501;150108;Tanjung Pelita ;Alam 
121;15;JAMBI;1501;150108;Hutan Adat Temedak ;Alam 
122;15;JAMBI;1501;150108;Air Terjun Pancoran Rayo;Alam 
123;15;JAMBI;1501;150108;Batu Raja ;Alam 
124;15;JAMBI;1501;150108;Air Terjun Pancuran Gading;Alam 
125;15;JAMBI;1501;150108;Sungai Buai;Alam 
126;15;JAMBI;1501;150108;Hutan Adat Pulau Tengah;Alam 
127;15;JAMBI;1501;150102;Hutan Pinus ;Alam 
128;15;JAMBI;1501;150102;Goa Belang ;Alam 
129;15;JAMBI;1501;150102;Goa Kelelawar ;Alam 
130;15;JAMBI;1501;150102;Pantai Indah Koto Petai ;Alam 
131;15;JAMBI;1501;150102;Air Terjun 12 Tingkat ;Alam 
132;15;JAMBI;1501;150108;Hutan Adat Lekuk Lima Tumbi;Alam 
133;15;JAMBI;1501;150108;Danau Lingkat ;Alam 
134;15;JAMBI;1501;150120;Gunung Kunyit ;Alam 
135;15;JAMBI;1501;150108;Air Terjun Selung Bersisik ;Alam 
136;15;JAMBI;1501;150120;Danau Padang ;Alam 
137;15;JAMBI;1501;150101;Batu Silindrik ;Alam 
138;15;JAMBI;1501;150120;Batu Silindrik ;Alam 
139;15;JAMBI;1501;150120;Garau Rasau ;Alam 
140;15;JAMBI;1501;150101;Danau Kecik ;Alam 
141;15;JAMBI;1501;150101;Gerau Nguak ;Alam 
142;15;JAMBI;1501;150101;Gunung Batuah ;Alam 
143;15;JAMBI;1501;150101;Air Terjun Telun ;Alam 
144;15;JAMBI;1501;150120;Gunung Raya ;Alam 
145;15;JAMBI;1501;150120;Gerai Sikai ;Alam 
146;15;JAMBI;1501;150120;Hutan Salak ;Alam 
147;15;JAMBI;1501;150120;Taman Dewa ;Alam 
148;15;JAMBI;1501;150107;Air Terjun Goa ;Alam 
149;15;JAMBI;1501;150120;Sungai Batang Merangin;Alam 
150;15;JAMBI;1501;150107;Lembah Mengurai ;Alam 
151;15;JAMBI;1501;150119;Air Terjun/Air Panas ;Alam 
152;15;JAMBI;1501;150107;Danau Aikab ;Alam 
153;15;JAMBI;1501;150105;Goa Akar ;Alam 
154;15;JAMBI;1501;150120;Danau Padeang ;Alam 
155;15;JAMBI;1501;150101;Gerau Rasau ;Alam 
156;15;JAMBI;1501;150101;Air Terjun Kesn ;Alam 
157;15;JAMBI;1501;150120;Hutan Salak ;Alam 
158;15;JAMBI;1501;150101;Air Terjun Mata Kucing ;Alam 
159;15;JAMBI;1501;150108;Perkebunan Manggis ;Alam 
160;15;JAMBI;1501;150105;Hutan Adat ;Alam 
161;15;JAMBI;1501;150102;Pantai Pasir Panjang ;Alam 
162;15;JAMBI;1501;150102;Pulau Kelelawar Cangkat;Alam 
163;15;JAMBI;1501;150116;Air Terjun Ranah Pemetik ;Alam 
164;15;JAMBI;1501;150108;Bukit Tebing;Alam 
165;15;JAMBI;1501;150107;Air Terjun Pauh Sago;Alam 
166;15;JAMBI;1501;150107;Air Terjun Bedeng IV;Alam 
167;15;JAMBI;1501;150108;Panorama Tanjung Pelita ;Alam 
168;15;JAMBI;1501;157202;Taman Nasional Kerinci Seblat;Alam 
169;15;JAMBI;1501;150106;Bukit Sembahyang;Alam 
170;15;JAMBI;1501;150106;Bukit Sembahyang;Alam 
171;15;JAMBI;1501;150120;Perkebunan Kayu Manis ;Alam 
172;15;JAMBI;1501;150108;Bukit Ampera;Alam 
173;15;JAMBI;1501;150101;Danau Inai ;Alam 
174;15;JAMBI;1501;150101;Danau Nasi Kering;Alam 
175;15;JAMBI;1501;150101;Air Terjun Siluang Bersisik Emas;Alam 
176;15;JAMBI;1501;150101;Air Terjun Nyi Maeh Kupak;Alam 
177;15;JAMBI;1501;150104;Bukit Sumur Tujuh;Alam 
178;15;JAMBI;1501;150104;Bukit Kursi;Alam 
179;15;JAMBI;1501;150118;Air Terjun Pancuran Minyak Lubuk Tambun;Alam 
180;15;JAMBI;1501;150107;Goa Sago ;Alam  
181;15;JAMBI;1501;150120;Lubuk Larangan ;Alam  
182;15;JAMBI;1501;150120;Lubuk Larangan ;Alam  
183;15;JAMBI;1501;150108;Bukit Tanjung Hatta ;Alam  
184;15;JAMBI;1501;150104;Anjung Banio ;Alam  
185;15;JAMBI;1501;150111;Panorama Bukit Filla ;Alam  
186;15;JAMBI;1501;150111;Air Terjun Puti Mayang ;Alam  
187;15;JAMBI;1501;150111;Gunung Terasih ;Alam  
188;15;JAMBI;1501;150117;Danau Cinto ;Alam  
189;15;JAMBI;1501;150108;Telago Paradise;Buatan 
190;15;JAMBI;1501;150101;Batu Meriam ;Buatan 
191;15;JAMBI;1501;150101;Batu Kursi ;Buatan 
192;15;JAMBI;1501;150101;Batu Besurat ;Buatan 
193;15;JAMBI;1501;150120;Batu Gong ;Buatan 
194;15;JAMBI;1501;150120;Batu Pantai ;Buatan 
195;15;JAMBI;1501;150108;Batu Bergambar ;Buatan 
196;15;JAMBI;1501;150108;Batu Gong ;Buatan 
197;15;JAMBI;1501;150108;Batu Biduk ;Buatan 
198;15;JAMBI;1501;150111;Batu Lumang ;Buatan 
199;15;JAMBI;1501;150111;Kerajinan Bambu ;Buatan 
200;15;JAMBI;1501;150111;Kerajinan Rotan ;Buatan 
201;15;JAMBI;1501;150102;Taman Husein ;Buatan 
202;15;JAMBI;1501;150105;Taman Pertiwi ;Buatan 
203;15;JAMBI;1501;150116;T.R Air Terjun Putri Dian Surya;Buatan 
204;15;JAMBI;1501;150120;Taman Rekreasi Bustan Fish;Buatan 
205;15;JAMBI;1501;150109;Taman Rekreasi Puncak Rindu;Buatan 
206;15;JAMBI;1501;150116;Taman Bunga ;Buatan 
207;15;JAMBI;1501;150109;Taman Rekreasi Mekar Sari;Buatan 
208;15;JAMBI;1501;150102;Taman Rekreasi Patagen;Buatan 
