kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jenis_bencana;tanggal_kejadian;kategori_terdampak_bencana;keterangan;satuan;jumlah_kejadian; jumlah_kerugian 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;MANUISIA;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;RUMAH;RUSAK TOTAL;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;RUMAH;RUSAK BERAT;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;RUMAH;RUSAK RINGAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;RUMAH;TERGENANG;UNIT;20; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;RUMAH;TERENDAM;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;RUMAH;KIOS;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;RUMAH;BANGUNAN LAIN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;MENDERITA DAN MENGUNGSI;KEPALA KELUARGA;JIWA;20; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;MENDERITA DAN MENGUNGSI;JIWA;JIWA;90; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;FASILITAS SOSIAL;SEKOLAH;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;FASILITAS SOSIAL;KANTOR;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;FASILITAS SOSIAL;TEMPAT IBADAH;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;FASILITAS SOSIAL;SARANA KESEHATAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;FASILITAS UMUM;PASAR;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;FASILITAS UMUM;JEMBATAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;FASILITAS UMUM;JALAN;TITIK;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;FASILITAS UMUM;JALAN;METER;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;FASILITAS UMUM;IRIGASI;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;LAHAN;KEBUN;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;LAHAN;KOLAM;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;LAHAN;SAWAH;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150806;PELEPAT;BANJIR;01/01/2022;LAHAN;LAHAN TIDUR;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MANUISIA;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MANUISIA;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MANUISIA;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;RUSAK TOTAL;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;RUSAK BERAT;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;RUSAK RINGAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;TERGENANG;UNIT;318; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;TERENDAM;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;KIOS;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;BANGUNAN LAIN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MENDERITA DAN MENGUNGSI;KEPALA KELUARGA;JIWA;318; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MENDERITA DAN MENGUNGSI;JIWA;JIWA;1272; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;SEKOLAH;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;KANTOR;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;TEMPAT IBADAH;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;SARANA KESEHATAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS UMUM;PASAR;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS UMUM;JEMBATAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS UMUM;JALAN;TITIK;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS UMUM;JALAN;METER;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS UMUM;IRIGASI;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;LAHAN;KEBUN;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;LAHAN;KOLAM;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;LAHAN;SAWAH;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;LAHAN;LAHAN TIDUR;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MANUISIA;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MANUISIA;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MANUISIA;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;RUSAK TOTAL;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;RUSAK BERAT;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;RUSAK RINGAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;TERGENANG;UNIT;64; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;TERENDAM;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;KIOS;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;BANGUNAN LAIN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MENDERITA DAN MENGUNGSI;KEPALA KELUARGA;JIWA;64; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MENDERITA DAN MENGUNGSI;JIWA;JIWA;206; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;SEKOLAH;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;KANTOR;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;TEMPAT IBADAH;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;SARANA KESEHATAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS UMUM;PASAR;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS UMUM;JEMBATAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS UMUM;JALAN;TITIK;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS UMUM;JALAN;METER;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS UMUM;IRIGASI;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;LAHAN;KEBUN;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;LAHAN;KOLAM;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;LAHAN;SAWAH;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;LAHAN;LAHAN TIDUR;HEKTAR;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MANUISIA;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MANUISIA;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MANUISIA;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;RUSAK TOTAL;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;RUSAK BERAT;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;RUSAK RINGAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;TERGENANG;UNIT;39; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;TERENDAM;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;KIOS;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;RUMAH;BANGUNAN LAIN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MENDERITA DAN MENGUNGSI;KEPALA KELUARGA;JIWA;39; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;MENDERITA DAN MENGUNGSI;JIWA;JIWA;185; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;SEKOLAH;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;KANTOR;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;TEMPAT IBADAH;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;BANJIR;02/01/2022;FASILITAS SOSIAL;SARANA KESEHATAN;UNIT;0; Rp- 
