id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;tanggal badan hukum;aktif;bentuk koperasi;jenis koperasi;kelompok koperasi;sektor usaha;klasifikasi;kesehatan;anggota pria;anggota wanita;tahun_industri_usaha;bulan
35;15;JAMBI;1501;150102;1501022008;KOPERASI SETIA KAWAN;9/11/2012;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
36;15;JAMBI;1501;150102;1501022001;KOPERASI SERBA USAHA MUSHOLLA PONDOK BAMBU;10/13/2009;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
37;15;JAMBI;1501;150102;1501022001;KOPERASI KONSUMEN GURU SEKOLAH DASAR KECAMATAN DANAU KERINCI;9/10/2021;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
38;15;JAMBI;1501;150102;1501022014;KOPERASI UNIT DESA HIDUP BARU;12/26/1989;FALSE;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;JUNI
39;15;JAMBI;1501;150102;1501222007;KOPERASI MESJID JABAL RAHMAN;3/19/1999;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
40;15;JAMBI;1501;150104;1501222004;KOPERASI UNIT DESA ADIL SEJAHTERA;9/10/1985;FALSE;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;JUNI
41;15;JAMBI;1501;150104;1501042013;KOPERASI PERTANIAN ALMUNAWAROH;7/23/2002;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
42;15;JAMBI;1501;150104;1501222004;KOPERASI PEGAWAI NEGERI MTSN SEMERAH;1/25/1984;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JUNI
43;15;JAMBI;1501;150104;1501222004;KOPERASI WANITA KARYA SHOLEHAH SEMERAH;11/18/2007;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
44;15;JAMBI;1501;150104;1501042028;KOPERASI PEGAWAI NEGERI KARYA BERSAMA;8/5/1982;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JUNI
45;15;JAMBI;1501;150104;1501042013;KOPERASI UNIT DESA DWI SRI HIANG;5/3/1973;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;JASA LAINNYA;-;-;0;0;-;JUNI
46;15;JAMBI;1501;150104;0;KOPERASI SARTIKA BERSAUDARA;6/17/2012;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
47;15;JAMBI;1501;150104;1501042011;KOPERASI WANITA PERMATA INDAH;6/17/2012;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
48;15;JAMBI;1501;150104;1501042030;KOPERASI DIRGANTARA DEPATI PARBO;6/26/2019;TRUE;Primer Kabupaten/Kota;Jasa;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
49;15;JAMBI;1501;150104;1501222001;KOPERASI USAHA MANDIRI;4/5/2016;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Simpan Pinjam;JASA LAINNYA;-;-;0;0;-;JUNI
50;15;JAMBI;1501;150104;1501042026;KOPONTREN JAMIATUL IKHSANIAH;4/24/2009;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA PENDIDIKAN;-;-;0;0;-;JUNI
51;15;JAMBI;1501;150104;1501042028;KPN GURU SD SITINJAU LAUT;9/8/1999;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
52;15;JAMBI;1501;150104;1501042013;KOPERASI PEGAWAI NEGERI SMPN HIANG;7/29/1991;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
53;15;JAMBI;1501;150104;1501042013;KOPERASI PEGAWAI NEGERI SMA N HIANG;9/16/1996;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
54;15;JAMBI;1501;150104;1501042013;KOPERASI SERBA USAHA MENTARI SANGKIR;12/24/2008;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
55;15;JAMBI;1501;150104;1501042013;KOPERASI SERBA USAHA HAMPARAN HIANG;8/5/2011;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
56;15;JAMBI;1501;150104;1501222005;KOPERASI PEGAWAI NEGERI MEKAR JAYA;9/30/1996;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
57;15;JAMBI;1501;150104;1501042029;KOPERASI PEMASARAN LEMBAH NGARAI INDAH;8/15/2018;TRUE;Primer Kabupaten/Kota;Pemasaran;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
58;15;JAMBI;1501;150105;1501052038;KOPERASI UNIT DESA UTAMA KOTO MAJIDIN;12/18/1995;TRUE;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;JUNI
59;15;JAMBI;1501;150105;1501052002;KOPERASI PERTANIAN BINA SEJAHTERA;4/23/1999;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
60;15;JAMBI;1501;150105;1501052013;KOPERASI PEGAWAI NEGERI SKB;1/20/1986;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JUNI
61;15;JAMBI;1501;150105;1501052038;KOPERASI KELUARGA SEPAKAT;5/11/2012;TRUE;Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
62;15;JAMBI;1501;150105;0;KOPERASI MAJU JAYA INDAH;7/18/2011;TRUE;Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
63;15;JAMBI;1501;150105;1501052022;KOPERASI WANITA IJUNG TABAJO;6/22/2012;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
64;15;JAMBI;1501;150105;0;KOPERASI UNIT DESA UTAMA;3/1/1979;TRUE;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;JUNI
65;15;JAMBI;1501;150105;1501052002;KOPERASI SERBA USAHA JAYA BERSAMA;7/8/1999;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JUNI
66;15;JAMBI;1501;150105;1501052022;KOPERASI PEGAWAI NEGERI GURU SD AIR HANGAT;11/25/2005;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
67;15;JAMBI;1501;150105;1501052022;KOPERASI ARRAHMAH;8/9/2012;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
68;15;JAMBI;1501;150105;1501052013;KOPERASI WANITA BUNGA MAWAR;2/2/2010;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;95;-;JUNI
69;15;JAMBI;1501;150105;1501052013;KOPERASI PONDOK PESANTREN NURUL HAQ;12/2/1996;TRUE;Primer Kabupaten/Kota;Konsumen;Koppontren;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
70;15;JAMBI;1501;150105;1501052013;KOPERASI MANDIRI TUNTAS BERSAMA;7/26/2018;TRUE;Primer Kabupaten/Kota;Pemasaran;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
71;15;JAMBI;1501;150105;1501052036;KOPERASI TANI KASIGI;2/2/2016;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
72;15;JAMBI;1501;150105;1501052036;KOPERASI PRODUSEN PARIT KEMBANG KELADI;12/21/2018;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
73;15;JAMBI;1501;150105;1501052038;KOPERASI WANITA MUDA MANDIRI;1/29/2013;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
74;15;JAMBI;1501;150111;1501112023;KOPERASI SERBA USAHA HARAPAN;9/17/2013;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
75;15;JAMBI;1501;150111;1501112003;KOPERASI KELUARGA SEJAHTERA;6/25/2014;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
76;15;JAMBI;1501;150111;1501112008;KOPERASI UNIT DESA IHSAN;6/1/1990;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
77;15;JAMBI;1501;150111;1501112008;KOPERASI WANITA TUNAS HARAPAN;5/29/2013;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
78;15;JAMBI;1501;150111;1501112009;KOPERASI GABUNGAN KELOMPOK TANI SEJAHTERA;4/5/2016;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
79;15;JAMBI;1501;150111;1501112009;KOPERASI UNIT DESA TANI MAKMUR;2/5/1996;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
80;15;JAMBI;1501;150111;1501112018;KOPERASI SINAR PAGI;12/2/2013;TRUE;Primer Kabupaten/Kota;Konsumen;Kopkar;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
81;15;JAMBI;1501;150111;1501112014;KOPERASI AMANAH;2/15/1999;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
82;15;JAMBI;1501;150111;1501112002;KOPERASI WANITA PINANG MASAK;9/11/2012;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
83;15;JAMBI;1501;150111;1501112002;KOPERASI JAYA BHAKTI;4/12/2013;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
84;15;JAMBI;1501;150111;1501112002;KOPERASI GAPOKTAN KINANTAN UTAMA;9/17/2013;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
85;15;JAMBI;1501;150111;1501112012;KOPERASI SERBA USAHA SUKA MAJU;9/30/1996;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
86;15;JAMBI;1501;150111;1501112015;KOPERASI PEGAWAI NEGERI SMP N SUNGAI TUTUNG;9/29/1989;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
87;15;JAMBI;1501;150111;1501112015;KOPERASI SEJAHTERA BERSAMA;9/11/2012;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
