id;kode_provinsi;nama_provinsi;judul_inovasi;admin_opd;jenis;inisiator;urusan_pemerintah;kematangan;tahapan_inovasi;tanggal_penerapan;satuan;tahun
45;15;JAMBI;SISTRANS (SISTEM INFORMASI PENGAJUAN USULAN TRANSMIGRASI PROVINSI JAMBI);"DINAS NAKERTRANS JAMBI
(IGA2020.NAKERTRANS.PROVINSI.JAMBI)";DIGITAL;OPD;TENAGA KERJA, TRANSMIGRASI;8;PENERAPAN;02/08/2022;PERSEN;2023
46;15;JAMBI;WEBSITE;"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN;78;PENERAPAN;25/04/2021;PERSEN;2023
47;15;JAMBI;P3K (PELAYANAN PERTAMA PADA KOPERASI UKM);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;ASN;"KOPERASI,
USAHA KECIL, DAN MENENGAH";77;PENERAPAN;22/11/2021;PERSEN;2023
48;15;JAMBI;SIKO JADI TIGO (SEKALI INPUT JADI TIGO);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;KEPALA DAERAH;"KOPERASI,
USAHA KECIL, DAN MENENGAH";76;PENERAPAN;04/02/2021;PERSEN;2023
49;15;JAMBI;SMK ( SURAT MASUK KELUAR);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;KEPALA DAERAH;"KOPERASI,
USAHA KECIL, DAN MENENGAH";76;PENERAPAN;02/09/2022;PERSEN;2023
50;15;JAMBI;KONCO KOPERASI;DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);NON DIGITAL;KEPALA DAERAH;KOPERASI, USAHA KECIL, MENENGAH;75;PENERAPAN;13/05/2022;PERSEN;2023
51;15;JAMBI;SI SAPI (SI SAWIT DAN SI SAPI);"DINAS PERKEBUNAN JAMBI
(IGA2020.DISBUN.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERTANIAN;74;PENERAPAN;08/03/2022;PERSEN;2023
52;15;JAMBI;SIOPAW (SISTEM ONLINE PEMBERHENTIAN DAN PENGGANTIAN ANTARWAKTU);BIRO PEMERINTAHAN SETDA PROVINSI JAMBI (IGA2020.PEMERINTAHAN.PROVINSI.JAMBI);DIGITAL;OPD;FUNGSI PENUNJANG LAINNYA SESUAI DENGAN KETENTUAN PERATURAN PERUNDANG-UNDANGAN;74;PENERAPAN;09/06/2022;PERSEN;2023
53;15;JAMBI;LASEGAR BERKAT JAMKESDA JAMBI SEHAT (LANGSUNG SEHAT DAN BUGAR BERKAT BANTUAN JAMINAN KESEHATAN JAMBI;"DINAS KESAHATAN JAMBI
(IGA2020.DINKES.PROVINSI.JAMBI)";DIGITAL;OPD;KESEHATAN,SOS IAL;74;PENERAPAN;03/01/2022;PERSEN;2023
54;15;JAMBI;KARTU MANTAP (MEMUDAHKAN APARATUR NEGARA TUK AGENDA PERTEMUAN);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;KEPALA DAERAH;KOPERASI, USAHA KECIL, DAN MENENGAH;72;PENERAPAN;05/01/2021;PERSEN;2023
55;15;JAMBI;MITRA BITBUN (MITRA BIBIT PERKEBUNAN);"DINAS PERKEBUNAN JAMBI
(IGA2020.DISBUN.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERTANIAN;72;PENERAPAN;29/12/2022;PERSEN;2023
56;15;JAMBI;PAMITAN UNTUK KONTEN (PASTIKAN KEMITRAAN KEHUTANAN UNTUK KONFLIK TENURIAL);"DINAS KEHUTANAN JAMBI
(IGA2020.KEHUTANAN.PROVINSI.JAMBI)";NON DIGITAL;KEPALA DAERAH;SOSIAL;71;PENERAPAN;24/01/2022;PERSEN;2023
