NO;kode_provinsi;kode_kabupaten_kota;kategori;uraian;jumlah;satuan;tahun
160;15;1503;TERNAK BESAR;KUDA;0;EKOR;2021
161;15;1503;TERNAK KECIL;KAMBING;44.223;EKOR;2021
162;15;1503;TERNAK KECIL;DOMBA;15.126;EKOR;2021
163;15;1503;TERNAK KECIL;BABI;0;EKOR;2021
164;15;1503;TERNAK UNGGAS;AYAM KAMPUNG;282.113;EKOR;2021
165;15;1503;TERNAK UNGGAS;AYAM PETELUR;20.438;EKOR;2021
166;15;1503;TERNAK UNGGAS;AYAM PEDAGING;837.260;EKOR;2021
167;15;1503;TERNAK UNGGAS;ITIK;33.521;EKOR;2021
168;15;1503;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
169;15;1504;TERNAK BESAR;SAPI PERAH;0;EKOR;2021
170;15;1504;TERNAK BESAR;SAPI POTONG;9.137;EKOR;2021
171;15;1504;TERNAK BESAR;KERBAU;9.875;EKOR;2021
172;15;1504;TERNAK BESAR;KUDA;0;EKOR;2021
173;15;1504;TERNAK KECIL;KAMBING;59.371;EKOR;2021
174;15;1504;TERNAK KECIL;DOMBA;19.016;EKOR;2021
175;15;1504;TERNAK KECIL;BABI;345;EKOR;2021
176;15;1504;TERNAK UNGGAS;AYAM KAMPUNG;1.680.590;EKOR;2021
177;15;1504;TERNAK UNGGAS;AYAM PETELUR;20.000;EKOR;2021
178;15;1504;TERNAK UNGGAS;AYAM PEDAGING;2.092.500;EKOR;2021
179;15;1504;TERNAK UNGGAS;ITIK;69.945;EKOR;2021
180;15;1504;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
181;15;1505;TERNAK BESAR;SAPI PERAH;4;EKOR;2021
182;15;1505;TERNAK BESAR;SAPI POTONG;15.198;EKOR;2021
183;15;1505;TERNAK BESAR;KERBAU;1.364;EKOR;2021
184;15;1505;TERNAK BESAR;KUDA;0;EKOR;2021
185;15;1505;TERNAK KECIL;KAMBING;46.453;EKOR;2021
186;15;1505;TERNAK KECIL;DOMBA;1.282;EKOR;2021
187;15;1505;TERNAK KECIL;BABI;708;EKOR;2021
188;15;1505;TERNAK UNGGAS;AYAM KAMPUNG;1.306.757;EKOR;2021
189;15;1505;TERNAK UNGGAS;AYAM PETELUR;2.529.905;EKOR;2021
190;15;1505;TERNAK UNGGAS;AYAM PEDAGING;18.865.137;EKOR;2021
191;15;1505;TERNAK UNGGAS;ITIK;32.576;EKOR;2021
192;15;1505;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
193;15;1506;TERNAK BESAR;SAPI PERAH;0;EKOR;2021
194;15;1506;TERNAK BESAR;SAPI POTONG;21.474;EKOR;2021
195;15;1506;TERNAK BESAR;KERBAU;80;EKOR;2021
196;15;1506;TERNAK BESAR;KUDA;0;EKOR;2021
197;15;1506;TERNAK KECIL;KAMBING;44.951;EKOR;2021
198;15;1506;TERNAK KECIL;DOMBA;53;EKOR;2021
199;15;1506;TERNAK KECIL;BABI;0;EKOR;2021
200;15;1506;TERNAK UNGGAS;AYAM KAMPUNG;3.986.493;EKOR;2021
201;15;1506;TERNAK UNGGAS;AYAM PETELUR;277.563;EKOR;2021
202;15;1506;TERNAK UNGGAS;AYAM PEDAGING;930.298;EKOR;2021
203;15;1506;TERNAK UNGGAS;ITIK;54.856;EKOR;2021
204;15;1506;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
205;15;1507;TERNAK BESAR;SAPI PERAH;0;EKOR;2021
206;15;1507;TERNAK BESAR;SAPI POTONG;9.021;EKOR;2021
