NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_kb;pus_terlalu_tua_tidak_menggunakan_kb;pus_terlalu_dekat_tidak_menggunakan_kb;pus_terlalu_banyak_tidak_menggunakan_kb
;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;3.641;1.307;899;44;3.415;78;3.606
;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;975;654;277;15;603;12;789
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;2.123;248;1.180;66;1.499;53;2.193
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;3.285;2.557;766;12;1.309;26;1.499
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2.807;2.564;1.021;8;828;14;961
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2.425;2.419;725;26;571;13;655
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;585;160;158;22;751;15;847
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;408;106;79;22;509;12;617
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;4.363;4.307;1.932;41;1.092;16;1.240
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;1.199;294;842;40;751;8;897
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;1.396;1.374;481;12;392;5;330
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;4.392;4.356;2.037;45;1.100;7;990
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;3.342;186;2.690;15;1.682;46;1.900
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;6.491;5.114;2.097;54;2.657;97;3.384
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;562;25;255;9;661;6;785
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;1.195;623;815;20;482;6;670
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;1.674;1.287;682;10;712;13;746
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;1.974;1.341;531;32;1.159;16;1.285
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;2.219;1.665;1.189;24;626;19;839
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;4.245;4.039;2.229;44;1.228;16;1.111
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;1.835;1.248;844;41;772;12;1.036
