id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
;15;JAMBI;1502;KOPI LIBERIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1503;KARET;33810;KEPALA KELUARGA;2023
;15;JAMBI;1503;KELAPA SAWIT;27630;KEPALA KELUARGA;2023
;15;JAMBI;1503;KELAPA DALAM;8922;KEPALA KELUARGA;2023
;15;JAMBI;1503;KOPI ROBUSTA;1111;KEPALA KELUARGA;2023
;15;JAMBI;1503;KOPI ARABIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1503;CASSIAVERA;441;KEPALA KELUARGA;2023
;15;JAMBI;1503;KAKAO;55;KEPALA KELUARGA;2023
;15;JAMBI;1503;PINANG;2852;KEPALA KELUARGA;2023
;15;JAMBI;1503;KOPI LIBERIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1504;KARET;20452;KEPALA KELUARGA;2023
;15;JAMBI;1504;KELAPA SAWIT;64966;KEPALA KELUARGA;2023
;15;JAMBI;1504;KELAPA DALAM;1921;KEPALA KELUARGA;2023
;15;JAMBI;1504;KOPI ROBUSTA;0;KEPALA KELUARGA;2023
;15;JAMBI;1504;KOPI ARABIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1504;CASSIAVERA;0;KEPALA KELUARGA;2023
;15;JAMBI;1504;KAKAO;199;KEPALA KELUARGA;2023
;15;JAMBI;1504;PINANG;404;KEPALA KELUARGA;2023
;15;JAMBI;1504;KOPI LIBERIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1505;KARET;8610;KEPALA KELUARGA;2023
;15;JAMBI;1505;KELAPA SAWIT;64815;KEPALA KELUARGA;2023
;15;JAMBI;1505;KELAPA DALAM;5829;KEPALA KELUARGA;2023
;15;JAMBI;1505;KOPI ROBUSTA;543;KEPALA KELUARGA;2023
;15;JAMBI;1505;KOPI ARABIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1505;CASSIAVERA;0;KEPALA KELUARGA;2023
;15;JAMBI;1505;KAKAO;1007;KEPALA KELUARGA;2023
