id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_produktivitas;satuan;tahun
;15;JAMBI;1502;PADI;38,36;KUINTAL/HEKTAR;2024
;15;JAMBI;1502;JAGUNG;48,39;KUINTAL/HEKTAR;2024
;15;JAMBI;1502;KEDELAI;18,78;KUINTAL/HEKTAR;2024
;15;JAMBI;1502;KACANG HIJAU;10,18;KUINTAL/HEKTAR;2024
;15;JAMBI;1502;KACANG TANAH;10,01;KUINTAL/HEKTAR;2024
;15;JAMBI;1502;UBI KAYU;308,88;KUINTAL/HEKTAR;2024
;15;JAMBI;1502;UBI JALAR;262,38;KUINTAL/HEKTAR;2024
;15;JAMBI;1503;PADI;41,16;KUINTAL/HEKTAR;2024
;15;JAMBI;1503;JAGUNG;60,07;KUINTAL/HEKTAR;2024
;15;JAMBI;1503;KEDELAI;16,89;KUINTAL/HEKTAR;2024
;15;JAMBI;1503;KACANG HIJAU;10,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1503;KACANG TANAH;14,01;KUINTAL/HEKTAR;2024
;15;JAMBI;1503;UBI KAYU;393,86;KUINTAL/HEKTAR;2024
;15;JAMBI;1503;UBI JALAR;121,78;KUINTAL/HEKTAR;2024
;15;JAMBI;1504;PADI;37,85;KUINTAL/HEKTAR;2024
;15;JAMBI;1504;JAGUNG;51,48;KUINTAL/HEKTAR;2024
;15;JAMBI;1504;KEDELAI;36,67;KUINTAL/HEKTAR;2024
;15;JAMBI;1504;KACANG HIJAU;10,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1504;KACANG TANAH;15,58;KUINTAL/HEKTAR;2024
;15;JAMBI;1504;UBI KAYU;283,84;KUINTAL/HEKTAR;2024
;15;JAMBI;1504;UBI JALAR;220,26;KUINTAL/HEKTAR;2024
;15;JAMBI;1505;PADI;33,73;KUINTAL/HEKTAR;2024
;15;JAMBI;1505;JAGUNG;66,63;KUINTAL/HEKTAR;2024
;15;JAMBI;1505;KEDELAI;31,90;KUINTAL/HEKTAR;2024
;15;JAMBI;1505;KACANG HIJAU;0,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1505;KACANG TANAH;15,46;KUINTAL/HEKTAR;2024
;15;JAMBI;1505;UBI KAYU;267,14;KUINTAL/HEKTAR;2024
;15;JAMBI;1505;UBI JALAR;120,48;KUINTAL/HEKTAR;2024
