NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;1.674;366;205;250;247;606
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;1.974;238;185;246;273;1.032
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;2.219;476;325;325;402;691
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;4.245;810;656;770;733;1.276
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;1.835;588;329;264;280;374
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150707;MUARA SABAK BARAT;1.486;111;105;128;162;980
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;3.372;347;314;361;476;1.874
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;3.348;627;482;530;528;1.181
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;2.288;426;337;355;389;781
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;1.530;221;163;167;205;774
;15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;530;107;94;123;72;134
;15;JAMBI;1508;BUNGO;150811;BATHIN III;1.324;107;130;155;175;757
;15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;1.193;340;289;212;138;214
;15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;860;64;142;132;129;393
;15;JAMBI;1508;BUNGO;150812;BUNGO DANI;1.006;51;97;85;106;667
;15;JAMBI;1508;BUNGO;150804;JUJUHAN;1.035;144;160;183;150;398
;15;JAMBI;1508;BUNGO;150816;JUJUHAN ILIR;621;50;73;117;108;273
;15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;1.230;171;172;184;137;566
