id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kondisi_korban;satuan;jumlah_kejadian
185;;JAMBI;;;31/03/2022;BANGUNAN LAIN;UNIT;0
186;;JAMBI;;;31/03/2022;KEPALA KELUARGA;JIWA;3
187;;JAMBI;;;31/03/2022;JIWA;JIWA;12
188;;JAMBI;;;31/03/2022;SEKOLAH;UNIT;0
189;;JAMBI;;;31/03/2022;KANTOR;UNIT;0
190;;JAMBI;;;31/03/2022;TEMPAT IBADAH;JIWA;0
191;;JAMBI;;;31/03/2022;SARANA KESEHATAN;UNIT;0
192;;JAMBI;;;31/03/2022;PASAR;UNIT;0
193;;JAMBI;;;31/03/2022;JEMBATAN;UNIT;0
194;;JAMBI;;;31/03/2022;JALAN;TITIK;0
195;;JAMBI;;;31/03/2022;JALAN;KM;0
196;;JAMBI;;;31/03/2022;IRIGASI;HA;0
197;;JAMBI;;;31/03/2022;KEBUN;HEKTAR;0
198;;JAMBI;;;31/03/2022;KOLAM;HA;0
199;;JAMBI;;;31/03/2022;SAWAH;HA;0
200;;JAMBI;;;31/03/2022;LAHAN TIDUR;HEKTAR;0
201;;JAMBI;;;16/03/2022;MENINGGAL DUNIA;JIWA;0
202;;JAMBI;;;16/03/2022;LUKA BERAT;JIWA;0
203;;JAMBI;;;16/03/2022;LUKA RINGAN;JIWA;0
204;;JAMBI;;;16/03/2022;RUSAK TOTAL;UNIT;0
205;;JAMBI;;;16/03/2022;RUMAH RUSAK BERAT;UNIT;0
206;;JAMBI;;;16/03/2022;RUMAH RUSAK RINGAN;UNIT;0
207;;JAMBI;;;16/03/2022;TERGENANG;UNIT;0
208;;JAMBI;;;16/03/2022;TERENDAM;UNIT;0
209;;JAMBI;;;16/03/2022;KIOS;UNIT;0
210;;JAMBI;;;16/03/2022;BANGUNAN LAIN;UNIT;0
211;;JAMBI;;;16/03/2022;KEPALA KELUARGA;JIWA;0
212;;JAMBI;;;16/03/2022;JIWA;JIWA;0
213;;JAMBI;;;16/03/2022;SEKOLAH;UNIT;0
214;;JAMBI;;;16/03/2022;KANTOR;UNIT;0
215;;JAMBI;;;16/03/2022;TEMPAT IBADAH;JIWA;0
216;;JAMBI;;;16/03/2022;SARANA KESEHATAN;UNIT;0
217;;JAMBI;;;16/03/2022;PASAR;UNIT;0
218;;JAMBI;;;16/03/2022;JEMBATAN;UNIT;0
219;;JAMBI;;;16/03/2022;JALAN;TITIK;2
220;;JAMBI;;;16/03/2022;JALAN;KM;2
221;;JAMBI;;;16/03/2022;IRIGASI;HA;0
222;;JAMBI;;;16/03/2022;KEBUN;HEKTAR;0
223;;JAMBI;;;16/03/2022;KOLAM;HA;0
224;;JAMBI;;;16/03/2022;SAWAH;HA;0
225;;JAMBI;;;16/03/2022;LAHAN TIDUR;HEKTAR;0
226;;JAMBI;;;08/03/2022;MENINGGAL DUNIA;JIWA;0
227;;JAMBI;;;08/03/2022;LUKA BERAT;JIWA;0
228;;JAMBI;;;08/03/2022;LUKA RINGAN;JIWA;0
229;;JAMBI;;;08/03/2022;RUSAK TOTAL;UNIT;0
230;;JAMBI;;;08/03/2022;RUMAH RUSAK BERAT;UNIT;0
231;;JAMBI;;;08/03/2022;RUMAH RUSAK RINGAN;UNIT;0
232;;JAMBI;;;08/03/2022;TERGENANG;UNIT;0
233;;JAMBI;;;08/03/2022;TERENDAM;UNIT;0
234;;JAMBI;;;08/03/2022;KIOS;UNIT;0
235;;JAMBI;;;08/03/2022;BANGUNAN LAIN;UNIT;0
236;;JAMBI;;;08/03/2022;KEPALA KELUARGA;JIWA;0
237;;JAMBI;;;08/03/2022;JIWA;JIWA;0
238;;JAMBI;;;08/03/2022;SEKOLAH;UNIT;0
239;;JAMBI;;;08/03/2022;KANTOR;UNIT;0
240;;JAMBI;;;08/03/2022;TEMPAT IBADAH;JIWA;0
241;;JAMBI;;;08/03/2022;SARANA KESEHATAN;UNIT;0
242;;JAMBI;;;08/03/2022;PASAR;UNIT;0
243;;JAMBI;;;08/03/2022;JEMBATAN;UNIT;0
244;;JAMBI;;;08/03/2022;JALAN;TITIK;1
245;;JAMBI;;;08/03/2022;JALAN;KM;40
246;;JAMBI;;;08/03/2022;IRIGASI;HA;0
247;;JAMBI;;;08/03/2022;KEBUN;HEKTAR;0
248;;JAMBI;;;08/03/2022;KOLAM;HA;0
249;;JAMBI;;;08/03/2022;SAWAH;HA;0
250;;JAMBI;;;08/03/2022;LAHAN TIDUR;HEKTAR;0
251;;JAMBI;;;09/06/2022;MENINGGAL DUNIA;JIWA;0
252;;JAMBI;;;09/06/2022;LUKA BERAT;JIWA;0
253;;JAMBI;;;09/06/2022;LUKA RINGAN;JIWA;0
254;;JAMBI;;;09/06/2022;RUSAK TOTAL;UNIT;0
255;;JAMBI;;;09/06/2022;RUMAH RUSAK BERAT;UNIT;0
256;;JAMBI;;;09/06/2022;RUMAH RUSAK RINGAN;UNIT;0
257;;JAMBI;;;09/06/2022;TERGENANG;UNIT;0
258;;JAMBI;;;09/06/2022;TERENDAM;UNIT;0
259;;JAMBI;;;09/06/2022;KIOS;UNIT;0
260;;JAMBI;;;09/06/2022;BANGUNAN LAIN;UNIT;0
261;;JAMBI;;;09/06/2022;KEPALA KELUARGA;JIWA;0
262;;JAMBI;;;09/06/2022;JIWA;JIWA;0
263;;JAMBI;;;09/06/2022;SEKOLAH;UNIT;0
264;;JAMBI;;;09/06/2022;KANTOR;UNIT;0
265;;JAMBI;;;09/06/2022;TEMPAT IBADAH;JIWA;0
266;;JAMBI;;;09/06/2022;SARANA KESEHATAN;UNIT;0
267;;JAMBI;;;09/06/2022;PASAR;UNIT;0
268;;JAMBI;;;09/06/2022;JEMBATAN;UNIT;0
269;;JAMBI;;;09/06/2022;JALAN;TITIK;1
270;;JAMBI;;;09/06/2022;JALAN;KM;0
271;;JAMBI;;;09/06/2022;IRIGASI;HA;0
272;;JAMBI;;;09/06/2022;KEBUN;HEKTAR;0
273;;JAMBI;;;09/06/2022;KOLAM;HA;0
274;;JAMBI;;;09/06/2022;SAWAH;HA;0
275;;JAMBI;;;09/06/2022;LAHAN TIDUR;HEKTAR;0
276;;JAMBI;;;16/06/2022;MENINGGAL DUNIA;JIWA;0
277;;JAMBI;;;16/06/2022;LUKA BERAT;JIWA;0
278;;JAMBI;;;16/06/2022;LUKA RINGAN;JIWA;0
279;;JAMBI;;;16/06/2022;RUSAK TOTAL;UNIT;0
280;;JAMBI;;;16/06/2022;RUMAH RUSAK BERAT;UNIT;0
281;;JAMBI;;;16/06/2022;RUMAH RUSAK RINGAN;UNIT;0
282;;JAMBI;;;16/06/2022;TERGENANG;UNIT;0
283;;JAMBI;;;16/06/2022;TERENDAM;UNIT;0
284;;JAMBI;;;16/06/2022;KIOS;UNIT;0
285;;JAMBI;;;16/06/2022;BANGUNAN LAIN;UNIT;0
286;;JAMBI;;;16/06/2022;KEPALA KELUARGA;JIWA;0
287;;JAMBI;;;16/06/2022;JIWA;JIWA;0
288;;JAMBI;;;16/06/2022;SEKOLAH;UNIT;0
289;;JAMBI;;;16/06/2022;KANTOR;UNIT;0
290;;JAMBI;;;16/06/2022;TEMPAT IBADAH;JIWA;0
291;;JAMBI;;;16/06/2022;SARANA KESEHATAN;UNIT;0
292;;JAMBI;;;16/06/2022;PASAR;UNIT;0
293;;JAMBI;;;16/06/2022;JEMBATAN;UNIT;0
294;;JAMBI;;;16/06/2022;JALAN;TITIK;1
295;;JAMBI;;;16/06/2022;JALAN;KM;0
296;;JAMBI;;;16/06/2022;IRIGASI;HA;0
297;;JAMBI;;;16/06/2022;KEBUN;HEKTAR;0
298;;JAMBI;;;16/06/2022;KOLAM;HA;0
299;;JAMBI;;;16/06/2022;SAWAH;HA;0
300;;JAMBI;;;16/06/2022;LAHAN TIDUR;HEKTAR;0
301;;JAMBI;;;04/10/2022;MENINGGAL DUNIA;JIWA;0
302;;JAMBI;;;04/10/2022;LUKA BERAT;JIWA;0
303;;JAMBI;;;04/10/2022;LUKA RINGAN;JIWA;0
304;;JAMBI;;;04/10/2022;RUSAK TOTAL;UNIT;0
305;;JAMBI;;;04/10/2022;RUMAH RUSAK BERAT;UNIT;3
306;;JAMBI;;;04/10/2022;RUMAH RUSAK RINGAN;UNIT;0
307;;JAMBI;;;04/10/2022;TERGENANG;UNIT;0
308;;JAMBI;;;04/10/2022;TERENDAM;UNIT;0
309;;JAMBI;;;04/10/2022;KIOS;UNIT;0
310;;JAMBI;;;04/10/2022;BANGUNAN LAIN;UNIT;0
311;;JAMBI;;;04/10/2022;KEPALA KELUARGA;JIWA;3
312;;JAMBI;;;04/10/2022;JIWA;JIWA;12
313;;JAMBI;;;04/10/2022;SEKOLAH;UNIT;0
314;;JAMBI;;;04/10/2022;KANTOR;UNIT;0
315;;JAMBI;;;04/10/2022;TEMPAT IBADAH;JIWA;0
316;;JAMBI;;;04/10/2022;SARANA KESEHATAN;UNIT;0
317;;JAMBI;;;04/10/2022;PASAR;UNIT;0
318;;JAMBI;;;04/10/2022;JEMBATAN;UNIT;0
319;;JAMBI;;;04/10/2022;JALAN;TITIK;1
320;;JAMBI;;;04/10/2022;JALAN;KM;0
321;;JAMBI;;;04/10/2022;IRIGASI;HA;0
322;;JAMBI;;;04/10/2022;KEBUN;HEKTAR;0
323;;JAMBI;;;04/10/2022;KOLAM;HA;0
324;;JAMBI;;;04/10/2022;SAWAH;HA;0
325;;JAMBI;;;04/10/2022;LAHAN TIDUR;HEKTAR;0
326;;JAMBI;;;22/10/2022;MENINGGAL DUNIA;JIWA;0
327;;JAMBI;;;22/10/2022;LUKA BERAT;JIWA;0
328;;JAMBI;;;22/10/2022;LUKA RINGAN;JIWA;0
329;;JAMBI;;;22/10/2022;RUSAK TOTAL;UNIT;0
330;;JAMBI;;;22/10/2022;RUMAH RUSAK BERAT;UNIT;0
331;;JAMBI;;;22/10/2022;RUMAH RUSAK RINGAN;UNIT;0
332;;JAMBI;;;22/10/2022;TERGENANG;UNIT;0
333;;JAMBI;;;22/10/2022;TERENDAM;UNIT;0
334;;JAMBI;;;22/10/2022;KIOS;UNIT;0
335;;JAMBI;;;22/10/2022;BANGUNAN LAIN;UNIT;0
336;;JAMBI;;;22/10/2022;KEPALA KELUARGA;JIWA;40
337;;JAMBI;;;22/10/2022;JIWA;JIWA;102
338;;JAMBI;;;22/10/2022;SEKOLAH;UNIT;0
339;;JAMBI;;;22/10/2022;KANTOR;UNIT;0
340;;JAMBI;;;22/10/2022;TEMPAT IBADAH;JIWA;0
341;;JAMBI;;;22/10/2022;SARANA KESEHATAN;UNIT;0
342;;JAMBI;;;22/10/2022;PASAR;UNIT;0
343;;JAMBI;;;22/10/2022;JEMBATAN;UNIT;1
344;;JAMBI;;;22/10/2022;JALAN;TITIK;0
345;;JAMBI;;;22/10/2022;JALAN;KM;0
346;;JAMBI;;;22/10/2022;IRIGASI;HA;0
347;;JAMBI;;;22/10/2022;KEBUN;HEKTAR;0
348;;JAMBI;;;22/10/2022;KOLAM;HA;0
349;;JAMBI;;;22/10/2022;SAWAH;HA;0
350;;JAMBI;;;22/10/2022;LAHAN TIDUR;HEKTAR;0
351;;JAMBI;;;22/10/2022;MENINGGAL DUNIA;JIWA;0
352;;JAMBI;;;22/10/2022;LUKA BERAT;JIWA;0
353;;JAMBI;;;22/10/2022;LUKA RINGAN;JIWA;0
