kode_provinsi;nama_provinsi;kode_rumah_sakit;nama_rumah_sakit;kode_diagnosa;deskripsi;kasus_baru_menurut_jenis_kelamin_laki_laki;kasus_baru_menurut_jenis_kelamin_perempuan;satuan;bulan;tahun
1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F32;DEPRESSIVE EPISODE;3;8;ORANG;SEPTEMBER;2024
1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F20.9;SCHIZOPHRENIA, UNSPECIFIED;55;28;ORANG;SEPTEMBER;2024
1571;JAMBI;1571136;RUMAH SAKIT JIWA DAERAH PROVINSI JAMBI;F41.9;ANXIETY DISORDER, UNSPECIFIED;40;22;ORANG;SEPTEMBER;2024
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
