id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_puskesmas;nama_puskesmas;alamat;kemampuan_pelayanan;karakteristik_wilayah_kerja
19;15;JAMBI;1501;150109;1011402;KERSIK TUO;JL. RAYA PASAR KERSIK TUO, KEC. KAYU ARO;RAWAT INAP;TERPENCIL
20;15;JAMBI;1501;150119;1011403;GUNUNG LABU;DS. GUNUNG LABU, KEC. KAYU ARO;NON RAWAT INAP;TERPENCIL
21;15;JAMBI;1501;150115;1011404;PELOMPEK;PASAR PELOMPEK, KEC. GUNUNG TUJUH;NON RAWAT INAP;TERPENCIL
22;15;JAMBI;1502;150201;1011405;MUARA MADRAS;DS. MUARA MADRAS, KEC. JANGKAT;RAWAT INAP;SANGAT TERPENCIL
23;15;JAMBI;1502;150218;1011406;RANTAU SULI;JLN. DEPATI SIANG DITO DESA RANTAU SULI KEC.JANGKAT TIMUR;NON RAWAT INAP;SANGAT TERPENCIL
24;15;JAMBI;1502;150203;1011407;MUARA SIAU;DS. MUARA SIAU, KEC. MUARA SIAU;RAWAT INAP;SANGAT TERPENCIL
25;15;JAMBI;1502;150209;1011408;PASAR MASURAI;DS. PASAR MASURAI, KEC. LEMBAH MASURAI;RAWAT INAP;SANGAT TERPENCIL
26;15;JAMBI;1502;150224;1011409;SEKANCING;JLN. BANGKO-MUARA SIAU KM 31 KEC. TIANG PUMPUNG;RAWAT INAP;TERPENCIL
27;15;JAMBI;1502;150206;1011410;PAMENANG;KEC. PAMENANG;RAWAT INAP;PERKOTAAN
28;15;JAMBI;1502;150213;1011411;MERANTI;DS. MERANTI, KEC. PAMENANG BARAT;RAWAT INAP;PERDESAAN
29;15;JAMBI;1502;150213;1012496;SIMPANG LIMBUR;JLN. LINTAS PINANG MERAH DESA SIMPANG LIMBUR KEC.PAMENANG BARAT;RAWAT INAP;PERDESAAN
30;15;JAMBI;1502;150220;1012544;TAMBANG EMAS;DS. TAMBANG EMAS KEC. PAMENANG SELATAN;RAWAT INAP;TERPENCIL
