NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
28;15;JAMBI;1501;150107;PEREKAMAN KTP;BELUM REKAM;JIWA;1;100;2022
29;15;JAMBI;1501;150107;PEREKAMAN KTP;WAJIB KTP;JIWA;2;9343;2022
30;15;JAMBI;1501;150107;PEREKAMAN KTP;REKAM KTP;JIWA;2;9147;2022
31;15;JAMBI;1501;150108;PEREKAMAN KTP;WAJIB KTP;JIWA;1;10480;2022
32;15;JAMBI;1501;150108;PEREKAMAN KTP;REKAM KTP;JIWA;1;10362;2022
33;15;JAMBI;1501;150108;PEREKAMAN KTP;BELUM REKAM;JIWA;1;118;2022
34;15;JAMBI;1501;150108;PEREKAMAN KTP;WAJIB KTP;JIWA;2;10665;2022
35;15;JAMBI;1501;150108;PEREKAMAN KTP;REKAM KTP;JIWA;2;10445;2022
36;15;JAMBI;1501;150109;PEREKAMAN KTP;WAJIB KTP;JIWA;1;14389;2022
37;15;JAMBI;1501;150109;PEREKAMAN KTP;REKAM KTP;JIWA;1;14210;2022
38;15;JAMBI;1501;150109;PEREKAMAN KTP;BELUM REKAM;JIWA;1;179;2022
39;15;JAMBI;1501;150109;PEREKAMAN KTP;WAJIB KTP;JIWA;2;14798;2022
40;15;JAMBI;1501;150109;PEREKAMAN KTP;REKAM KTP;JIWA;2;14452;2022
41;15;JAMBI;1501;150111;PEREKAMAN KTP;WAJIB KTP;JIWA;1;15837;2022
42;15;JAMBI;1501;150111;PEREKAMAN KTP;REKAM KTP;JIWA;1;15678;2022
43;15;JAMBI;1501;150111;PEREKAMAN KTP;BELUM REKAM;JIWA;1;159;2022
44;15;JAMBI;1501;150111;PEREKAMAN KTP;WAJIB KTP;JIWA;2;16240;2022
45;15;JAMBI;1501;150111;PEREKAMAN KTP;REKAM KTP;JIWA;2;15936;2022
46;15;JAMBI;1501;150115;PEREKAMAN KTP;WAJIB KTP;JIWA;1;10869;2022
47;15;JAMBI;1501;150115;PEREKAMAN KTP;REKAM KTP;JIWA;1;10741;2022
48;15;JAMBI;1501;150115;PEREKAMAN KTP;BELUM REKAM;JIWA;1;128;2022
49;15;JAMBI;1501;150115;PEREKAMAN KTP;WAJIB KTP;JIWA;2;11244;2022
50;15;JAMBI;1501;150115;PEREKAMAN KTP;REKAM KTP;JIWA;2;10941;2022
51;15;JAMBI;1501;150116;PEREKAMAN KTP;WAJIB KTP;JIWA;1;17097;2022
52;15;JAMBI;1501;150116;PEREKAMAN KTP;REKAM KTP;JIWA;1;16929;2022
53;15;JAMBI;1501;150116;PEREKAMAN KTP;BELUM REKAM;JIWA;1;168;2022
54;15;JAMBI;1501;150116;PEREKAMAN KTP;WAJIB KTP;JIWA;2;17513;2022
55;15;JAMBI;1501;150116;PEREKAMAN KTP;REKAM KTP;JIWA;2;17185;2022
56;15;JAMBI;1501;150117;PEREKAMAN KTP;WAJIB KTP;JIWA;1;13152;2022
57;15;JAMBI;1501;150117;PEREKAMAN KTP;REKAM KTP;JIWA;1;13028;2022
58;15;JAMBI;1501;150117;PEREKAMAN KTP;BELUM REKAM;JIWA;1;124;2022
59;15;JAMBI;1501;150117;PEREKAMAN KTP;WAJIB KTP;JIWA;2;13472;2022
60;15;JAMBI;1501;150117;PEREKAMAN KTP;REKAM KTP;JIWA;2;13220;2022
61;15;JAMBI;1501;150118;PEREKAMAN KTP;WAJIB KTP;JIWA;1;8800;2022
62;15;JAMBI;1501;150118;PEREKAMAN KTP;REKAM KTP;JIWA;1;8694;2022
