id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;jumlah;bulan;tahun
130;15;JAMBI;1505;LAKI-LAKI;11;DESEMBER;2023
131;15;JAMBI;1506;LAKI-LAKI;192;DESEMBER;2023
132;15;JAMBI;1507;LAKI-LAKI;5;DESEMBER;2023
133;15;JAMBI;1571;PEREMPUAN;44;JANUARI;2023
134;15;JAMBI;1504;PEREMPUAN;6;JANUARI;2023
135;15;JAMBI;1509;PEREMPUAN;4;JANUARI;2023
136;15;JAMBI;1508;PEREMPUAN;4;JANUARI;2023
137;15;JAMBI;1502;PEREMPUAN;4;JANUARI;2023
138;15;JAMBI;1503;PEREMPUAN;19;JANUARI;2023
139;15;JAMBI;1501;PEREMPUAN;10;JANUARI;2023
140;15;JAMBI;1572;PEREMPUAN;2;JANUARI;2023
141;15;JAMBI;1505;PEREMPUAN;32;JANUARI;2023
142;15;JAMBI;1506;PEREMPUAN;22;JANUARI;2023
143;15;JAMBI;1507;PEREMPUAN;136;JANUARI;2023
144;15;JAMBI;1571;PEREMPUAN;48;FEBRUARI;2023
145;15;JAMBI;1504;PEREMPUAN;14;FEBRUARI;2023
146;15;JAMBI;1509;PEREMPUAN;4;FEBRUARI;2023
147;15;JAMBI;1508;PEREMPUAN;6;FEBRUARI;2023
148;15;JAMBI;1502;PEREMPUAN;1;FEBRUARI;2023
149;15;JAMBI;1503;PEREMPUAN;9;FEBRUARI;2023
150;15;JAMBI;1501;PEREMPUAN;1;FEBRUARI;2023
151;15;JAMBI;1572;PEREMPUAN;2;FEBRUARI;2023
152;15;JAMBI;1505;PEREMPUAN;11;FEBRUARI;2023
153;15;JAMBI;1506;PEREMPUAN;25;FEBRUARI;2023
154;15;JAMBI;1507;PEREMPUAN;86;FEBRUARI;2023
155;15;JAMBI;1571;PEREMPUAN;31;MARET;2023
156;15;JAMBI;1504;PEREMPUAN;11;MARET;2023
157;15;JAMBI;1509;PEREMPUAN;3;MARET;2023
158;15;JAMBI;1508;PEREMPUAN;1;MARET;2023
159;15;JAMBI;1502;PEREMPUAN;1;MARET;2023
160;15;JAMBI;1503;PEREMPUAN;9;MARET;2023
161;15;JAMBI;1501;PEREMPUAN;3;MARET;2023
162;15;JAMBI;1572;PEREMPUAN;0;MARET;2023
163;15;JAMBI;1505;PEREMPUAN;12;MARET;2023
164;15;JAMBI;1506;PEREMPUAN;15;MARET;2023
165;15;JAMBI;1507;PEREMPUAN;17;MARET;2023
166;15;JAMBI;1571;PEREMPUAN;9;APRIL;2023
167;15;JAMBI;1504;PEREMPUAN;10;APRIL;2023
168;15;JAMBI;1509;PEREMPUAN;1;APRIL;2023
169;15;JAMBI;1508;PEREMPUAN;3;APRIL;2023
170;15;JAMBI;1502;PEREMPUAN;1;APRIL;2023
171;15;JAMBI;1503;PEREMPUAN;1;APRIL;2023
172;15;JAMBI;1501;PEREMPUAN;8;APRIL;2023
173;15;JAMBI;1572;PEREMPUAN;0;APRIL;2023
174;15;JAMBI;1505;PEREMPUAN;6;APRIL;2023
175;15;JAMBI;1506;PEREMPUAN;9;APRIL;2023
176;15;JAMBI;1507;PEREMPUAN;4;APRIL;2023
177;15;JAMBI;1571;PEREMPUAN;223;MEI;2023
178;15;JAMBI;1504;PEREMPUAN;67;MEI;2023
179;15;JAMBI;1509;PEREMPUAN;12;MEI;2023
180;15;JAMBI;1508;PEREMPUAN;24;MEI;2023
181;15;JAMBI;1502;PEREMPUAN;8;MEI;2023
182;15;JAMBI;1503;PEREMPUAN;16;MEI;2023
183;15;JAMBI;1501;PEREMPUAN;13;MEI;2023
184;15;JAMBI;1572;PEREMPUAN;5;MEI;2023
185;15;JAMBI;1505;PEREMPUAN;36;MEI;2023
186;15;JAMBI;1506;PEREMPUAN;13;MEI;2023
187;15;JAMBI;1507;PEREMPUAN;13;MEI;2023
188;15;JAMBI;1571;PEREMPUAN;37;JUNI;2023
189;15;JAMBI;1504;PEREMPUAN;154;JUNI;2023
190;15;JAMBI;1509;PEREMPUAN;9;JUNI;2023
191;15;JAMBI;1508;PEREMPUAN;5;JUNI;2023
192;15;JAMBI;1502;PEREMPUAN;23;JUNI;2023
193;15;JAMBI;1503;PEREMPUAN;11;JUNI;2023
194;15;JAMBI;1501;PEREMPUAN;11;JUNI;2023
195;15;JAMBI;1572;PEREMPUAN;0;JUNI;2023
196;15;JAMBI;1505;PEREMPUAN;13;JUNI;2023
197;15;JAMBI;1506;PEREMPUAN;6;JUNI;2023
198;15;JAMBI;1507;PEREMPUAN;7;JUNI;2023
199;15;JAMBI;1571;PEREMPUAN;38;JULI;2023
200;15;JAMBI;1504;PEREMPUAN;11;JULI;2023
201;15;JAMBI;1509;PEREMPUAN;15;JULI;2023
202;15;JAMBI;1508;PEREMPUAN;6;JULI;2023
203;15;JAMBI;1502;PEREMPUAN;47;JULI;2023
204;15;JAMBI;1503;PEREMPUAN;17;JULI;2023
205;15;JAMBI;1501;PEREMPUAN;11;JULI;2023
206;15;JAMBI;1572;PEREMPUAN;1;JULI;2023
207;15;JAMBI;1505;PEREMPUAN;9;JULI;2023
208;15;JAMBI;1506;PEREMPUAN;9;JULI;2023
209;15;JAMBI;1507;PEREMPUAN;5;JULI;2023
210;15;JAMBI;1571;PEREMPUAN;61;AGUSTUS;2023
211;15;JAMBI;1504;PEREMPUAN;34;AGUSTUS;2023
212;15;JAMBI;1509;PEREMPUAN;12;AGUSTUS;2023
213;15;JAMBI;1508;PEREMPUAN;3;AGUSTUS;2023
214;15;JAMBI;1502;PEREMPUAN;43;AGUSTUS;2023
215;15;JAMBI;1503;PEREMPUAN;24;AGUSTUS;2023
216;15;JAMBI;1501;PEREMPUAN;9;AGUSTUS;2023
217;15;JAMBI;1572;PEREMPUAN;4;AGUSTUS;2023
218;15;JAMBI;1505;PEREMPUAN;15;AGUSTUS;2023
219;15;JAMBI;1506;PEREMPUAN;73;AGUSTUS;2023
220;15;JAMBI;1507;PEREMPUAN;3;AGUSTUS;2023
221;15;JAMBI;1571;PEREMPUAN;66;SEPTEMBER;2023
222;15;JAMBI;1504;PEREMPUAN;16;SEPTEMBER;2023
