id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah_penduduk,tahun
1213,15,JAMBI,1502,MERANGIN,150202,BANGKO,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,6600,2022
1214,15,JAMBI,1502,MERANGIN,150210,BANGKO BARAT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,993,2022
1215,15,JAMBI,1502,MERANGIN,150212,BATANG MASUMAI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1214,2022
1216,15,JAMBI,1502,MERANGIN,150201,JANGKAT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,821,2022
1217,15,JAMBI,1502,MERANGIN,150218,JANGKAT TIMUR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,678,2022
1218,15,JAMBI,1502,MERANGIN,150209,LEMBAH MASURAI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1117,2022
1219,15,JAMBI,1502,MERANGIN,150221,MARGO TABIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1397,2022
1220,15,JAMBI,1502,MERANGIN,150203,MUARA SIAU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1101,2022
1221,15,JAMBI,1502,MERANGIN,150211,NALO TATAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1963,2022
1222,15,JAMBI,1502,MERANGIN,150206,PAMENANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,3998,2022
1223,15,JAMBI,1502,MERANGIN,150213,PAMENANG BARAT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1760,2022
1224,15,JAMBI,1502,MERANGIN,150220,PAMENANG SELATAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1169,2022
1225,15,JAMBI,1502,MERANGIN,150217,PANGKALAN JAMBU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,531,2022
1226,15,JAMBI,1502,MERANGIN,150219,RENAH PAMENANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1299,2022
1227,15,JAMBI,1502,MERANGIN,150216,RENAH PEMBARAP,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1084,2022
1228,15,JAMBI,1502,MERANGIN,150204,SUNGAI MANAU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,768,2022
1229,15,JAMBI,1502,MERANGIN,150205,TABIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,3047,2022
1230,15,JAMBI,1502,MERANGIN,150223,TABIR BARAT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,780,2022
1231,15,JAMBI,1502,MERANGIN,150214,TABIR ILIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,767,2022
1232,15,JAMBI,1502,MERANGIN,150222,TABIR LINTAS,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,861,2022
1233,15,JAMBI,1502,MERANGIN,150208,TABIR SELATAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,4547,2022
1234,15,JAMBI,1502,MERANGIN,150215,TABIR TIMUR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,607,2022
1235,15,JAMBI,1502,MERANGIN,150207,TABIR ULU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,623,2022
1236,15,JAMBI,1502,MERANGIN,150224,TIANG PUMPUNG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,332,2022
