NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda;pus_terlalu_tua;pus_terlalu_dekat;pus_terlalu_banyak
;15;JAMBI;1508;BUNGO;150803;PASAR MUARO BUNGO;1.672;56;77;10;845;75;1.092
;15;JAMBI;1508;BUNGO;150806;PELEPAT;3.001;566;882;74;1.399;14;1.430
;15;JAMBI;1508;BUNGO;150809;PELEPAT ILIR;4.491;294;343;63;2.457;112;2.400
;15;JAMBI;1508;BUNGO;150802;RANTAU PANDAN;1.374;243;588;42;454;55;725
;15;JAMBI;1508;BUNGO;150813;RIMBO TENGAH;1.351;12;15;9;818;17;724
;15;JAMBI;1508;BUNGO;150805;TANAH SEPENGGAL;2.687;622;1.062;61;985;87;1.235
;15;JAMBI;1508;BUNGO;150817;TANAH SEPENGGAL LINTAS;2.414;515;775;63;1.030;85;1.149
;15;JAMBI;1508;BUNGO;150801;TANAH TUMBUH;1.692;564;864;31;604;26;625
;15;JAMBI;1509;TEBO;150912;MUARA TABIR;2.160;466;807;61;880;40;938
;15;JAMBI;1509;TEBO;150904;RIMBO BUJANG;5.495;321;362;47;2.983;135;2.970
;15;JAMBI;1509;TEBO;150908;RIMBO ILIR;1.955;714;109;8;1.024;53;664
;15;JAMBI;1509;TEBO;150907;RIMBO ULU;3.689;483;541;36;1.905;46;1.783
;15;JAMBI;1509;TEBO;150910;SERAI SERUMPUN;1.338;284;526;20;471;25;626
;15;JAMBI;1509;TEBO;150905;SUMAY;2.353;380;790;33;1.028;62;1.127
;15;JAMBI;1509;TEBO;150902;TEBO ILIR;3.367;855;703;58;1.389;35;1.853
;15;JAMBI;1509;TEBO;150901;TEBO TENGAH;2.871;655;406;33;1.399;96;1.491
;15;JAMBI;1509;TEBO;150903;TEBO ULU;3.886;974;1.132;77;1.600;68;1.919
;15;JAMBI;1509;TEBO;150909;TENGAH ILIR;2.693;640;955;32;1.119;55;1.235
;15;JAMBI;1509;TEBO;150906;VII KOTO;2.208;392;514;30;964;61;1.292
;15;JAMBI;1509;TEBO;150911;VII KOTO ILIR;2.053;501;853;36;806;73;968
;15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;8.368;188;60;13;4.656;220;4.987
;15;JAMBI;1571;KOTA JAMBI;157110;DANAU SIPIN;2.852;171;445;14;1.461;119;1.468
;15;JAMBI;1571;KOTA JAMBI;157106;DANAU TELUK;986;22;48;3;478;61;629
;15;JAMBI;1571;KOTA JAMBI;157102;JAMBI SELATAN;3.218;110;48;46;1.689;130;1.878
;15;JAMBI;1571;KOTA JAMBI;157103;JAMBI TIMUR;4.472;96;234;18;2.483;162;2.557
;15;JAMBI;1571;KOTA JAMBI;157108;JELUTUNG;3.840;88;176;11;2.059;192;2.213
;15;JAMBI;1571;KOTA JAMBI;157107;KOTA BARU;4.533;89;67;4;2.632;201;2.398
;15;JAMBI;1571;KOTA JAMBI;157111;PAAL MERAH;6.856;341;100;16;4.189;38;3.267
;15;JAMBI;1571;KOTA JAMBI;157104;PASAR JAMBI;535;0;45;1;293;31;324
;15;JAMBI;1571;KOTA JAMBI;157105;PELAYANGAN;1.141;239;62;5;518;61;600
;15;JAMBI;1571;KOTA JAMBI;157101;TELANAIPURA;2.643;125;70;8;1.501;162;1.460
;15;JAMBI;1572;KOTA SUNGAI PENUH;157203;HAMPARAN RAWANG;1.295;52;230;12;635;39;637
;15;JAMBI;1572;KOTA SUNGAI PENUH;157207;KOTO BARU;801;6;32;13;393;8;568
;15;JAMBI;1572;KOTA SUNGAI PENUH;157205;KUMUN DEBAI;738;148;189;6;350;16;295
;15;JAMBI;1572;KOTA SUNGAI PENUH;157202;PESISIR BUKIT;1.145;29;367;9;538;6;569
;15;JAMBI;1572;KOTA SUNGAI PENUH;157206;PONDOK TINGGI;1.591;112;384;7;686;67;872
;15;JAMBI;1572;KOTA SUNGAI PENUH;157208;SUNGAI BUNGKAL;866;102;139;3;396;29;467
;15;JAMBI;1572;KOTA SUNGAI PENUH;157201;SUNGAI PENUH;736;5;77;1;367;21;465
;15;JAMBI;1572;KOTA SUNGAI PENUH;157204;TANAH KAMPUNG;748;29;192;7;412;11;265
