NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
;15;JAMBI;1508;BUNGO;150816;JUJUHAN ILIR;275;29;41;46;39;116;4
;15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;1.133;184;152;195;109;422;71
;15;JAMBI;1508;BUNGO;150808;MUKO-MUKO BATHIN VII;1.347;234;209;199;149;488;68
;15;JAMBI;1508;BUNGO;150803;PASAR MUARO BUNGO;725;69;51;94;60;443;8
;15;JAMBI;1508;BUNGO;150806;PELEPAT;2.233;383;365;349;212;886;38
;15;JAMBI;1508;BUNGO;150809;PELEPAT ILIR;2.186;160;220;306;302;1.109;89
;15;JAMBI;1508;BUNGO;150802;RANTAU PANDAN;749;172;128;113;92;184;60
;15;JAMBI;1508;BUNGO;150813;RIMBO TENGAH;893;46;61;69;71;643;3
;15;JAMBI;1508;BUNGO;150805;TANAH SEPENGGAL;2.157;326;302;291;225;972;41
;15;JAMBI;1508;BUNGO;150817;TANAH SEPENGGAL LINTAS;1.694;455;281;235;174;476;73
;15;JAMBI;1508;BUNGO;150801;TANAH TUMBUH;968;142;203;179;122;253;69
;15;JAMBI;1509;TEBO;150912;MUARA TABIR;1.389;176;259;177;169;395;213
;15;JAMBI;1509;TEBO;150904;RIMBO BUJANG;1.993;142;314;223;223;1.000;91
;15;JAMBI;1509;TEBO;150908;RIMBO ILIR;838;46;114;82;100;440;56
;15;JAMBI;1509;TEBO;150907;RIMBO ULU;1.233;154;261;163;131;470;54
;15;JAMBI;1509;TEBO;150910;SERAI SERUMPUN;552;60;75;40;26;251;100
;15;JAMBI;1509;TEBO;150905;SUMAY;1.483;162;324;191;166;595;45
;15;JAMBI;1509;TEBO;150902;TEBO ILIR;721;83;131;104;65;307;31
;15;JAMBI;1509;TEBO;150901;TEBO TENGAH;1.282;126;166;96;85;715;94
;15;JAMBI;1509;TEBO;150903;TEBO ULU;1.905;342;349;188;158;798;70
;15;JAMBI;1509;TEBO;150909;TENGAH ILIR;832;104;183;80;109;316;40
;15;JAMBI;1509;TEBO;150906;VII KOTO;898;148;196;89;81;271;113
;15;JAMBI;1509;TEBO;150911;VII KOTO ILIR;1.027;221;259;148;93;289;17
;15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;2.422;139;147;174;164;1.545;253
;15;JAMBI;1571;KOTA JAMBI;157110;DANAU SIPIN;647;146;116;73;66;244;2
;15;JAMBI;1571;KOTA JAMBI;157106;DANAU TELUK;195;54;34;30;23;52;2
;15;JAMBI;1571;KOTA JAMBI;157102;JAMBI SELATAN;1.502;137;161;180;138;784;102
;15;JAMBI;1571;KOTA JAMBI;157103;JAMBI TIMUR;1.979;315;238;303;237;835;51
;15;JAMBI;1571;KOTA JAMBI;157108;JELUTUNG;916;125;94;101;109;433;54
;15;JAMBI;1571;KOTA JAMBI;157107;KOTA BARU;1.936;125;131;143;184;1.034;319
;15;JAMBI;1571;KOTA JAMBI;157111;PAAL MERAH;2.107;188;172;229;219;1.185;114
;15;JAMBI;1571;KOTA JAMBI;157104;PASAR JAMBI;302;54;41;27;23;133;24
;15;JAMBI;1571;KOTA JAMBI;157105;PELAYANGAN;394;97;77;84;43;91;2
;15;JAMBI;1571;KOTA JAMBI;157101;TELANAIPURA;1.208;155;104;119;112;615;103
;15;JAMBI;1572;KOTA SUNGAI PENUH;157203;HAMPARAN RAWANG;549;38;61;109;97;203;41
;15;JAMBI;1572;KOTA SUNGAI PENUH;157207;KOTO BARU;254;13;28;42;48;118;5
;15;JAMBI;1572;KOTA SUNGAI PENUH;157205;KUMUN DEBAI;280;65;50;25;24;88;28
;15;JAMBI;1572;KOTA SUNGAI PENUH;157202;PESISIR BUKIT;414;28;46;72;62;161;45
;15;JAMBI;1572;KOTA SUNGAI PENUH;157206;PONDOK TINGGI;841;9;20;31;82;576;123
;15;JAMBI;1572;KOTA SUNGAI PENUH;157208;SUNGAI BUNGKAL;368;4;7;19;43;240;55
;15;JAMBI;1572;KOTA SUNGAI PENUH;157201;SUNGAI PENUH;284;5;10;26;38;197;8
;15;JAMBI;1572;KOTA SUNGAI PENUH;157204;TANAH KAMPUNG;261;4;19;33;41;152;12
