NO;kode_provinsi;kode_kabupaten_kota;kategori;uraian;jumlah;satuan;tahun
126;15;1501;TERNAK KECIL;DOMBA;1.928,00;KG;2021
127;15;1501;TERNAK KECIL;BABI;0;KG;2021
128;15;1501;TERNAK UNGGAS;AYAM KAMPUNG;104.617,00;KG;2021
129;15;1501;TERNAK UNGGAS;AYAM PETELUR;71.617,00;KG;2021
130;15;1501;TERNAK UNGGAS;AYAM PEDAGING;1.477.640,00;KG;2021
131;15;1501;TERNAK UNGGAS;ITIK;0;KG;2021
132;15;1501;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
133;15;1502;TERNAK BESAR;SAPI;472.085,00;KG;2021
134;15;1502;TERNAK BESAR;KERBAU;10.393,00;KG;2021
135;15;1502;TERNAK BESAR;KUDA;0;KG;2021
136;15;1502;TERNAK KECIL;KAMBING;11.147,00;KG;2021
137;15;1502;TERNAK KECIL;DOMBA;20.247,00;KG;2021
138;15;1502;TERNAK KECIL;BABI;0;KG;2021
139;15;1502;TERNAK UNGGAS;AYAM KAMPUNG;433.099,00;KG;2021
140;15;1502;TERNAK UNGGAS;AYAM PETELUR;102.991,00;KG;2021
141;15;1502;TERNAK UNGGAS;AYAM PEDAGING;4.660.899,00;KG;2021
142;15;1502;TERNAK UNGGAS;ITIK;0;KG;2021
143;15;1502;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
144;15;1503;TERNAK BESAR;SAPI;329.189,00;KG;2021
145;15;1503;TERNAK BESAR;KERBAU;272.053,00;KG;2021
146;15;1503;TERNAK BESAR;KUDA;0;KG;2021
147;15;1503;TERNAK KECIL;KAMBING;41.103,00;KG;2021
148;15;1503;TERNAK KECIL;DOMBA;15.654,00;KG;2021
149;15;1503;TERNAK KECIL;BABI;0;KG;2021
150;15;1503;TERNAK UNGGAS;AYAM KAMPUNG;359.043,00;KG;2021
151;15;1503;TERNAK UNGGAS;AYAM PETELUR;0;KG;2021
152;15;1503;TERNAK UNGGAS;AYAM PEDAGING;950.206,00;KG;2021
153;15;1503;TERNAK UNGGAS;ITIK;0;KG;2021
154;15;1503;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
155;15;1504;TERNAK BESAR;SAPI;144.131,00;KG;2021
156;15;1504;TERNAK BESAR;KERBAU;43.397,00;KG;2021
157;15;1504;TERNAK BESAR;KUDA;0;KG;2021
158;15;1504;TERNAK KECIL;KAMBING;5.067,00;KG;2021
159;15;1504;TERNAK KECIL;DOMBA;8.471,00;KG;2021
160;15;1504;TERNAK KECIL;BABI;760;KG;2021
161;15;1504;TERNAK UNGGAS;AYAM KAMPUNG;4.347.546,00;KG;2021
162;15;1504;TERNAK UNGGAS;AYAM PETELUR;0;KG;2021
163;15;1504;TERNAK UNGGAS;AYAM PEDAGING;2.374.778,00;KG;2021
164;15;1504;TERNAK UNGGAS;ITIK;0;KG;2021
165;15;1504;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
166;15;1505;TERNAK BESAR;SAPI;638.267,00;KG;2021
167;15;1505;TERNAK BESAR;KERBAU;171.765,00;KG;2021
168;15;1505;TERNAK BESAR;KUDA;0;KG;2021
169;15;1505;TERNAK KECIL;KAMBING;351.608,00;KG;2021
170;15;1505;TERNAK KECIL;DOMBA;6.499,00;KG;2021
171;15;1505;TERNAK KECIL;BABI;18.049,00;KG;2021
172;15;1505;TERNAK UNGGAS;AYAM KAMPUNG;2.738.388,00;KG;2021
173;15;1505;TERNAK UNGGAS;AYAM PETELUR;101.764,00;KG;2021
174;15;1505;TERNAK UNGGAS;AYAM PEDAGING;19.988.822,00;KG;2021
175;15;1505;TERNAK UNGGAS;ITIK;0;KG;2021
176;15;1505;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
177;15;1506;TERNAK BESAR;SAPI;247.509,00;KG;2021
178;15;1506;TERNAK BESAR;KERBAU;29.904,00;KG;2021
179;15;1506;TERNAK BESAR;KUDA;0;KG;2021
180;15;1506;TERNAK KECIL;KAMBING;17.194,00;KG;2021
181;15;1506;TERNAK KECIL;DOMBA;198;KG;2021
182;15;1506;TERNAK KECIL;BABI;0;KG;2021
183;15;1506;TERNAK UNGGAS;AYAM KAMPUNG;683.533,00;KG;2021
184;15;1506;TERNAK UNGGAS;AYAM PETELUR;201.876,00;KG;2021
185;15;1506;TERNAK UNGGAS;AYAM PEDAGING;1.055.795,00;KG;2021
186;15;1506;TERNAK UNGGAS;ITIK;0;KG;2021
187;15;1506;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
188;15;1507;TERNAK BESAR;SAPI;201.994,00;KG;2021
189;15;1507;TERNAK BESAR;KERBAU;9.664,00;KG;2021
190;15;1507;TERNAK BESAR;KUDA;0;KG;2021
191;15;1507;TERNAK KECIL;KAMBING;4.065,00;KG;2021
192;15;1507;TERNAK KECIL;DOMBA;0;KG;2021
193;15;1507;TERNAK KECIL;BABI;0;KG;2021
194;15;1507;TERNAK UNGGAS;AYAM KAMPUNG;78.327,00;KG;2021
195;15;1507;TERNAK UNGGAS;AYAM PETELUR;0;KG;2021
196;15;1507;TERNAK UNGGAS;AYAM PEDAGING;826.247,00;KG;2021
197;15;1507;TERNAK UNGGAS;ITIK;0;KG;2021
