id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;jumlah;bulan;tahun
223;15;JAMBI;1509;PEREMPUAN;6;SEPTEMBER;2024
224;15;JAMBI;1508;PEREMPUAN;1;SEPTEMBER;2024
225;15;JAMBI;1502;PEREMPUAN;29;SEPTEMBER;2024
226;15;JAMBI;1503;PEREMPUAN;2;SEPTEMBER;2024
227;15;JAMBI;1501;PEREMPUAN;3;SEPTEMBER;2024
228;15;JAMBI;1572;PEREMPUAN;10;SEPTEMBER;2024
229;15;JAMBI;1505;PEREMPUAN;28;SEPTEMBER;2024
230;15;JAMBI;1506;PEREMPUAN;10;SEPTEMBER;2024
231;15;JAMBI;1507;PEREMPUAN;4;SEPTEMBER;2024
232;15;JAMBI;1571;PEREMPUAN;27;OKTOBER;2024
233;15;JAMBI;1504;PEREMPUAN;17;OKTOBER;2024
234;15;JAMBI;1509;PEREMPUAN;20;OKTOBER;2024
235;15;JAMBI;1508;PEREMPUAN;3;OKTOBER;2024
236;15;JAMBI;1502;PEREMPUAN;7;OKTOBER;2024
237;15;JAMBI;1503;PEREMPUAN;3;OKTOBER;2024
238;15;JAMBI;1501;PEREMPUAN;1;OKTOBER;2024
239;15;JAMBI;1572;PEREMPUAN;0;OKTOBER;2024
240;15;JAMBI;1505;PEREMPUAN;23;OKTOBER;2024
241;15;JAMBI;1506;PEREMPUAN;5;OKTOBER;2024
242;15;JAMBI;1507;PEREMPUAN;9;OKTOBER;2024
243;15;JAMBI;1571;PEREMPUAN;9;NOVEMBER;2024
244;15;JAMBI;1504;PEREMPUAN;10;NOVEMBER;2024
245;15;JAMBI;1509;PEREMPUAN;0;NOVEMBER;2024
246;15;JAMBI;1508;PEREMPUAN;2;NOVEMBER;2024
247;15;JAMBI;1502;PEREMPUAN;0;NOVEMBER;2024
248;15;JAMBI;1503;PEREMPUAN;2;NOVEMBER;2024
249;15;JAMBI;1501;PEREMPUAN;2;NOVEMBER;2024
250;15;JAMBI;1572;PEREMPUAN;0;NOVEMBER;2024
251;15;JAMBI;1505;PEREMPUAN;2;NOVEMBER;2024
252;15;JAMBI;1506;PEREMPUAN;7;NOVEMBER;2024
253;15;JAMBI;1507;PEREMPUAN;5;NOVEMBER;2024
254;15;JAMBI;1571;PEREMPUAN;18;DESEMBER;2024
255;15;JAMBI;1504;PEREMPUAN;17;DESEMBER;2024
256;15;JAMBI;1509;PEREMPUAN;0;DESEMBER;2024
257;15;JAMBI;1508;PEREMPUAN;1;DESEMBER;2024
258;15;JAMBI;1502;PEREMPUAN;1;DESEMBER;2024
259;15;JAMBI;1503;PEREMPUAN;12;DESEMBER;2024
260;15;JAMBI;1501;PEREMPUAN;0;DESEMBER;2024
261;15;JAMBI;1572;PEREMPUAN;0;DESEMBER;2024
262;15;JAMBI;1505;PEREMPUAN;3;DESEMBER;2024
263;15;JAMBI;1506;PEREMPUAN;22;DESEMBER;2024
264;15;JAMBI;1507;PEREMPUAN;20;DESEMBER;2024
