id;kode_provinsi;nama_provinsi;tahun_ajaran;bentuk_pendidikan;jumlah
53;15;JAMBI;2021/2022 GENAP;SPS;5.398
54;15;JAMBI;2021/2022 GENAP;TPA;1.360
55;15;JAMBI;2021/2022 GENAP;SKB;1.616
56;15;JAMBI;2021/2022 GANJIL;SD;136.833
57;15;JAMBI;2021/2022 GANJIL;SMP;83.727
58;15;JAMBI;2021/2022 GANJIL;SMA;59.841
59;15;JAMBI;2021/2022 GANJIL;SMK;40.642
60;15;JAMBI;2021/2022 GANJIL;TK;47.049
61;15;JAMBI;2021/2022 GANJIL;KB;56.654
62;15;JAMBI;2021/2022 GANJIL;PKBM;27.902
63;15;JAMBI;2021/2022 GANJIL;SLB;2.010
64;15;JAMBI;2021/2022 GANJIL;SPS;5.360
65;15;JAMBI;2021/2022 GANJIL;TPA;1.146
66;15;JAMBI;2021/2022 GANJIL;SKB;1.484
67;15;JAMBI;2020/2021 GENAP;SD;132.261
68;15;JAMBI;2020/2021 GENAP;SMP;71.515
69;15;JAMBI;2020/2021 GENAP;SMA;48.265
70;15;JAMBI;2020/2021 GENAP;SMK;31.210
71;15;JAMBI;2020/2021 GENAP;TK;15.010
72;15;JAMBI;2020/2021 GENAP;KB;53.646
73;15;JAMBI;2020/2021 GENAP;PKBM;24.093
74;15;JAMBI;2020/2021 GENAP;SPS;5.599
75;15;JAMBI;2020/2021 GENAP;SLB;1.845
76;15;JAMBI;2020/2021 GENAP;TPA;1.163
77;15;JAMBI;2020/2021 GENAP;SKB;1.101
78;15;JAMBI;2020/2021 GANJIL;SD;135.854
79;15;JAMBI;2020/2021 GANJIL;SMP;83.249
80;15;JAMBI;2020/2021 GANJIL;SMA;60.491
81;15;JAMBI;2020/2021 GANJIL;KB;53.791
82;15;JAMBI;2020/2021 GANJIL;TK;47.398
83;15;JAMBI;2020/2021 GANJIL;SMK;40.470
84;15;JAMBI;2020/2021 GANJIL;PKBM;29.082
85;15;JAMBI;2020/2021 GANJIL;SPS;5.687
86;15;JAMBI;2020/2021 GANJIL;SLB;2.004
87;15;JAMBI;2020/2021 GANJIL;TPA;1.019
88;15;JAMBI;2020/2021 GANJIL;SKB;2.121
89;15;JAMBI;2019/2020 GENAP;SD;135.796
90;15;JAMBI;2019/2020 GENAP;SMP;87.859
91;15;JAMBI;2019/2020 GENAP;SMA;58.277
92;15;JAMBI;2019/2020 GENAP;SMK;40.321
93;15;JAMBI;2019/2020 GENAP;SLB;1.942
94;15;JAMBI;2019/2020 GENAP;KB;0
95;15;JAMBI;2019/2020 GENAP;PKBM;0
96;15;JAMBI;2019/2020 GENAP;SKB;0
97;15;JAMBI;2019/2020 GENAP;SPS;0
98;15;JAMBI;2019/2020 GENAP;TK;0
99;15;JAMBI;2019/2020 GENAP;TPA;0
100;15;JAMBI;2019/2020 GANJIL;SD;136.918
101;15;JAMBI;2019/2020 GANJIL;SMP;86.754
102;15;JAMBI;2019/2020 GANJIL;SMA;58.313
103;15;JAMBI;2019/2020 GANJIL;SMK;40.435
104;15;JAMBI;2019/2020 GANJIL;SLB;1.967
105;15;JAMBI;2019/2020 GANJIL;KB;0
106;15;JAMBI;2019/2020 GANJIL;PKBM;0
107;15;JAMBI;2019/2020 GANJIL;SKB;0
108;15;JAMBI;2019/2020 GANJIL;SPS;0
109;15;JAMBI;2019/2020 GANJIL;TK;0
110;15;JAMBI;2019/2020 GANJIL;TPA;0
