id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produksi;satuan;tahun
;15;JAMBI;1506;KELAPA SAWIT;153292;TON;2024
;15;JAMBI;1506;KELAPA DALAM;55224;TON;2024
;15;JAMBI;1506;KOPI ROBUSTA;0;TON;2024
;15;JAMBI;1506;KOPI ARABIKA;0;TON;2024
;15;JAMBI;1506;CASSIAVERA;0;TON;2024
;15;JAMBI;1506;KAKAO;20;TON;2024
;15;JAMBI;1506;PINANG;14048;TON;2024
;15;JAMBI;1506;KOPI LIBERIKA;1128;TON;2024
;15;JAMBI;1507;KARET;2515;TON;2024
;15;JAMBI;1507;KELAPA SAWIT;76398;TON;2024
;15;JAMBI;1507;KELAPA DALAM;57288;TON;2024
;15;JAMBI;1507;KOPI ROBUSTA;0;TON;2024
;15;JAMBI;1507;KOPI ARABIKA;0;TON;2024
;15;JAMBI;1507;CASSIAVERA;0;TON;2024
;15;JAMBI;1507;KAKAO;265;TON;2024
;15;JAMBI;1507;PINANG;17919;TON;2024
;15;JAMBI;1507;KOPI LIBERIKA;1237;TON;2024
;15;JAMBI;1508;KARET;50513;TON;2024
;15;JAMBI;1508;KELAPA SAWIT;108032;TON;2024
;15;JAMBI;1508;KELAPA DALAM;538;TON;2024
;15;JAMBI;1508;KOPI ROBUSTA;489;TON;2024
;15;JAMBI;1508;KOPI ARABIKA;0;TON;2024
;15;JAMBI;1508;CASSIAVERA;18;TON;2024
;15;JAMBI;1508;KAKAO;58;TON;2024
;15;JAMBI;1508;PINANG;51;TON;2024
;15;JAMBI;1508;KOPI LIBERIKA;0;TON;2024
;15;JAMBI;1509;KARET;50354;TON;2024
;15;JAMBI;1509;KELAPA SAWIT;119310;TON;2024
;15;JAMBI;1509;KELAPA DALAM;377;TON;2024
;15;JAMBI;1509;KOPI ROBUSTA;41;TON;2024
;15;JAMBI;1509;KOPI ARABIKA;0;TON;2024
;15;JAMBI;1509;CASSIAVERA;0;TON;2024
;15;JAMBI;1509;KAKAO;61;TON;2024
;15;JAMBI;1509;PINANG;36;TON;2024
;15;JAMBI;1509;KOPI LIBERIKA;0;TON;2024
;15;JAMBI;1571;KARET;0;TON;2024
;15;JAMBI;1571;KELAPA SAWIT;0;TON;2024
;15;JAMBI;1571;KELAPA DALAM;0;TON;2024
;15;JAMBI;1571;KOPI ROBUSTA;0;TON;2024
;15;JAMBI;1571;KOPI ARABIKA;0;TON;2024
;15;JAMBI;1571;CASSIAVERA;0;TON;2024
;15;JAMBI;1571;KAKAO;0;TON;2024
;15;JAMBI;1571;PINANG;0;TON;2024
;15;JAMBI;1571;KOPI LIBERIKA;0;TON;2024
;15;JAMBI;1572;KARET;0;TON;2024
;15;JAMBI;1572;KELAPA SAWIT;0;TON;2024
;15;JAMBI;1572;KELAPA DALAM;3;TON;2024
;15;JAMBI;1572;KOPI ROBUSTA;330;TON;2024
;15;JAMBI;1572;KOPI ARABIKA;373;TON;2024
;15;JAMBI;1572;CASSIAVERA;276;TON;2024
;15;JAMBI;1572;KAKAO;40;TON;2024
;15;JAMBI;1572;PINANG;21;TON;2024
;15;JAMBI;1572;KOPI LIBERIKA;0;TON;2024
