 ;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_perusahaan;nama_pemilik;badan_usaha;kbli_2020;jenis_industri;kategori_industri;jenis_produk;jumlah_produksi;satuan;status;tahun
62;15;JAMBI;1502;150202;1502021013;AMRIZAL;AMRIZAL;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;9600;KG;AKTIF;2023
63;15;JAMBI;1502;150205;1502032018;AMIN SIAK;AMIN SIAK;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;12000;KG;AKTIF;2023
64;15;JAMBI;1502;150202;1502021009;ISHARUDIN. T;I. TAMBUNAN;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;1200;KG;AKTIF;2023
65;15;JAMBI;1502;150202;1502021011;KOPI MANGKOK;DRS. AZHAR ANWAR;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;12000; KG ;AKTIF;2023
66;15;JAMBI;1502;150202;1502021011;CAP KERIS;YUSNIDAN, SE;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;15000; KG ;AKTIF;2023
67;15;JAMBI;1502;150202;1502021010;ASLAN;ASLAN;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;14400; KG ;AKTIF;2023
68;15;JAMBI;1502;150202;1502021013;JON KENEDY;JON KENEDY;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;7200; KG ;AKTIF;2023
69;15;JAMBI;1502;150208;1502082006;PD. JAYA MUDA;FRENGKI FERNANDO;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;38400; KG ;AKTIF;2023
70;15;JAMBI;1502;150201;0;KOPI BUBUK;NURSALIMAH;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;1200;BUNGKUS;AKTIF;2023
71;15;JAMBI;1502;150201;1502012011;KOPI BUBUK;DASWATI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;1500;BUNGKUS;AKTIF;2023
