NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;indikator;sub_indikator;nama_indikator;terget;capaian;periode
;15;JAMBI;1509;TEBO;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;-;SEMESTER I (2024)
;15;JAMBI;1571;KOTA JAMBI;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;14,3;SEMESTER I (2024)
;15;JAMBI;1572;KOTA SUNGAI PENUH;SENSITIF;SENSITIF2;PERSENTASE KEHAMILAN YANG TIDAK DIINGINKAN;15,5;-;SEMESTER I (2024)
;15;JAMBI;1501;KERINCI;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;78;SEMESTER I (2024)
;15;JAMBI;1502;MERANGIN;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;53;SEMESTER I (2024)
;15;JAMBI;1503;SAROLANGUN;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;86;SEMESTER I (2024)
;15;JAMBI;1504;BATANGHARI;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;60;SEMESTER I (2024)
;15;JAMBI;1505;MUARO JAMBI;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;0;SEMESTER I (2024)
;15;JAMBI;1506;TANJUNG JABUNG BARAT;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;82;SEMESTER I (2024)
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;100;SEMESTER I (2024)
;15;JAMBI;1508;BUNGO;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;100;SEMESTER I (2024)
;15;JAMBI;1509;TEBO;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;2;SEMESTER I (2024)
