kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;kode_kecamatan;nama_kecamatan;data_pokok;tahun_ajaran;status;bidang_pendidikan;jumlah
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;8
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;2
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;1
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;13
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;6
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;1
15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;0
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
