id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah,tahun
827,15,JAMBI,1506,TANJUNG JABUNG BARAT,150607,BATANG ASAM,AKTA LAHIR,MEMILIKI,JIWA,1,9823,2022
828,15,JAMBI,1506,TANJUNG JABUNG BARAT,150604,BETARA,AKTA LAHIR,MEMILIKI,JIWA,1,9110,2022
829,15,JAMBI,1506,TANJUNG JABUNG BARAT,150611,BRAM ITAM,AKTA LAHIR,MEMILIKI,JIWA,1,5438,2022
830,15,JAMBI,1506,TANJUNG JABUNG BARAT,150612,KUALA BETARA,AKTA LAHIR,MEMILIKI,JIWA,1,3845,2022
831,15,JAMBI,1506,TANJUNG JABUNG BARAT,150605,MERLUNG,AKTA LAHIR,MEMILIKI,JIWA,1,4486,2022
832,15,JAMBI,1506,TANJUNG JABUNG BARAT,150609,MUARA PAPALIK,AKTA LAHIR,MEMILIKI,JIWA,1,2848,2022
833,15,JAMBI,1506,TANJUNG JABUNG BARAT,150603,PENGABUAN,AKTA LAHIR,MEMILIKI,JIWA,1,6717,2022
834,15,JAMBI,1506,TANJUNG JABUNG BARAT,150608,RENAH MENDALUH,AKTA LAHIR,MEMILIKI,JIWA,1,4375,2022
835,15,JAMBI,1506,TANJUNG JABUNG BARAT,150610,SEBERANG KOTA,AKTA LAHIR,MEMILIKI,JIWA,1,2218,2022
836,15,JAMBI,1506,TANJUNG JABUNG BARAT,150613,SENYERANG,AKTA LAHIR,MEMILIKI,JIWA,1,6417,2022
837,15,JAMBI,1506,TANJUNG JABUNG BARAT,150606,TEBING TINGGI,AKTA LAHIR,MEMILIKI,JIWA,1,10942,2022
838,15,JAMBI,1506,TANJUNG JABUNG BARAT,150602,TUNGKAL ILIR,AKTA LAHIR,MEMILIKI,JIWA,1,21315,2022
839,15,JAMBI,1506,TANJUNG JABUNG BARAT,150601,TUNGKAL ULU,AKTA LAHIR,MEMILIKI,JIWA,1,4158,2022
840,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150711,BERBAK,AKTA LAHIR,MEMILIKI,JIWA,1,3197,2022
841,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150706,DENDANG,AKTA LAHIR,MEMILIKI,JIWA,1,4686,2022
842,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150710,GERAGAI,AKTA LAHIR,MEMILIKI,JIWA,1,7786,2022
843,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150708,KUALA JAMBI,AKTA LAHIR,MEMILIKI,JIWA,1,3858,2022
844,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150703,MENDAHARA,AKTA LAHIR,MEMILIKI,JIWA,1,7164,2022
845,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150709,MENDAHARA ULU,AKTA LAHIR,MEMILIKI,JIWA,1,5184,2022
846,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150707,MUARA SABAK BARAT,AKTA LAHIR,MEMILIKI,JIWA,1,7349,2022
847,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150701,MUARA SABAK TIMUR,AKTA LAHIR,MEMILIKI,JIWA,1,8856,2022
848,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150702,NIPAH PANJANG,AKTA LAHIR,MEMILIKI,JIWA,1,7266,2022
849,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150704,RANTAU RASAU,AKTA LAHIR,MEMILIKI,JIWA,1,6995,2022
850,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150705,S A D U,AKTA LAHIR,MEMILIKI,JIWA,1,3678,2022
851,15,JAMBI,1509,TEBO,150912,MUARA TABIR,AKTA LAHIR,MEMILIKI,JIWA,1,5045,2022
852,15,JAMBI,1509,TEBO,150904,RIMBO BUJANG,AKTA LAHIR,MEMILIKI,JIWA,1,18640,2022
853,15,JAMBI,1509,TEBO,150908,RIMBO ILIR,AKTA LAHIR,MEMILIKI,JIWA,1,6177,2022
854,15,JAMBI,1509,TEBO,150907,RIMBO ULU,AKTA LAHIR,MEMILIKI,JIWA,1,10907,2022
855,15,JAMBI,1509,TEBO,150910,SERAI SERUMPUN,AKTA LAHIR,MEMILIKI,JIWA,1,3030,2022
856,15,JAMBI,1509,TEBO,150905,SUMAY,AKTA LAHIR,MEMILIKI,JIWA,1,7130,2022
857,15,JAMBI,1509,TEBO,150902,TEBO ILIR,AKTA LAHIR,MEMILIKI,JIWA,1,8411,2022
858,15,JAMBI,1509,TEBO,150901,TEBO TENGAH,AKTA LAHIR,MEMILIKI,JIWA,1,12980,2022
859,15,JAMBI,1509,TEBO,150903,TEBO ULU,AKTA LAHIR,MEMILIKI,JIWA,1,9285,2022
860,15,JAMBI,1509,TEBO,150909,TENGAH ILIR,AKTA LAHIR,MEMILIKI,JIWA,1,8806,2022
861,15,JAMBI,1509,TEBO,150906,VII KOTO,AKTA LAHIR,MEMILIKI,JIWA,1,5709,2022
862,15,JAMBI,1509,TEBO,150911,VII KOTO ILIR,AKTA LAHIR,MEMILIKI,JIWA,1,5645,2022
863,15,JAMBI,1504,BATANGHARI,150407,BAJUBANG,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,682,2022
864,15,JAMBI,1504,BATANGHARI,150404,BATIN XXIV,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,570,2022
865,15,JAMBI,1504,BATANGHARI,150408,MARO SEBO ILIR,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,228,2022
866,15,JAMBI,1504,BATANGHARI,150406,MARO SEBO ULU,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,741,2022
867,15,JAMBI,1504,BATANGHARI,150401,MERSAM,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,339,2022
868,15,JAMBI,1504,BATANGHARI,150403,MUARA BULIAN,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,556,2022
869,15,JAMBI,1504,BATANGHARI,150402,MUARA TEMBESI,AKTA LAHIR,BELUM MEMILIKI,JIWA,1,840,2022
