NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;tahun;jumlah_keluarga_sasaran;jumlah_keluarga_berisiko_stunting;persentase_keluarga_berisiko_stunting
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;2022;2.915;585;20,07
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;2022;2.163;408;18,86
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;2022;4.645;4.363;93,93
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;2022;2.836;1.199;42,28
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;2022;1.548;1.396;90,18
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;2022;4.521;4.392;97,15
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;2022;6.410;3.342;52,14
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;2022;10.067;6.491;64,48
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;2022;2.588;562;21,72
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;2022;2.006;1.195;59,57
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;2022;2.851;1.674;58,72
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;2022;4.832;1.974;40,85
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;2022;2.458;2.219;90,28
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;2022;4.586;4.245;92,56
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;2022;3.089;1.835;59,40
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150707;MUARA SABAK BARAT;2022;3.937;1.486;37,74
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;2022;5.280;3.372;63,86
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;2022;4.125;3.348;81,16
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;2022;4.569;2.288;50,08
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;2022;2.498;1.530;61,25
;15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;2022;1.545;530;34,30
;15;JAMBI;1508;BUNGO;150811;BATHIN III;2022;4.625;1.324;28,63
;15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;2022;1.712;1.193;69,68
;15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;2022;2.884;860;29,82
;15;JAMBI;1508;BUNGO;150812;BUNGO DANI;2022;4.210;1.006;23,90
;15;JAMBI;1508;BUNGO;150804;JUJUHAN;2022;3.569;1.035;29,00
;15;JAMBI;1508;BUNGO;150816;JUJUHAN ILIR;2022;1.772;621;35,05
;15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;2022;2.979;1.230;41,29
;15;JAMBI;1508;BUNGO;150808;MUKO-MUKO BATHIN VII;2022;2.780;1.451;52,19
;15;JAMBI;1508;BUNGO;150803;PASAR MUARO BUNGO;2022;3.137;870;27,73
;15;JAMBI;1508;BUNGO;150806;PELEPAT;2022;6.252;2.301;36,80
;15;JAMBI;1508;BUNGO;150809;PELEPAT ILIR;2022;9.679;2.542;26,26
;15;JAMBI;1508;BUNGO;150802;RANTAU PANDAN;2022;1.989;855;42,99
;15;JAMBI;1508;BUNGO;150813;RIMBO TENGAH;2022;5.190;1.223;23,56
;15;JAMBI;1508;BUNGO;150805;TANAH SEPENGGAL;2022;4.611;2.357;51,12
;15;JAMBI;1508;BUNGO;150817;TANAH SEPENGGAL LINTAS;2022;4.307;2.017;46,83
;15;JAMBI;1508;BUNGO;150801;TANAH TUMBUH;2022;2.730;1.287;47,14
;15;JAMBI;1509;TEBO;150912;MUARA TABIR;2022;3.556;1.566;44,04
;15;JAMBI;1509;TEBO;150904;RIMBO BUJANG;2022;11.431;2.326;20,35
;15;JAMBI;1509;TEBO;150908;RIMBO ILIR;2022;3.850;1.268;32,94
;15;JAMBI;1509;TEBO;150907;RIMBO ULU;2022;7.168;1.501;20,94
;15;JAMBI;1509;TEBO;150910;SERAI SERUMPUN;2022;2.268;792;34,92
;15;JAMBI;1509;TEBO;150905;SUMAY;2022;4.321;1.805;41,77
;15;JAMBI;1509;TEBO;150902;TEBO ILIR;2022;5.588;1.775;31,76
;15;JAMBI;1509;TEBO;150901;TEBO TENGAH;2022;6.286;2.212;35,19
;15;JAMBI;1509;TEBO;150903;TEBO ULU;2022;6.737;2.154;31,97
;15;JAMBI;1509;TEBO;150909;TENGAH ILIR;2022;4.583;1.816;39,62
;15;JAMBI;1509;TEBO;150906;VII KOTO;2022;3.648;1.199;32,87
