NO;kode_provinsi;kode_kabupaten_kota;komoditi;jumlah_produksi;satuan;tahun
147;15;1508;DURIAN;16.979,50;KUINTAL;2023
148;15;1508;JENGKOL;3.544,20;KUINTAL;2023
149;15;1508;JERUK;4.195,75;KUINTAL;2023
150;15;1508;MANGGIS;1.315,55;KUINTAL;2023
151;15;1508;NANAS;481,40;KUINTAL;2023
152;15;1508;PISANG;11.432,80;KUINTAL;2023
153;15;1509;ALPUKAT;1.797,92;KUINTAL;2023
154;15;1509;DUKU;9.116,15;KUINTAL;2023
155;15;1509;DURIAN;11.941,22;KUINTAL;2023
156;15;1509;JENGKOL;5.825,95;KUINTAL;2023
157;15;1509;JERUK;8.409,33;KUINTAL;2023
158;15;1509;MANGGIS;1.155,73;KUINTAL;2023
159;15;1509;NANAS;138,90;KUINTAL;2023
160;15;1509;PISANG;5.966,04;KUINTAL;2023
161;15;1571;ALPUKAT;306,35;KUINTAL;2023
162;15;1571;DUKU;22,00;KUINTAL;2023
163;15;1571;DURIAN;202,80;KUINTAL;2023
164;15;1571;JENGKOL;1.115,70;KUINTAL;2023
165;15;1571;JERUK;23,50;KUINTAL;2023
166;15;1571;MANGGIS;86,00;KUINTAL;2023
167;15;1571;NANAS;10,60;KUINTAL;2023
168;15;1571;PISANG;469,20;KUINTAL;2023
169;15;1572;ALPUKAT;2.716,28;KUINTAL;2023
170;15;1572;DUKU;463,00;KUINTAL;2023
171;15;1572;DURIAN;2.976,00;KUINTAL;2023
172;15;1572;JENGKOL;80,20;KUINTAL;2023
173;15;1572;JERUK;14.607,00;KUINTAL;2023
174;15;1572;MANGGIS;4.166,00;KUINTAL;2023
175;15;1572;NANAS;12,00;KUINTAL;2023
176;15;1572;PISANG;4.992,60;KUINTAL;2023
