no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;semester;jumlah;satuan;tahun
26;15;JAMBI;1501;150105;KARTU IDENTITAS ANAK;MEMILIKI;1;1189;JIWA;2022
27;15;JAMBI;1501;150121;KARTU IDENTITAS ANAK;MEMILIKI;1;1242;JIWA;2022
28;15;JAMBI;1501;150111;KARTU IDENTITAS ANAK;MEMILIKI;1;1818;JIWA;2022
29;15;JAMBI;1501;150107;KARTU IDENTITAS ANAK;MEMILIKI;1;1126;JIWA;2022
30;15;JAMBI;1501;150120;KARTU IDENTITAS ANAK;MEMILIKI;1;1224;JIWA;2022
31;15;JAMBI;1501;150102;KARTU IDENTITAS ANAK;MEMILIKI;1;1224;JIWA;2022
32;15;JAMBI;1501;150123;KARTU IDENTITAS ANAK;MEMILIKI;1;965;JIWA;2022
33;15;JAMBI;1501;150117;KARTU IDENTITAS ANAK;MEMILIKI;1;1695;JIWA;2022
34;15;JAMBI;1501;150106;KARTU IDENTITAS ANAK;MEMILIKI;1;1108;JIWA;2022
35;15;JAMBI;1501;150101;KARTU IDENTITAS ANAK;MEMILIKI;1;789;JIWA;2022
36;15;JAMBI;1501;150115;KARTU IDENTITAS ANAK;MEMILIKI;1;2002;JIWA;2022
37;15;JAMBI;1501;150109;KARTU IDENTITAS ANAK;MEMILIKI;1;1840;JIWA;2022
38;15;JAMBI;1501;150119;KARTU IDENTITAS ANAK;MEMILIKI;1;2590;JIWA;2022
39;15;JAMBI;1501;150108;KARTU IDENTITAS ANAK;MEMILIKI;1;808;JIWA;2022
40;15;JAMBI;1501;150104;KARTU IDENTITAS ANAK;MEMILIKI;1;882;JIWA;2022
41;15;JAMBI;1501;150116;KARTU IDENTITAS ANAK;MEMILIKI;1;2887;JIWA;2022
42;15;JAMBI;1501;150118;KARTU IDENTITAS ANAK;MEMILIKI;1;1743;JIWA;2022
43;15;JAMBI;1501;150122;KARTU IDENTITAS ANAK;MEMILIKI;1;668;JIWA;2022
44;15;JAMBI;1571;157109;KARTU IDENTITAS ANAK;MEMILIKI;1;14131;JIWA;2022
45;15;JAMBI;1571;157110;KARTU IDENTITAS ANAK;MEMILIKI;1;5678;JIWA;2022
46;15;JAMBI;1571;157106;KARTU IDENTITAS ANAK;MEMILIKI;1;1282;JIWA;2022
47;15;JAMBI;1571;157102;KARTU IDENTITAS ANAK;MEMILIKI;1;6666;JIWA;2022
48;15;JAMBI;1571;157103;KARTU IDENTITAS ANAK;MEMILIKI;1;8578;JIWA;2022
49;15;JAMBI;1571;157108;KARTU IDENTITAS ANAK;MEMILIKI;1;7112;JIWA;2022
50;15;JAMBI;1571;157107;KARTU IDENTITAS ANAK;MEMILIKI;1;11740;JIWA;2022
51;15;JAMBI;1571;157111;KARTU IDENTITAS ANAK;MEMILIKI;1;13006;JIWA;2022
52;15;JAMBI;1571;157104;KARTU IDENTITAS ANAK;MEMILIKI;1;1342;JIWA;2022
53;15;JAMBI;1571;157105;KARTU IDENTITAS ANAK;MEMILIKI;1;1564;JIWA;2022
54;15;JAMBI;1571;157101;KARTU IDENTITAS ANAK;MEMILIKI;1;6367;JIWA;2022
55;15;JAMBI;1572;157203;KARTU IDENTITAS ANAK;MEMILIKI;1;979;JIWA;2022
56;15;JAMBI;1572;157207;KARTU IDENTITAS ANAK;MEMILIKI;1;545;JIWA;2022
57;15;JAMBI;1572;157205;KARTU IDENTITAS ANAK;MEMILIKI;1;753;JIWA;2022
58;15;JAMBI;1572;157202;KARTU IDENTITAS ANAK;MEMILIKI;1;1025;JIWA;2022
59;15;JAMBI;1572;157206;KARTU IDENTITAS ANAK;MEMILIKI;1;1525;JIWA;2022
60;15;JAMBI;1572;157208;KARTU IDENTITAS ANAK;MEMILIKI;1;922;JIWA;2022
61;15;JAMBI;1572;157201;KARTU IDENTITAS ANAK;MEMILIKI;1;783;JIWA;2022
62;15;JAMBI;1572;157204;KARTU IDENTITAS ANAK;MEMILIKI;1;568;JIWA;2022
63;15;JAMBI;1502;150202;KARTU IDENTITAS ANAK;MEMILIKI;1;6600;JIWA;2022
64;15;JAMBI;1502;150210;KARTU IDENTITAS ANAK;MEMILIKI;1;993;JIWA;2022
65;15;JAMBI;1502;150212;KARTU IDENTITAS ANAK;MEMILIKI;1;1214;JIWA;2022
66;15;JAMBI;1502;150201;KARTU IDENTITAS ANAK;MEMILIKI;1;821;JIWA;2022
67;15;JAMBI;1502;150218;KARTU IDENTITAS ANAK;MEMILIKI;1;678;JIWA;2022
68;15;JAMBI;1502;150209;KARTU IDENTITAS ANAK;MEMILIKI;1;1117;JIWA;2022
69;15;JAMBI;1502;150221;KARTU IDENTITAS ANAK;MEMILIKI;1;1397;JIWA;2022
70;15;JAMBI;1502;150203;KARTU IDENTITAS ANAK;MEMILIKI;1;1101;JIWA;2022
71;15;JAMBI;1502;150211;KARTU IDENTITAS ANAK;MEMILIKI;1;1963;JIWA;2022
72;15;JAMBI;1502;150206;KARTU IDENTITAS ANAK;MEMILIKI;1;3998;JIWA;2022
73;15;JAMBI;1502;150213;KARTU IDENTITAS ANAK;MEMILIKI;1;1760;JIWA;2022
74;15;JAMBI;1502;150220;KARTU IDENTITAS ANAK;MEMILIKI;1;1169;JIWA;2022
75;15;JAMBI;1502;150217;KARTU IDENTITAS ANAK;MEMILIKI;1;531;JIWA;2022
76;15;JAMBI;1502;150219;KARTU IDENTITAS ANAK;MEMILIKI;1;1299;JIWA;2022
77;15;JAMBI;1502;150216;KARTU IDENTITAS ANAK;MEMILIKI;1;1084;JIWA;2022
78;15;JAMBI;1502;150204;KARTU IDENTITAS ANAK;MEMILIKI;1;768;JIWA;2022
79;15;JAMBI;1502;150205;KARTU IDENTITAS ANAK;MEMILIKI;1;3047;JIWA;2022
80;15;JAMBI;1502;150223;KARTU IDENTITAS ANAK;MEMILIKI;1;780;JIWA;2022
81;15;JAMBI;1502;150214;KARTU IDENTITAS ANAK;MEMILIKI;1;767;JIWA;2022
82;15;JAMBI;1502;150222;KARTU IDENTITAS ANAK;MEMILIKI;1;861;JIWA;2022
83;15;JAMBI;1502;150208;KARTU IDENTITAS ANAK;MEMILIKI;1;4547;JIWA;2022
84;15;JAMBI;1502;150215;KARTU IDENTITAS ANAK;MEMILIKI;1;607;JIWA;2022
85;15;JAMBI;1502;150207;KARTU IDENTITAS ANAK;MEMILIKI;1;623;JIWA;2022
86;15;JAMBI;1502;150224;KARTU IDENTITAS ANAK;MEMILIKI;1;332;JIWA;2022
87;15;JAMBI;1505;150510;KARTU IDENTITAS ANAK;MEMILIKI;1;2397;JIWA;2022
88;15;JAMBI;1505;150509;KARTU IDENTITAS ANAK;MEMILIKI;1;1435;JIWA;2022
89;15;JAMBI;1505;150501;KARTU IDENTITAS ANAK;MEMILIKI;1;2633;JIWA;2022
90;15;JAMBI;1505;150503;KARTU IDENTITAS ANAK;MEMILIKI;1;1035;JIWA;2022
91;15;JAMBI;1505;150506;KARTU IDENTITAS ANAK;MEMILIKI;1;4898;JIWA;2022
92;15;JAMBI;1505;150504;KARTU IDENTITAS ANAK;MEMILIKI;1;1631;JIWA;2022
93;15;JAMBI;1505;150505;KARTU IDENTITAS ANAK;MEMILIKI;1;1384;JIWA;2022
94;15;JAMBI;1505;150502;KARTU IDENTITAS ANAK;MEMILIKI;1;3751;JIWA;2022
95;15;JAMBI;1505;150507;KARTU IDENTITAS ANAK;MEMILIKI;1;3397;JIWA;2022
96;15;JAMBI;1505;150508;KARTU IDENTITAS ANAK;MEMILIKI;1;6946;JIWA;2022
97;15;JAMBI;1505;150511;KARTU IDENTITAS ANAK;MEMILIKI;1;1513;JIWA;2022
98;15;JAMBI;1503;150307;KARTU IDENTITAS ANAK;MEMILIKI;1;1466;JIWA;2022
99;15;JAMBI;1503;150301;KARTU IDENTITAS ANAK;MEMILIKI;1;1230;JIWA;2022
100;15;JAMBI;1503;150308;KARTU IDENTITAS ANAK;MEMILIKI;1;1291;JIWA;2022
101;15;JAMBI;1503;150310;KARTU IDENTITAS ANAK;MEMILIKI;1;875;JIWA;2022
102;15;JAMBI;1503;150302;KARTU IDENTITAS ANAK;MEMILIKI;1;1333;JIWA;2022
103;15;JAMBI;1503;150306;KARTU IDENTITAS ANAK;MEMILIKI;1;1567;JIWA;2022
104;15;JAMBI;1503;15030;KARTU IDENTITAS ANAK;MEMILIKI;1;748;JIWA;2022
105;15;JAMBI;1503;150304;KARTU IDENTITAS ANAK;MEMILIKI;1;1526;JIWA;2022
106;15;JAMBI;1503;150305;KARTU IDENTITAS ANAK;MEMILIKI;1;2186;JIWA;2022
107;15;JAMBI;1503;150303;KARTU IDENTITAS ANAK;MEMILIKI;1;8527;JIWA;2022
108;15;JAMBI;1503;150309;KARTU IDENTITAS ANAK;MEMILIKI;1;2316;JIWA;2022
109;15;JAMBI;1506;150607;KARTU IDENTITAS ANAK;MEMILIKI;1;2324;JIWA;2022
110;15;JAMBI;1506;150604;KARTU IDENTITAS ANAK;MEMILIKI;1;2176;JIWA;2022
111;15;JAMBI;1506;150611;KARTU IDENTITAS ANAK;MEMILIKI;1;1247;JIWA;2022
112;15;JAMBI;1506;150612;KARTU IDENTITAS ANAK;MEMILIKI;1;867;JIWA;2022
113;15;JAMBI;1506;150605;KARTU IDENTITAS ANAK;MEMILIKI;1;1015;JIWA;2022
114;15;JAMBI;1506;150609;KARTU IDENTITAS ANAK;MEMILIKI;1;722;JIWA;2022
115;15;JAMBI;1506;150603;KARTU IDENTITAS ANAK;MEMILIKI;1;1771;JIWA;2022
116;15;JAMBI;1506;150608;KARTU IDENTITAS ANAK;MEMILIKI;1;1174;JIWA;2022
117;15;JAMBI;1506;150610;KARTU IDENTITAS ANAK;MEMILIKI;1;463;JIWA;2022
118;15;JAMBI;1506;150613;KARTU IDENTITAS ANAK;MEMILIKI;1;2142;JIWA;2022
119;15;JAMBI;1506;150606;KARTU IDENTITAS ANAK;MEMILIKI;1;2498;JIWA;2022
120;15;JAMBI;1506;150602;KARTU IDENTITAS ANAK;MEMILIKI;1;7916;JIWA;2022
121;15;JAMBI;1506;150601;KARTU IDENTITAS ANAK;MEMILIKI;1;1281;JIWA;2022
122;15;JAMBI;1507;150711;KARTU IDENTITAS ANAK;MEMILIKI;1;885;JIWA;2022
123;15;JAMBI;1507;150706;KARTU IDENTITAS ANAK;MEMILIKI;1;1730;JIWA;2022
124;15;JAMBI;1507;150710;KARTU IDENTITAS ANAK;MEMILIKI;1;1871;JIWA;2022
125;15;JAMBI;1507;150708;KARTU IDENTITAS ANAK;MEMILIKI;1;860;JIWA;2022
126;15;JAMBI;1507;150703;KARTU IDENTITAS ANAK;MEMILIKI;1;2850;JIWA;2022
127;15;JAMBI;1507;150709;KARTU IDENTITAS ANAK;MEMILIKI;1;533;JIWA;2022
128;15;JAMBI;1507;150707;KARTU IDENTITAS ANAK;MEMILIKI;1;1557;JIWA;2022
129;15;JAMBI;1507;150701;KARTU IDENTITAS ANAK;MEMILIKI;1;2585;JIWA;2022
130;15;JAMBI;1507;150702;KARTU IDENTITAS ANAK;MEMILIKI;1;1218;JIWA;2022
131;15;JAMBI;1507;150704;KARTU IDENTITAS ANAK;MEMILIKI;1;506;JIWA;2022
132;15;JAMBI;1507;150705;KARTU IDENTITAS ANAK;MEMILIKI;1;1032;JIWA;2022
133;15;JAMBI;1509;150912;KARTU IDENTITAS ANAK;MEMILIKI;1;1189;JIWA;2022
134;15;JAMBI;1509;150904;KARTU IDENTITAS ANAK;MEMILIKI;1;6406;JIWA;2022
135;15;JAMBI;1509;150908;KARTU IDENTITAS ANAK;MEMILIKI;1;2756;JIWA;2022
136;15;JAMBI;1509;150907;KARTU IDENTITAS ANAK;MEMILIKI;1;3464;JIWA;2022
137;15;JAMBI;1509;150910;KARTU IDENTITAS ANAK;MEMILIKI;1;956;JIWA;2022
138;15;JAMBI;1509;150905;KARTU IDENTITAS ANAK;MEMILIKI;1;1417;JIWA;2022
139;15;JAMBI;1509;150902;KARTU IDENTITAS ANAK;MEMILIKI;1;2122;JIWA;2022
140;15;JAMBI;1509;150901;KARTU IDENTITAS ANAK;MEMILIKI;1;4080;JIWA;2022
141;15;JAMBI;1509;150903;KARTU IDENTITAS ANAK;MEMILIKI;1;2345;JIWA;2022
142;15;JAMBI;1509;150909;KARTU IDENTITAS ANAK;MEMILIKI;1;2530;JIWA;2022
143;15;JAMBI;1509;150906;KARTU IDENTITAS ANAK;MEMILIKI;1;1791;JIWA;2022
144;15;JAMBI;1509;150911;KARTU IDENTITAS ANAK;MEMILIKI;1;1939;JIWA;2022
145;15;JAMBI;1504;150407;KARTU IDENTITAS ANAK;BELUM MEMILIKI;1;7633;JIWA;2022
146;15;JAMBI;1504;150404;KARTU IDENTITAS ANAK;BELUM MEMILIKI;1;6480;JIWA;2022
