id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;jumlah_produksi;satuan;tahun
;15;JAMBI;1501;PISANG;26036,15;KUINTAL;2024
;15;JAMBI;1502;ALPUKAT;10398,8;KUINTAL;2024
;15;JAMBI;1502;DUKU;101030,00;KUINTAL;2024
;15;JAMBI;1502;DURIAN;51791;KUINTAL;2024
;15;JAMBI;1502;JENGKOL;26383;KUINTAL;2024
;15;JAMBI;1502;JERUK;23102;KUINTAL;2024
;15;JAMBI;1502;MANGGIS;24591;KUINTAL;2024
;15;JAMBI;1502;NANAS;717640,5;KUINTAL;2024
;15;JAMBI;1502;PISANG;29577;KUINTAL;2024
;15;JAMBI;1503;ALPUKAT;485,35;KUINTAL;2024
;15;JAMBI;1503;DUKU;7237,85;KUINTAL;2024
;15;JAMBI;1503;DURIAN;48115,8;KUINTAL;2024
;15;JAMBI;1503;JENGKOL;3935,05;KUINTAL;2024
;15;JAMBI;1503;JERUK;47537,65;KUINTAL;2024
;15;JAMBI;1503;MANGGIS;1029,35;KUINTAL;2024
;15;JAMBI;1503;NANAS;463,3;KUINTAL;2024
;15;JAMBI;1503;PISANG;71053,74;KUINTAL;2024
;15;JAMBI;1504;ALPUKAT;748,67;KUINTAL;2024
;15;JAMBI;1504;DUKU;22948,28;KUINTAL;2024
;15;JAMBI;1504;DURIAN;54982,05;KUINTAL;2024
;15;JAMBI;1504;JENGKOL;8506,54;KUINTAL;2024
;15;JAMBI;1504;JERUK;16714,76;KUINTAL;2024
;15;JAMBI;1504;MANGGIS;3782,97;KUINTAL;2024
;15;JAMBI;1504;NANAS;1849,75;KUINTAL;2024
;15;JAMBI;1504;PISANG;39707,9;KUINTAL;2024
;15;JAMBI;1505;ALPUKAT;10873,98;KUINTAL;2024
;15;JAMBI;1505;DUKU;24956,04;KUINTAL;2024
;15;JAMBI;1505;DURIAN;64788,27;KUINTAL;2024
;15;JAMBI;1505;JENGKOL;15488,3;KUINTAL;2024
;15;JAMBI;1505;JERUK;15247;KUINTAL;2024
;15;JAMBI;1505;MANGGIS;1061,7;KUINTAL;2024
;15;JAMBI;1505;NANAS;728333,46;KUINTAL;2024
;15;JAMBI;1505;PISANG;63786,4;KUINTAL;2024
;15;JAMBI;1506;ALPUKAT;230;KUINTAL;2024
;15;JAMBI;1506;DUKU;6899,00;KUINTAL;2024
;15;JAMBI;1506;DURIAN;1919,04;KUINTAL;2024
;15;JAMBI;1506;JENGKOL;3020;KUINTAL;2024
;15;JAMBI;1506;JERUK;833;KUINTAL;2024
;15;JAMBI;1506;MANGGIS;392;KUINTAL;2024
;15;JAMBI;1506;NANAS;34920,5;KUINTAL;2024
;15;JAMBI;1506;PISANG;130387;KUINTAL;2024
;15;JAMBI;1507;ALPUKAT;2890,67;KUINTAL;2024
;15;JAMBI;1507;DUKU;51365,65;KUINTAL;2024
;15;JAMBI;1507;DURIAN;59712,72;KUINTAL;2024
;15;JAMBI;1507;JENGKOL;2482,13;KUINTAL;2024
;15;JAMBI;1507;JERUK;19343,4;KUINTAL;2024
;15;JAMBI;1507;MANGGIS;2100,79;KUINTAL;2024
;15;JAMBI;1507;NANAS;3277,04;KUINTAL;2024
;15;JAMBI;1507;PISANG;42390,75;KUINTAL;2024
;15;JAMBI;1508;ALPUKAT;574,1;KUINTAL;2024
;15;JAMBI;1508;DUKU;31334,62;KUINTAL;2024
;15;JAMBI;1508;DURIAN;22026,8;KUINTAL;2024
;15;JAMBI;1508;JENGKOL;4879,3;KUINTAL;2024
;15;JAMBI;1508;JERUK;4230,5;KUINTAL;2024
;15;JAMBI;1508;MANGGIS;2355,8;KUINTAL;2024
;15;JAMBI;1508;NANAS;773,9;KUINTAL;2024
;15;JAMBI;1508;PISANG;12788,6;KUINTAL;2024
;15;JAMBI;1509;ALPUKAT;1892,29;KUINTAL;2024
