id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_produktivitas;satuan;tahun;
;15;JAMBI;1506;PISANG;1043,40;KUINTAL/HEKTAR;2024;
;15;JAMBI;1507;ALPUKAT;252,68;KUINTAL/HEKTAR;2024;
;15;JAMBI;1507;DUKU;333,85;KUINTAL/HEKTAR;2024;
;15;JAMBI;1507;DURIAN;349,89;KUINTAL/HEKTAR;2024;
;15;JAMBI;1507;JENGKOL;66,37;KUINTAL/HEKTAR;2024;
;15;JAMBI;1507;JERUK;456,94;KUINTAL/HEKTAR;2024;
;15;JAMBI;1507;MANGGIS;43,56;KUINTAL/HEKTAR;2024;
;15;JAMBI;1507;NANAS;2809,63;KUINTAL/HEKTAR;2024;
;15;JAMBI;1507;PISANG;690,35;KUINTAL/HEKTAR;2024;
;15;JAMBI;1508;ALPUKAT;59,06;KUINTAL/HEKTAR;2024;
;15;JAMBI;1508;DUKU;54,52;KUINTAL/HEKTAR;2024;
;15;JAMBI;1508;DURIAN;65,22;KUINTAL/HEKTAR;2024;
;15;JAMBI;1508;JENGKOL;73,51;KUINTAL/HEKTAR;2024;
;15;JAMBI;1508;JERUK;103,68;KUINTAL/HEKTAR;2024;
;15;JAMBI;1508;MANGGIS;104,10;KUINTAL/HEKTAR;2024;
;15;JAMBI;1508;NANAS;8058,10;KUINTAL/HEKTAR;2024;
;15;JAMBI;1508;PISANG;434,50;KUINTAL/HEKTAR;2024;
;15;JAMBI;1509;ALPUKAT;157,69;KUINTAL/HEKTAR;2024;
;15;JAMBI;1509;DUKU;119,48;KUINTAL/HEKTAR;2024;
;15;JAMBI;1509;DURIAN;163,56;KUINTAL/HEKTAR;2024;
;15;JAMBI;1509;JENGKOL;154,49;KUINTAL/HEKTAR;2024;
;15;JAMBI;1509;JERUK;967,39;KUINTAL/HEKTAR;2024;
;15;JAMBI;1509;MANGGIS;112,93;KUINTAL/HEKTAR;2024;
;15;JAMBI;1509;NANAS;3630,21;KUINTAL/HEKTAR;2024;
;15;JAMBI;1509;PISANG;1312,22;KUINTAL/HEKTAR;2024;
;15;JAMBI;1571;ALPUKAT;99,14;KUINTAL/HEKTAR;2024;
;15;JAMBI;1571;DUKU;179,38;KUINTAL/HEKTAR;2024;
;15;JAMBI;1571;DURIAN;54,07;KUINTAL/HEKTAR;2024;
;15;JAMBI;1571;JENGKOL;97,61;KUINTAL/HEKTAR;2024;
;15;JAMBI;1571;JERUK;360,00;KUINTAL/HEKTAR;2024;
;15;JAMBI;1571;MANGGIS;87,78;KUINTAL/HEKTAR;2024;
;15;JAMBI;1571;NANAS;10000,00;KUINTAL/HEKTAR;2024;
;15;JAMBI;1571;PISANG;855,64;KUINTAL/HEKTAR;2024;
;15;JAMBI;1572;ALPUKAT;134,64;KUINTAL/HEKTAR;2024;
;15;JAMBI;1572;DUKU;245,05;KUINTAL/HEKTAR;2024;
;15;JAMBI;1572;DURIAN;470,40;KUINTAL/HEKTAR;2024;
;15;JAMBI;1572;JENGKOL;65,71;KUINTAL/HEKTAR;2024;
;15;JAMBI;1572;JERUK;782,76;KUINTAL/HEKTAR;2024;
;15;JAMBI;1572;MANGGIS;111,40;KUINTAL/HEKTAR;2024;
;15;JAMBI;1572;NANAS;2325,58;KUINTAL/HEKTAR;2024;
;15;JAMBI;1572;PISANG;777,74;KUINTAL/HEKTAR;2024;
