NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_kb;pus_terlalu_tua_tidak_menggunakan_kb;pus_terlalu_dekat_tidak_menggunakan_kb;pus_terlalu_banyak_tidak_menggunakan_kb
73;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;1.199;182;399;23;451;12;432
74;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;2.419;1.914;440;6;339;4;205
75;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2.687;2.503;697;11;199;3;147
76;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2.375;2.361;628;16;112;2;66
77;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;324;58;95;13;119;2;86
78;15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;89;6;21;8;45;1;21
79;15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;4.324;4.267;1.219;10;299;7;211
80;15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;653;162;378;9;156;4;141
81;15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;1.458;1.432;543;3;49;1;41
82;15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;3.901;3.626;1.525;19;324;3;146
83;15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;997;167;367;8;377;7;288
84;15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;5.114;3.551;1.909;4;676;5;569
85;15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;241;8;88;4;104;1;74
86;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;555;149;455;0;32;1;18
87;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;1.004;753;302;1;99;1;54
88;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;978;670;82;15;229;6;125
89;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;1.787;1.116;1.058;1;127;3;109
90;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;3.235;2.986;1.194;10;270;2;142
91;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;764;172;404;22;187;3;165
