No;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;nama_sekolah;tipe;jenjang_pendidikan;akreditasi;tahun_akreditasi;tahun_terbit_sertifikat_akreditasi;tahun_berakhir_sertifikat_akreditasi;status
135;15;JAMBI;1505;150505;SMK AL-IHYA ULUMADDIN;SWASTA;SMK;BT;BT;0;0;Rencana Akreditasi 2024
136;15;JAMBI;1505;150507;SMKS AL-IRSYAD MUARO JAMBI;SWASTA;SMK;BT;BT;0;0;Rencana Akreditasi 2024
137;15;JAMBI;1505;150502;SLB MUARO JAMBI;NEGERI;SLB;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
138;15;JAMBI;1505;150507;SLBN SUNGAI BAHAR;NEGERI;SLB;BT;BT;0;0;Rencana Akreditasi 2024
139;15;JAMBI;1505;150501;SLB IT AL MUIZ;SWASTA;SLB;BT;BT;0;0;Rencana Akreditasi 2024
140;15;JAMBI;1504;150403;SMAN 1 BATANG HARI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
141;15;JAMBI;1504;150402;SMAN 2 BATANG HARI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
142;15;JAMBI;1504;150404;SMAN 3 BATANG HARI;NEGERI;SMA;A;2021;08/12/2021;31/12/2026;Akreditasi 2021
143;15;JAMBI;1504;150401;SMAN 4 BATANG HARI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
144;15;JAMBI;1504;150407;SMAN 5 BATANG HARI;NEGERI;SMA;A;2023;28/04/2023;28/04/2028;Akreditasi 2023
145;15;JAMBI;1504;150403;SMAN 6 BATANG HARI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
146;15;JAMBI;1504;150406;SMAN 7 BATANG HARI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
147;15;JAMBI;1504;150405;SMAN 8 BATANG HARI;NEGERI;SMA;A;2023;28/04/2023;28/04/2028;Akreditasi 2023
148;15;JAMBI;1504;150404;SMAN 9 BATANG HARI;NEGERI;SMA;B;2023;21/11/2023;21/11/2028;Akreditasi 2023
149;15;JAMBI;1504;150403;SMAN 10 BATANG HARI;NEGERI;SMA;A;2022;20/10/2022;20/10/2027;Akreditasi 2022
150;15;JAMBI;1504;150408;SMAN 11 BATANG HARI;NEGERI;SMA;B;2022;06/12/2022;06/12/2027;Akreditasi 2022
151;15;JAMBI;1504;150405;SMA IT ASH SHIDDIIQI;SWASTA;SMA;B;2023;12/12/2023;12/12/2024;
152;15;JAMBI;1504;150403;SMAS IT TRIO BATANG HARI;SWASTA;SMA;C;2023;12/12/2023;12/12/2028;Akreditasi 2023
153;15;JAMBI;1504;150402;SMAS MADINAH;SWASTA;SMA;C;2023;12/12/2023;12/12/2028;Akreditasi 2023
154;15;JAMBI;1504;150403;SMAS ZULHIJJAH MA BULIAN;SWASTA;SMA;B;2022;20/10/2022;20/10/2027;Akreditasi 2022
155;15;JAMBI;1504;150403;SMA ELHAFIDZIYAH;SWASTA;SMA;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
156;15;JAMBI;1504;150403;SMA MANARUL HUDA;SWASTA;SMA;C;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
157;15;JAMBI;1504;150403;SMA IT KOSGORO;SWASTA;SMA;BT;BT;0;0;Rencana Akreditasi 2024
