id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
1782;15;JAMBI;1504;150402;15/08/2024;LUKA;JIWA;0; Rp-   ;2024
1783;15;JAMBI;1504;150402;15/08/2024;MENDERITA;JIWA;0; Rp-   ;2024
1784;15;JAMBI;1504;150402;15/08/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
1785;15;JAMBI;1504;150402;15/08/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
1786;15;JAMBI;1504;150402;15/08/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
1787;15;JAMBI;1504;150402;15/08/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
1788;15;JAMBI;1504;150402;15/08/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
1789;15;JAMBI;1504;150402;15/08/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
1790;15;JAMBI;1504;150402;15/08/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
1791;15;JAMBI;1504;150402;15/08/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
1792;15;JAMBI;1504;150402;15/08/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
1793;15;JAMBI;1504;150402;15/08/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
1794;15;JAMBI;1504;150402;15/08/2024;JEMBATAN;UNIT;0; Rp-   ;2024
1795;15;JAMBI;1504;150402;15/08/2024;JALAN;KM;0; Rp-   ;2024
1796;15;JAMBI;1504;150402;15/08/2024;SAWAH;HA;5; Rp-   ;2024
1797;15;JAMBI;1504;150402;15/08/2024;KEBUN/HUTAN;HA;0; Rp-   ;2024
1798;15;JAMBI;1504;150402;15/08/2024;KOLAM;HA;0; Rp-   ;2024
1799;15;JAMBI;1504;150402;15/08/2024;IRIGASI;HA;0; Rp-   ;2024
1800;15;JAMBI;1504;150404;19/08/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
1801;15;JAMBI;1504;150404;19/08/2024;HILANG;JIWA;0; Rp-   ;2024
1802;15;JAMBI;1504;150404;19/08/2024;LUKA;JIWA;0; Rp-   ;2024
1803;15;JAMBI;1504;150404;19/08/2024;MENDERITA;JIWA;0; Rp-   ;2024
1804;15;JAMBI;1504;150404;19/08/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
1805;15;JAMBI;1504;150404;19/08/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
1806;15;JAMBI;1504;150404;19/08/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
1807;15;JAMBI;1504;150404;19/08/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
1808;15;JAMBI;1504;150404;19/08/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
1809;15;JAMBI;1504;150404;19/08/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
1810;15;JAMBI;1504;150404;19/08/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
1811;15;JAMBI;1504;150404;19/08/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
1812;15;JAMBI;1504;150404;19/08/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
1813;15;JAMBI;1504;150404;19/08/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
1814;15;JAMBI;1504;150404;19/08/2024;JEMBATAN;UNIT;0; Rp-   ;2024
1815;15;JAMBI;1504;150404;19/08/2024;JALAN;KM;0; Rp-   ;2024
1816;15;JAMBI;1504;150404;19/08/2024;SAWAH;HA;1; Rp-   ;2024
