no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;nama_desa_wisata;potensi_desa;status
39;15;JAMBI;1505;150508;Agro Wisata Nanas;-;Rintisan
40;15;JAMBI;1505;150501;Lubuk Guci Emas;Alam Dan Budaya;Rintisan
41;15;JAMBI;1503;150301;SUNGAI KERADAK;Alam (AIR GARAM INUM TINGGI);Rintisan
42;15;JAMBI;1503;150301;MUARA AIR DUA;Alam (PANORAMA BUKIT PAPAN);Rintisan
43;15;JAMBI;1503;150301;LUBUK BANGKAR;Alam (PANORAMA BUKIT TEMPURUNG);Berkembang
44;15;JAMBI;1503;150302;"NAPAL
MELINTANG";Alam (GOA);Rintisan
45;15;JAMBI;1503;150307;JERNIH;Alam (BENDUNGAN, AIR MUAP);Berkembang
46;15;JAMBI;1503;150307;LUBUK JERING;Alam/ Budaya;Rintisan
47;15;JAMBI;1503;150307;BUKIT SUBAN;Alam (PANORAMA BUKIT PUNCAK SUBAN);Rintisan
48;15;JAMBI;1503;150302;MERIBUNG;Alam (GOA);Rintisan
49;15;JAMBI;1572;157201;KOTO RENDAH;Desa Karya Bakti;-
50;15;JAMBI;1506;150602;DESA WISATA MANGROVE PANGKAL BABU;Eko Wisata Mangrove,Budi Daya Hasil Kebun;Rintisan
51;15;JAMBI;1506;150604;DESA WISATA SUKAREJO;Agro Wisata Kopi ,Agro Wisata Taman Bonsai,Agro Wisata Perkebunan Kopi;Rintisan
52;15;JAMBI;1507;150708;BAHARI CERIA;"Cafe Bernuansa Alam, Teknik Menangkap Ikan
(Menjaring Sondong Dan Memancing) Menyumbun (Memanen Sumbun/Kerang Bambu) Wisata Alam Mangrove Dan Habitat Kunang-Kunang.";Berkembang
53;15;JAMBI;1509;150904;Perintis;Pemandian Alami,Taman Bunga,Budaya;Rintisan
54;15;JAMBI;1509;150903;TELUK KEMBANG JAMBU;Panorama,Budaya,Taman;Rintisan
55;15;JAMBI;1509;150911;Danau Riak Tebakang.;Buatan Dan Ekowisata,Budaya, Taman;Rintisan
56;15;JAMBI;1509;150901;Betung Bedarah;Alam Dan Wisata Buatan;Rintisan
57;15;JAMBI;1509;150905;Muaro Sekalo;Alam Dan Budaya;-
58;15;JAMBI;1509;150903;Negeri Pemuncak Teluk Kuali;-;-
