id;kode_provinsi;nama_provinsi;hari_tanggal;waktu;lokasi;organisasi;tuntutan;pemecahan_masalah;instan_terkait;keterangan;;
37;15;JAMBI;"rabu
09     agustus
2023";"Jam 10.00
s/d selesai";"Kantor gubernur jambi      dan Kantor DPRD
provinsi Jambi";Partai buruh.  dengan masa ± 100 orang;"-  Cabut omnibus law uu cipta kerja
-  Naikan upah buruh 2024 sebesar 15%";-;Tidak ada yang menerima;Aman dan terkendali;;
38;15;JAMBI;"selasa
15     agustus
2023";"Jam 10.00
s/d selesai";"Kantor Gubernur dan    Kantor DPRD
Provinsi Jambi";Aliansi          mahasiswa          dan masyarakat.  dengan  masa  ±  15 orang;-  Yaitu merebut Kembali kemerdekaan masyarakat pematqang bedaro;-;"Diterima oleh :
Asisten I biro pem arif munandar dan arpani kesbangpol prov jambi";Aman dan terkendali;;
39;15;JAMBI;"senin
21     agustus
2023";"Jam 09.00
s/d selesai";Kantor Gubernur Jambi;DPD Indonesian Morality Watch di Kantor  Gubernur  Jambi.   dengan masa ± 50 orang;"-  Meminta kadis kominfo menjelaskan besarnya biaya belanja sewa jaringan telpon dan band width atas volume pekerjaan 24 k/bd.duga-mark-up
-  Menjelaskan penggunaan anggaran pada kegiatan belanja kawlit/faximili/internet/ di provinsi jambi
-  Mendesak kejati memanggil dan periksa kadis kominfo provinsi jambi, ppk, pptk kontraktor plak";-;Tidak ada;Aman dan terkendali;;
40;15;JAMBI;"selasa
24     agustus
2023";"Jam 11.00
s/d selesai";Kantor gubernur jambi;Forum   pemantau   anggran   dan pembangunan    jambi        dengan masa ± 11 orang;"-  Meminta keterangan dari kadis kominfo terkeit dengan aksi demo Tanggal 15 agustus tentang isu, dan pengangkatan kadis kominfo\
-  Meminta gubernur jambi memberhentikan kadis kominfo";-;"Diterima oleh :
Polisi RI dan pol pp";Aman dan terkendali;;
41;15;JAMBI;"Kamis 14
september 2023";"Jam 09.00
s/d selesai";Kantor gubernur jambi;Korwil    KSBSI    Provinsi    Jambi dengan masa ± 300 orang.;"-    Tolak UU cipta kerja
-    Membatalkan UU No. 6 Tahun 22 dan perpu No 2 Tahun 2022
-    Meminta pengangkatan pegawai
-    Penanganan mengenai pegawai/buruh termasuk penganiayaan
-    Memintak melaporkan tindak penganiayaan tersebut kepada yang berwajib, kalau dalam taraf criminal
dengan peraturan yang berlaku";-;"Diterima oleh : Kadis nakerstrans Arif
munandar/asisten I Gubenur Jambi";Aman dan terkendali;;
42;15;JAMBI;Kamis      21 september 2023;"Jam 09.00
s/d selesai";Kantor gubernur jambi;Pengurus   Wilayah   Serikat   Tani Nelayan    (PWSTN)    di    Kantor Gubernur Jambi.;"-    Memintak gubernur jambi untuk membentuk tim perikasi tentang hutan lahanb eks Pt. RKK
-    Memintak gubernur jambi melalui pj bupati muaro jambi untuk mencabut izin lokasi pt rkk berdasarkan kepeutusan pengadilan
-    Memintak kanwil ATR BPN melalui kantor BPN muaro jambi untuk menyelesaikan tahapan pencabutan HGU TT RKK
-    Memeijntak Kepolisisan Negeri jambi menghentikan kreminalisasiterhadap petani dan aktivitas rakyat";Diajak duduk Bersama untuk membahas terkait tuntutan aksi diterima oleh arif munandar (AST I) akan tetapi pendemo menginap di pendopo;"Diterima oleh : Kadis nakerstrans Arif
munandar/asisten I Gubenur Jambi";Aman dan terkendali;;
43;15;JAMBI;"Jumat 22
september 2023";"Jam 07.30
s/d selesai";Kantor gubernur jambi;Pengurus   Wilayah   Serikat   Tani Nelayan    (PWSTN)    di    Kantor Gubernur Jambi.;"-    Tolak UU cipta kerja
-    Membatalkan UU No. 6 Tahun 22 dan perpu No 2 Tahun 2022
-    Meminta pengangkatan pegawai
-    Penanganan mengenai pegawai/buruh termasuk penganiayaan
-    Memintak melaporkan tindak penganiayaan tersebut kepada yang berwajib, kalau dalam taraf criminal dengan peraturan yang berlaku";Tidak ada;Tidak ada;Aman dan terkendali;;
44;15;JAMBI;"Selasa 26
september 2023";"Jam 08.00
s/d selesai";"Kantor DPRD
Provinsi Jambi";Aliansi  Gerakan  Suara  Tuntutan Rakyat (GESTUR);"-    Cabut izin PT. wira karya sakti
-    Cabut undang-undang cipta Kerja
-    Segera laksanakan reformasi agrarian
-    Stop membakar hutan dan lahan
-    Tanah untuk rakyat";Tidak ada keputusan;"Diterima oleh:
Ketua DPRD PROVINSI JAMBI
(edi purwanto)";Aman dan terkendali;;
45;15;JAMBI;"Rabu 27
september 2023";"Jam 08.00
s/d selesai";"Kantor DPRD
Provinsi Jambi";Aliansi  Gerakan  Suara  Tuntutan Rakyat (GESTUR);"-     Cabut izin PT. wira karya sakti
-     Cabut undang-undang cipta Kerja
-     Segera laksanakan reformasi agrarian
-     Stop membakar hutan dan lahan
-     Tanah untuk rakyat";-;Tidak ada;Aman dan terkendali;;
46;15;JAMBI;"Jumat 29
september 2023";"Jam 09.00
s/d selesai";Kantor gubernur jambi;Pengurus   Wilayah   Serikat   Tani Nelayan    (PWSTN)    di    Kantor Gubernur Jambi.;"-    Tolak UU cipta kerja
-    Membatalkan UU No. 6 Tahun 22 dan perpu No 2 Tahun 2022
-    Meminta pengangkatan pegawai
-    Penanganan mengenai pegawai/buruh termasuk penganiayaan
-    Memintak melaporkan tindak penganiayaan tersebut kepada yang berwajib, kalau dalam taraf criminal dengan peraturan yang berlaku";Tidak ada;Tidak ada;Aman dan terkendali;;
47;15;JAMBI;"Senin
02    Oktober
2023";"Jam 09.00
s/d selesai";Kantor gubernur jambi;DPW  Gerakan  Mahasiswa  Petani Indonesia     Jambi      di      Kantor Gubernur  Jambi  dengan  masa  ± 20 orang.;-    Cabut PERPU Cipta Kerja terkait akan dilaksanakannya putusan MK tentang gugatan uji formil PERPU cipta kerja;Tidak ada keputusan yang dicapai;"Diterima oleh :
Satpol pp prov. Jambi dan kepolisian RI";Aman dan terkendali;;
48;15;JAMBI;"Selasa
03    Oktober
2023";"Jam 10.00
s/d selesai";Kantor gubernur jambi;Pimpinan         wilayah         serikat taninelayan       provinsi       jambi. dengan masa ± 300 orang;"-    Menghentikan kriminalisasi terhadap petani dalam konflik agraria di jambi khususnya kecamatan kumpeh, muaro jambi.
-    Segera membebaskan dari tahanan 6 (enam) orang petani dan 1 sopir pengangkut buah sawit yang sedang ditahan dirutan polda jambi
-    Segera mengeluarkan SP 3 atas laporan polisi nomor: LP/B- 237/VIII/2023/SPKT POLDA JAMBI
tanggal 08 Agustus 2023 atas penetapan tersangka 6 (orang)
petani dan 1 (satu) sopir pengangkut buah sawit.";-;-;-;;
49;15;JAMBI;"Rabu
18    Oktober
2023";"Jam 10.00
s/d selesai";Kantor gubernur jambi;Walhi Jambi.  dengan masa ± 200 orang.;Aksi lanjutan menuntut jambi konflik lahan, menuntut menemui gubernur jambi dan selesaikan konflik batu bara;-;"Diterima oleh : Gubernur haris para asisten
kabag";-;;
50;15;JAMBI;"Senin
23    Oktober
2023";"Jam 09.00
s/d selesai";"Kantor DPRD
Provinsi Jambi";Bem   seluruh   Indonesia   Daerah Jambi dengan masa ± 100 orang.;-    Tolak putusan mk dan tolak dinasti politik;Tidak ada;"Diterima oleh :
Satpol pp prov. Jambi dan kepolisian";Aman dan terkendali;;
51;15;JAMBI;"Rabu 08
November 2023";"Jam 10.00
s/d selesai";Kantor gubernur jambi;Dewan      Eksekutif      Mahasiswa Syariah Di Kantor Gubernur Jambi;-;massa tidak jadi datang;-;Aman dan terkendali;;
52;15;JAMBI;"Rabu 22
November 2023";"Jam 10.00
s/d selesai";Kantor gubernur jambi;Solidaritas  rakyat  untuk  keadilan. Dengan masa ± 300 orang;"-  Meminta kepada ketua dprd provinsi jambi, gubenur Jambi bersama tim terpadu serta forkominfoda untuk menyelesaikan permasalahan sk-tol masy desa sungai bungur
- Meminta kepada kepala kakanwil atr bpn provinsi jambi untuk melakukan identifikasi lanjutan terhadap lahan sk tol yang belum dilakukan identifikasi";-;"Diterima oleh :
Satpol pp Provinsi Jambi dan Polri, Kabid BPN, Kabid
Kesbangpol";Aman dan terkendali;;
