id;kode_provinsi;nama_provinsi;jenis_kekerasan_dan_status_perkara_kelayen;kekerasan_dan_status_perkara;kekerasan_pada_anak;jumlah;tahun;;;;;;;;;;;;;;;;;;
76;15;JAMBI;STATUS PERKARA KELAYEN;"MASIH
 DALAM PROSES HUKUM";PEREMPUAN;55;2024;;;;;;;;;;;;;;;;;;
77;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RUMAH PERLINDUNGAN;LAKI-LAKI;0;2024;;;;;;;;;;;;;;;;;;
78;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RUMAH PERLINDUNGAN;PEREMPUAN;2;2024;;;;;;;;;;;;;;;;;;
79;15;JAMBI;STATUS PERKARA KELAYEN;RUJUK KE RSPA;LAKI-LAKI;0;2024;;;;;;;;;;;;;;;;;;
80;15;JAMBI;STATUS PERKARA KELAYEN;RUJUK KE RSPA;PEREMPUAN;0;2024;;;;;;;;;;;;;;;;;;
81;15;JAMBI;JENIS KEKERASAN;FISIK;LAKI-LAKI;8;2025;;;;;;;;;;;;;;;;;;
82;15;JAMBI;JENIS KEKERASAN;FISIK;PEREMPUAN;5;2025;;;;;;;;;;;;;;;;;;
83;15;JAMBI;JENIS KEKERASAN;PSIKIS;LAKI-LAKI;7;2025;;;;;;;;;;;;;;;;;;
84;15;JAMBI;JENIS KEKERASAN;PSIKIS;PEREMPUAN;59;2025;;;;;;;;;;;;;;;;;;
85;15;JAMBI;JENIS KEKERASAN;SEKSUAL;LAKI-LAKI;0;2025;;;;;;;;;;;;;;;;;;
86;15;JAMBI;JENIS KEKERASAN;SEKSUAL;PEREMPUAN;47;2025;;;;;;;;;;;;;;;;;;
87;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;LAKI-LAKI;2;2025;;;;;;;;;;;;;;;;;;
88;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;PEREMPUAN;1;2025;;;;;;;;;;;;;;;;;;
89;15;JAMBI;STATUS PERKARA KELAYEN;PROSES HUKUM;LAKI-LAKI;5;2025;;;;;;;;;;;;;;;;;;
90;15;JAMBI;STATUS PERKARA KELAYEN;PROSES HUKUM;PEREMPUAN;39;2025;;;;;;;;;;;;;;;;;;
91;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;LAKI-LAKI;0;2025;;;;;;;;;;;;;;;;;;
92;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;PEREMPUAN;0;2025;;;;;;;;;;;;;;;;;;
93;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;LAKI-LAKI;0;2025;;;;;;;;;;;;;;;;;;
94;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;PEREMPUAN;0;2025;;;;;;;;;;;;;;;;;;
95;15;JAMBI;STATUS PERKARA KELAYEN;"MASIH
 DALAM PROSES HUKUM";LAKI-LAKI;5;2025;;;;;;;;;;;;;;;;;;
96;15;JAMBI;STATUS PERKARA KELAYEN;"MASIH
 DALAM PROSES HUKUM";PEREMPUAN;39;2025;;;;;;;;;;;;;;;;;;
97;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RUMAH PERLINDUNGAN;LAKI-LAKI;0;2025;;;;;;;;;;;;;;;;;;
98;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RUMAH PERLINDUNGAN;PEREMPUAN;2;2025;;;;;;;;;;;;;;;;;;
99;15;JAMBI;STATUS PERKARA KELAYEN;RUJUK KE RSPA;LAKI-LAKI;0;2025;;;;;;;;;;;;;;;;;;
