id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;jenis_bencana;tanggal_kejadian;kondisi_kerusakan;satuan;jumlah_kejadian; jumlah_kerugian 
166;15;JAMBI;1501;150115;BANJIR;01/02/2022;RUMAH RUSAK BERAT;UNIT;0;Rp3.000.000
167;15;JAMBI;1501;150115;BANJIR;01/02/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp3.000.000
168;15;JAMBI;1501;150115;BANJIR;01/02/2022;RUMAH TERENDAM;UNIT;0;Rp3.000.000
169;15;JAMBI;1572;157201;KEBAKARAN PEMUKIMAN;11/02/2022;RUMAH RUSAK BERAT;UNIT;0;Rp25.000.000
170;15;JAMBI;1572;157201;KEBAKARAN PEMUKIMAN;11/02/2022;RUMAH RUSAK RINGAN;UNIT;1;Rp25.000.000
171;15;JAMBI;1572;157201;KEBAKARAN PEMUKIMAN;11/02/2022;RUMAH TERENDAM;UNIT;0;Rp25.000.000
172;15;JAMBI;1501;150118;KEBAKARAN HUTAN DAN LAHAN;13/02/2022;RUMAH RUSAK BERAT;UNIT;0;Rp50.000.000
173;15;JAMBI;1501;150118;KEBAKARAN HUTAN DAN LAHAN;13/02/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp50.000.000
174;15;JAMBI;1501;150118;KEBAKARAN HUTAN DAN LAHAN;13/02/2022;RUMAH TERENDAM;UNIT;0;Rp50.000.000
175;15;JAMBI;1508;150810;ANGIN PUTING BELIUNG;14/02/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
176;15;JAMBI;1508;150810;ANGIN PUTING BELIUNG;14/02/2022;RUMAH RUSAK RINGAN;UNIT;8; Rp- 
177;15;JAMBI;1508;150810;ANGIN PUTING BELIUNG;14/02/2022;RUMAH TERENDAM;UNIT;0; Rp- 
178;15;JAMBI;1501;150111;KEBAKARAN HUTAN DAN LAHAN;15/02/2022;RUMAH RUSAK BERAT;UNIT;0;Rp75.000.000
179;15;JAMBI;1501;150111;KEBAKARAN HUTAN DAN LAHAN;15/02/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp75.000.000
180;15;JAMBI;1501;150111;KEBAKARAN HUTAN DAN LAHAN;15/02/2022;RUMAH TERENDAM;UNIT;0;Rp75.000.000
181;15;JAMBI;1501;150111;KEBAKARAN HUTAN DAN LAHAN;16/02/2022;RUMAH RUSAK BERAT;UNIT;0;Rp60.000.000
182;15;JAMBI;1501;150111;KEBAKARAN HUTAN DAN LAHAN;16/02/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp60.000.000
183;15;JAMBI;1501;150111;KEBAKARAN HUTAN DAN LAHAN;16/02/2022;RUMAH TERENDAM;UNIT;0;Rp60.000.000
184;15;JAMBI;1507;150703;AIR ROB;16/02/2022;RUMAH RUSAK BERAT;UNIT;1; Rp- 
185;15;JAMBI;1507;150703;AIR ROB;16/02/2022;RUMAH RUSAK RINGAN;UNIT;3; Rp- 
186;15;JAMBI;1507;150703;AIR ROB;16/02/2022;RUMAH TERENDAM;UNIT;0; Rp- 
187;15;JAMBI;1502;150204;ANGIN PUTING BELIUNG;18/02/2022;RUMAH RUSAK BERAT;UNIT;0;Rp70.000.000
188;15;JAMBI;1502;150204;ANGIN PUTING BELIUNG;18/02/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp70.000.000
189;15;JAMBI;1502;150204;ANGIN PUTING BELIUNG;18/02/2022;RUMAH TERENDAM;UNIT;0;Rp70.000.000
190;15;JAMBI;1502;150210;ANGIN PUTING BELIUNG;18/02/2022;RUMAH RUSAK BERAT;UNIT;1;Rp30.000.000
191;15;JAMBI;1502;150210;ANGIN PUTING BELIUNG;18/02/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp30.000.000
192;15;JAMBI;1502;150210;ANGIN PUTING BELIUNG;18/02/2022;RUMAH TERENDAM;UNIT;0;Rp30.000.000
193;15;JAMBI;1504;150403;KEBAKARAN PEMUKIMAN;19/02/2022;RUMAH RUSAK BERAT;UNIT;1;Rp140.000.000
194;15;JAMBI;1504;150403;KEBAKARAN PEMUKIMAN;19/02/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp140.000.000
195;15;JAMBI;1504;150403;KEBAKARAN PEMUKIMAN;19/02/2022;RUMAH TERENDAM;UNIT;0;Rp140.000.000
196;15;JAMBI;1501;150107;ORANG HILANG;20/02/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
197;15;JAMBI;1501;150107;ORANG HILANG;20/02/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
198;15;JAMBI;1501;150107;ORANG HILANG;20/02/2022;RUMAH TERENDAM;UNIT;0; Rp- 
199;15;JAMBI;1501;150102;ANGIN PUTING BELIUNG;21/02/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
200;15;JAMBI;1501;150102;ANGIN PUTING BELIUNG;21/02/2022;RUMAH RUSAK RINGAN;UNIT;15; Rp- 
201;15;JAMBI;1501;150102;ANGIN PUTING BELIUNG;21/02/2022;RUMAH TERENDAM;UNIT;0; Rp- 
202;15;JAMBI;1504;150405;KEBAKARAN PEMUKIMAN;22/02/2022;RUMAH RUSAK BERAT;UNIT;1;Rp65.000.000
203;15;JAMBI;1504;150405;KEBAKARAN PEMUKIMAN;22/02/2022;RUMAH RUSAK RINGAN;UNIT;0;Rp65.000.000
204;15;JAMBI;1504;150405;KEBAKARAN PEMUKIMAN;22/02/2022;RUMAH TERENDAM;UNIT;0;Rp65.000.000
205;15;JAMBI;1501;150102;ANGIN PUTING BELIUNG;23/02/2022;RUMAH RUSAK BERAT;UNIT;0;Rp7.000.000
206;15;JAMBI;1501;150102;ANGIN PUTING BELIUNG;23/02/2022;RUMAH RUSAK RINGAN;UNIT;5;Rp7.000.000
207;15;JAMBI;1501;150102;ANGIN PUTING BELIUNG;23/02/2022;RUMAH TERENDAM;UNIT;0;Rp7.000.000
208;15;JAMBI;1507;150706;ANGIN PUTING BELIUNG;23/02/2022;RUMAH RUSAK BERAT;UNIT;2; Rp- 
209;15;JAMBI;1507;150706;ANGIN PUTING BELIUNG;23/02/2022;RUMAH RUSAK RINGAN;UNIT;6; Rp- 
210;15;JAMBI;1507;150706;ANGIN PUTING BELIUNG;23/02/2022;RUMAH TERENDAM;UNIT;0; Rp- 
211;15;JAMBI;1504;150403;ANGIN PUTING BELIUNG;27/02/2022;RUMAH RUSAK BERAT;UNIT;2; Rp- 
212;15;JAMBI;1504;150403;ANGIN PUTING BELIUNG;27/02/2022;RUMAH RUSAK RINGAN;UNIT;6; Rp- 
213;15;JAMBI;1504;150403;ANGIN PUTING BELIUNG;27/02/2022;RUMAH TERENDAM;UNIT;0; Rp- 
214;15;JAMBI;1572;157208;KARHUTLA;26/03/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
215;15;JAMBI;1572;157208;KARHUTLA;26/03/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
216;15;JAMBI;1572;157208;KARHUTLA;26/03/2022;RUMAH TERENDAM;UNIT;0; Rp- 
217;15;JAMBI;1572;157202;KARHUTLA;27/03/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
218;15;JAMBI;1572;157202;KARHUTLA;27/03/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
219;15;JAMBI;1572;157202;KARHUTLA;27/03/2022;RUMAH TERENDAM;UNIT;0; Rp- 
220;15;JAMBI;1572;157208;KARHUTLA;29/03/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
221;15;JAMBI;1572;157208;KARHUTLA;29/03/2022;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
222;15;JAMBI;1572;157208;KARHUTLA;29/03/2022;RUMAH TERENDAM;UNIT;0; Rp- 
223;15;JAMBI;1572;157208;KARHUTLA;31/03/2022;RUMAH RUSAK BERAT;UNIT;0; Rp- 
