NO;kode_provinsi;kode_kabupaten_kota;komoditi;jumlah_produksi;satuan;tahun
184;15;1571;KENTANG;0;KUINTAL;2023
185;15;1571;KUBIS;0;KUINTAL;2023
186;15;1571;SAWI;14517.9;KUINTAL;2023
187;15;1571;SEMANGKA;0;KUINTAL;2023
188;15;1571;TOMAT;46.39;KUINTAL;2023
189;15;1571;WORTEL;0;KUINTAL;2023
190;15;1572;BAWANG MERAH;3403;KUINTAL;2023
191;15;1572;CABE MERAH;2757.4;KUINTAL;2023
192;15;1572;CABE RAWIT;1196.7;KUINTAL;2023
193;15;1572;KENTANG;700;KUINTAL;2023
194;15;1572;KUBIS;0;KUINTAL;2023
195;15;1572;SAWI;3922.2;KUINTAL;2023
196;15;1572;SEMANGKA;0;KUINTAL;2023
197;15;1572;TOMAT;1598;KUINTAL;2023
198;15;1572;WORTEL;0;KUINTAL;2023
