NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;tahun_2021;tahun_2022;tahun_2023;tahun_2024
100;15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;50,18;29,82;24,31;17,73
101;15;JAMBI;1508;BUNGO;150812;BUNGO DANI;51,19;23,90;24,52;20,56
102;15;JAMBI;1508;BUNGO;150804;JUJUHAN;51,18;29,00;18,54;11,60
103;15;JAMBI;1508;BUNGO;150816;JUJUHAN ILIR;56,15;35,05;15,56;8,86
104;15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;60,91;41,29;36,92;26,35
105;15;JAMBI;1508;BUNGO;150808;MUKO-MUKO BATHIN VII;68,83;52,19;47,87;28,31
106;15;JAMBI;1508;BUNGO;150803;PASAR MUARO BUNGO;51,78;27,73;24,36;18,77
107;15;JAMBI;1508;BUNGO;150806;PELEPAT;50,56;36,80;35,72;24,79
108;15;JAMBI;1508;BUNGO;150809;PELEPAT ILIR;47,48;26,26;21,99;13,84
109;15;JAMBI;1508;BUNGO;150802;RANTAU PANDAN;68,02;42,99;35,98;29,21
110;15;JAMBI;1508;BUNGO;150813;RIMBO TENGAH;41,37;23,56;17,33;10,29
111;15;JAMBI;1508;BUNGO;150805;TANAH SEPENGGAL;60,89;51,12;46,50;36,56
112;15;JAMBI;1508;BUNGO;150817;TANAH SEPENGGAL LINTAS;55,43;46,83;38,97;22,14
113;15;JAMBI;1508;BUNGO;150801;TANAH TUMBUH;60,13;47,14;34,12;21,58
114;15;JAMBI;1509;TEBO;150912;MUARA TABIR;58,50;44,04;35,46;29,88
115;15;JAMBI;1509;TEBO;150904;RIMBO BUJANG;48,95;20,35;17,09;12,81
116;15;JAMBI;1509;TEBO;150908;RIMBO ILIR;54,38;32,94;19,15;16,55
117;15;JAMBI;1509;TEBO;150907;RIMBO ULU;50,49;20,94;16,91;11,31
118;15;JAMBI;1509;TEBO;150910;SERAI SERUMPUN;60,11;34,92;23,24;14,36
119;15;JAMBI;1509;TEBO;150905;SUMAY;56,77;41,77;34,04;21,40
120;15;JAMBI;1509;TEBO;150902;TEBO ILIR;59,17;31,76;12,96;3,95
121;15;JAMBI;1509;TEBO;150901;TEBO TENGAH;57,21;35,19;19,61;11,47
122;15;JAMBI;1509;TEBO;150903;TEBO ULU;59,78;31,97;27,60;14,65
123;15;JAMBI;1509;TEBO;150909;TENGAH ILIR;58,54;39,62;18,40;10,92
124;15;JAMBI;1509;TEBO;150906;VII KOTO;59,31;32,87;23,82;17,11
125;15;JAMBI;1509;TEBO;150911;VII KOTO ILIR;60,76;37,44;30,82;22,10
126;15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;44,57;17,62;14,64;10,92
