id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;tanggal_badan_hukum;aktif;bentuk_koperasi;jenis_koperasi;kelompok_koperasi;sektor_usaha;klasifikasi;kesehatan;anggota_pria;anggota_wanita;tahun_industri_usaha;tahun
69;15;JAMBI;1501;150105;1501052013;Koperasi Pondok pesantren Nurul Haq;02/12/1996;TRUE;Primer Kabupaten/Kota;Konsumen;Koppontren;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
70;15;JAMBI;1501;150105;1501052013;Koperasi Mandiri Tuntas Bersama;26/07/2018;TRUE;Primer Kabupaten/Kota;Pemasaran;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
71;15;JAMBI;1501;150105;1501052036;Koperasi Tani Kasigi;02/02/2016;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
72;15;JAMBI;1501;150105;1501052036;Koperasi Produsen Parit Kembang Keladi;21/12/2018;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
73;15;JAMBI;1501;150105;1501052038;Koperasi Wanita Muda Mandiri;29/01/2013;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
74;15;JAMBI;1501;150111;0;Koperasi serba Usaha harapan;17/09/2013;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
75;15;JAMBI;1501;150111;1501112003;Koperasi keluarga Sejahtera;25/06/2014;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
76;15;JAMBI;1501;150111;0;Koperasi Unit Desa Ihsan;01/06/1990;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
77;15;JAMBI;1501;150111;1501112008;Koperasi Wanita Tunas Harapan;29/05/2013;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;Cukup Berkualitas (CB);Belum Dinilai;0;32;2020;2023
78;15;JAMBI;1501;150111;1501112009;Koperasi Gabungan Kelompok Tani Sejahtera;05/04/2016;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
79;15;JAMBI;1501;150111;1501112009;Koperasi Unit Desa Tani Makmur;05/02/1996;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
80;15;JAMBI;1501;150111;1501112018;Koperasi Sinar Pagi;02/12/2013;TRUE;Primer Kabupaten/Kota;Konsumen;Kopkar;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
81;15;JAMBI;1501;150111;1501112014;Koperasi Amanah;15/02/1999;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
82;15;JAMBI;1501;150111;1501112002;Koperasi Wanita Pinang Masak;11/09/2012;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
83;15;JAMBI;1501;150111;1501112002;Koperasi Jaya Bhakti;12/04/2013;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
84;15;JAMBI;1501;150111;1501112002;Koperasi gapoktan Kinantan Utama;17/09/2013;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
85;15;JAMBI;1501;150111;1501112012;Koperasi Serba Usaha Suka Maju;30/09/1996;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
86;15;JAMBI;1501;150111;1501112015;Koperasi Pegawai Negeri SMP N Sungai Tutung;29/09/1989;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
87;15;JAMBI;1501;150111;1501112015;Koperasi Sejahtera Bersama;11/09/2012;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
88;15;JAMBI;1501;150106;1501061009;Koperasi Serba Usaha Muar Jaya;17/02/2010;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
89;15;JAMBI;1501;150106;1501062018;Koperasi Serba Usaha Nikmat;08/11/2007;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA LAINNYA;-;-;0;0;-;2023
90;15;JAMBI;1501;150106;1501061009;Koperasi Pegawai Negeri Kantor Camat Gunung Kerinci;18/09/1996;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;2023
91;15;JAMBI;1501;150106;1501062018;Koperasi Pegawai Negeri Siulak Deras;16/09/1989;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;20;0;2020;2023
92;15;JAMBI;1501;150106;1501062018;Koperasi Serba Usaha Karya Bhakti;03/12/2012;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA LAINNYA;-;-;0;0;-;2023
93;15;JAMBI;1501;150106;1501062011;Koperasi Serba Usaha Baru Maju;30/10/2015;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
94;15;JAMBI;1501;150106;1501062011;Koperasi Semoga Jaya;08/01/1999;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
95;15;JAMBI;1501;150106;1501062015;Koperasi Tani Sinar Mulia;12/08/2008;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
96;15;JAMBI;1501;150106;1501062012;Koperasi tani Telaga Sari;26/05/1999;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
97;15;JAMBI;1501;150109;1501092030;Koperasi Pertanian Mitra Usaha;26/11/2005;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
98;15;JAMBI;1501;150109;1501092011;Koperasi Pasar Karya Usaha;17/09/2013;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
99;15;JAMBI;1501;150109;1501092039;Koperasi Pertanian Karya Mandiri;28/12/2006;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
100;15;JAMBI;1501;150109;1501092017;Koperasi Pertanian Sinar Harapan;26/05/1999;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
101;15;JAMBI;1501;150109;1501092011;Koperasi Serba Usaha Margo Mukti;01/01/1999;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;2023
102;15;JAMBI;1501;150109;1501092039;Koperasi Pasar Harapan Makmur;28/12/2006;FALSE;Primer Kabupaten/Kota;Pemasaran;Kop. Pasar;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;2023
