id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_ruas;nama_ruas_jalan;no_jembatan_rekomendasi;nama_jembatan;panjang;satuan;tahun
64;15;JAMBI;1507;P.024;SIMPANG  LAGAN - SIMPANG  PELABI/ ZONA V;P.11.024.002;Pematang  Rahim  II;14;METER;2024
65;15;JAMBI;1507;P.024;SIMPANG  LAGAN - SIMPANG  PELABI/ ZONA V;P.11.024.003;Pematang  Rahim  III;38;METER;2024
66;15;JAMBI;1507;P.024;SIMPANG  LAGAN - SIMPANG  PELABI/ ZONA V;P.11.024.004;BOX I;6,4;METER;2024
67;15;JAMBI;1507;P.024;SIMPANG  LAGAN - SIMPANG  PELABI/ ZONA V;P.11.024.005;PELABI  II;61,9;METER;2024
68;15;JAMBI;1507;P.024;SIMPANG  LAGAN - SIMPANG  PELABI/ ZONA V;P.11.024.006;BOX II;7,8;METER;2024
69;15;JAMBI;1505;P.031;SUNGAI  DUREN - SUNGAI  BULUH;P.11.031.001;SEI. DUREN;19;METER;2024
70;15;JAMBI;1505;P.031;SUNGAI  DUREN - SUNGAI  BULUH;P.11.031.002;BOX 1;9,6;METER;2024
71;15;JAMBI;1505;P.031;SUNGAI  DUREN - SUNGAI  BULUH;P.11.031.003;BOX 2;9,6;METER;2024
72;15;JAMBI;1505;P.031;SUNGAI  DUREN - SUNGAI  BULUH;P.11.031.004;BOX 3;6,3;METER;2024
73;15;JAMBI;1505;P.031;SUNGAI  DUREN - SUNGAI  BULUH;P.11.031.005;BOX 4;6,3;METER;2024
74;15;JAMBI;1505;P.031;SUNGAI  DUREN - SUNGAI  BULUH;P.11.031.006;BOX 5;6,3;METER;2024
75;15;JAMBI;1505;P.031;SUNGAI  DUREN - SUNGAI  BULUH;P.11.031.007;BOX 6;6,3;METER;2024
76;15;JAMBI;1505;P.032;TEMPINO  - BATAS BATANGHARI;P.11.032.001;TEMPINO  KECIL;20,5;METER;2024
77;15;JAMBI;1504;P.033;BATAS BATANGHARI  - MUARA BULIAN;P.11.033.001;PENEROKAN I;26;METER;2024
78;15;JAMBI;1504;P.033;BATAS BATANGHARI  - MUARA BULIAN;P.11.033.002;BOX 3B BARU;12;METER;2024
79;15;JAMBI;1504;P.034;JLN. JEND. SUDIRMAN  (MUARA  BULIAN);P.11.034.001;DARAT;31;METER;2024
80;15;JAMBI;1505;P.035;SP. PENEROKAN  - SEI. BAHAR;P.11.035.001;BOX BARU 2B ;6;METER;2024
81;15;JAMBI;1505;P.035;SP. PENEROKAN  - SEI. BAHAR;P.11.035.002;BOX BARU 3B;12;METER;2024
82;15;JAMBI;1505;P.035;SP. PENEROKAN  - SEI. BAHAR;P.11.035.003;MARKANDING;25,5;METER;2024
83;15;JAMBI;1505;P.035;SP. PENEROKAN  - SEI. BAHAR;P.11.035.004;PINANG  TINGGI;25,5;METER;2024
84;15;JAMBI;1505;P.035;SP. PENEROKAN  - SEI. BAHAR;P.11.035.005;SEI. BAHAR;26;METER;2024
85;15;JAMBI;1571;P.036;SIMP.AHOK (KOTA JAMBI)-SIMP PASAR BUPER-BUMI PERKEMAHAN PRAMUKA;P.11.036.001;BOX BARU 2B ;7;METER;2024
86;15;JAMBI;1571;P.036;SIMP.AHOK (KOTA JAMBI)-SIMP PASAR BUPER-BUMI PERKEMAHAN PRAMUKA;P.11.036.002;BOX BARU 2B ;6;METER;2024
87;15;JAMBI;1571;P.036;SIMP.AHOK (KOTA JAMBI)-SIMP PASAR BUPER-BUMI PERKEMAHAN PRAMUKA;P.11.036.003;BOX BARU 2B ;6;METER;2024
88;15;JAMBI;1571;P.036;SIMP.AHOK (KOTA JAMBI)-SIMP PASAR BUPER-BUMI PERKEMAHAN PRAMUKA;P.11.036.004;BOX BARU 2B ;8,7;METER;2024
89;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.001;KOL. ACHMAD SUGENG;60,5;METER;2024
90;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.002;BOX 1;5;METER;2024
91;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.003;BOX 2;2,4;METER;2024
