NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;1.538;212;132;118;263;731;82
;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;606;35;52;38;92;347;42
;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;2.219;184;159;141;346;1.366;23
;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;553;94;44;40;76;286;13
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;1.199;146;174;86;108;658;27
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;2.419;366;549;279;333;879;13
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2.687;530;565;356;264;884;88
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2.375;466;510;322;264;712;101
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;324;40;27;26;24;178;29
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;89;4;11;1;5;51;17
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;4.324;1.006;1.039;574;564;1.060;81
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;653;98;101;68;72;295;19
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;1.458;344;331;178;157;415;33
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;3.901;811;970;556;545;863;156
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;997;57;100;52;91;685;12
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;5.114;989;892;533;453;2.184;63
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;241;17;41;29;23;124;7
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;555;145;120;40;69;178;3
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;1.004;185;141;91;148;410;29
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;978;109;106;64;119;562;18
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;1.787;367;257;117;271;714;61
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150703;MENDAHARA;3.235;690;656;333;538;968;50
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150709;MENDAHARA ULU;764;233;102;27;81;313;8
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150707;MUARA SABAK BARAT;794;70;83;44;86;505;6
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;2.055;223;236;99;247;1.226;24
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;2.903;504;461;224;423;1.275;16
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;541;59;57;64;65;289;7
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;1.118;150;131;74;134;572;57
;15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;282;41;60;30;33;109;9
;15;JAMBI;1508;BUNGO;150811;BATHIN III;911;79;102;49;109;551;21
;15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;740;197;163;49;79;137;115
;15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;486;35;88;31;68;258;6
;15;JAMBI;1508;BUNGO;150812;BUNGO DANI;1.024;50;83;51;112;723;5
;15;JAMBI;1508;BUNGO;150804;JUJUHAN;456;41;70;43;52;208;42
;15;JAMBI;1508;BUNGO;150816;JUJUHAN ILIR;161;22;34;9;16;77;3
;15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;834;165;158;81;93;303;34
;15;JAMBI;1508;BUNGO;150808;MUKO-MUKO BATHIN VII;835;156;166;71;76;339;27
;15;JAMBI;1508;BUNGO;150803;PASAR MUARO BUNGO;584;56;51;21;52;394;10
;15;JAMBI;1508;BUNGO;150806;PELEPAT;1.591;293;304;148;158;596;92
;15;JAMBI;1508;BUNGO;150809;PELEPAT ILIR;1.383;115;181;92;206;735;54
;15;JAMBI;1508;BUNGO;150802;RANTAU PANDAN;610;137;134;48;69;212;10
;15;JAMBI;1508;BUNGO;150813;RIMBO TENGAH;566;12;22;12;32;477;11
;15;JAMBI;1508;BUNGO;150805;TANAH SEPENGGAL;1.698;324;334;148;192;695;5
;15;JAMBI;1508;BUNGO;150817;TANAH SEPENGGAL LINTAS;994;326;180;83;94;277;34
;15;JAMBI;1508;BUNGO;150801;TANAH TUMBUH;680;126;186;53;77;209;29
;15;JAMBI;1509;TEBO;150912;MUARA TABIR;1.242;197;181;168;159;494;43
;15;JAMBI;1509;TEBO;150904;RIMBO BUJANG;1.528;152;219;165;162;788;42
;15;JAMBI;1509;TEBO;150908;RIMBO ILIR;738;47;95;84;89;413;10
;15;JAMBI;1509;TEBO;150907;RIMBO ULU;859;145;169;115;95;332;3
;15;JAMBI;1509;TEBO;150910;SERAI SERUMPUN;338;58;46;32;20;168;14
;15;JAMBI;1509;TEBO;150905;SUMAY;957;153;165;104;99;397;39
;15;JAMBI;1509;TEBO;150902;TEBO ILIR;223;26;30;28;23;91;25
;15;JAMBI;1509;TEBO;150901;TEBO TENGAH;921;85;104;71;59;536;66
;15;JAMBI;1509;TEBO;150903;TEBO ULU;1.174;320;202;109;110;409;24
;15;JAMBI;1509;TEBO;150909;TENGAH ILIR;501;79;94;41;74;203;10
;15;JAMBI;1509;TEBO;150906;VII KOTO;632;129;97;77;63;249;17
;15;JAMBI;1509;TEBO;150911;VII KOTO ILIR;795;232;135;112;64;221;31
;15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;1.885;80;86;132;129;1.428;30
;15;JAMBI;1571;KOTA JAMBI;157110;DANAU SIPIN;396;83;56;36;45;159;17
;15;JAMBI;1571;KOTA JAMBI;157106;DANAU TELUK;123;23;17;13;12;48;10
;15;JAMBI;1571;KOTA JAMBI;157102;JAMBI SELATAN;1.213;116;123;144;120;706;4
;15;JAMBI;1571;KOTA JAMBI;157103;JAMBI TIMUR;1.495;267;167;210;152;671;28
;15;JAMBI;1571;KOTA JAMBI;157108;JELUTUNG;548;62;57;63;68;259;39
;15;JAMBI;1571;KOTA JAMBI;157107;KOTA BARU;2.280;148;144;219;251;1.496;22
;15;JAMBI;1571;KOTA JAMBI;157111;PAAL MERAH;2.715;237;214;276;285;1.598;105
;15;JAMBI;1571;KOTA JAMBI;157104;PASAR JAMBI;148;37;16;17;16;53;9
;15;JAMBI;1571;KOTA JAMBI;157105;PELAYANGAN;264;84;39;47;21;64;9
;15;JAMBI;1571;KOTA JAMBI;157101;TELANAIPURA;810;86;57;65;64;500;38
;15;JAMBI;1572;KOTA SUNGAI PENUH;157203;HAMPARAN RAWANG;355;44;38;47;30;192;4
;15;JAMBI;1572;KOTA SUNGAI PENUH;157207;KOTO BARU;230;11;11;14;37;145;12
;15;JAMBI;1572;KOTA SUNGAI PENUH;157205;KUMUN DEBAI;186;79;27;9;10;56;5
;15;JAMBI;1572;KOTA SUNGAI PENUH;157202;PESISIR BUKIT;208;16;6;21;19;134;12
;15;JAMBI;1572;KOTA SUNGAI PENUH;157206;PONDOK TINGGI;465;11;13;10;31;378;22
;15;JAMBI;1572;KOTA SUNGAI PENUH;157208;SUNGAI BUNGKAL;236;3;5;6;11;203;8
;15;JAMBI;1572;KOTA SUNGAI PENUH;157201;SUNGAI PENUH;165;5;3;15;17;111;14
;15;JAMBI;1572;KOTA SUNGAI PENUH;157204;TANAH KAMPUNG;223;5;8;14;16;152;28
