no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_hotel;data;tenaga_kerja;jumlah_tenaga_kerja;fasilitas;jenis_kamar;jumlah;jumlah_tempat_tidur
52;15;JAMBI;1571;157104;1571041003;Hotel Wiltop;HOTEL BERBINTANG ;L;1;3,7;Standar;6;6
53;15;JAMBI;1571;157102;1508131001;Hotel Cosmo;HOTEL BERBINTANG ;L;3;3,13;Standar, Superior ;13;13
54;15;JAMBI;1571;157101;1571011001;Hotel Grand;HOTEL BERBINTANG ;L;3;3,13;Standar, Superior ;18;18
55;15;JAMBI;1571;157107;1571071005;Hotel Royal Garden ;HOTEL BERBINTANG ;L;4;3,13;Standar, Superior ;17;17
56;15;JAMBI;1571;157104;1571041003;Hotel Duta ;HOTEL BERBINTANG ;L;2;3,13;Standar, Superior ;13;13
57;15;JAMBI;1571;157104;1571041003;Hotel Infinity ;HOTEL BERBINTANG ;L;3;3,13;Standar, Superior ;16;19
58;15;JAMBI;1571;157104;1571041004;Hotel Pundi Rezeki;HOTEL BERBINTANG ;L;7;3,10,13 ;Standar, Deluxe, Superior ;34;41
59;15;JAMBI;1571;157110;1571101004;Hotel Marisa;HOTEL BERBINTANG ;L;1;3,7;Standar;11;11
60;15;JAMBI;1571;157102;1571021003;Hotel Safera ;HOTEL BERBINTANG ;L;3;3,7;Standar;22;30
61;15;JAMBI;1571;157108;1503092004;Hotel Harisman Sentosa ;HOTEL BERBINTANG ;L;2;3,7;Standar;25;30
62;15;JAMBI;1571;157104;1571041004;Hotel Jambi Raya ;HOTEL BERBINTANG ;L;8;3,7;Standar;43;86
63;15;JAMBI;1571;157102;1571021003;Hotel Pundi Rezeki Thehok ;HOTEL BERBINTANG ;L;5;3,7;Standar;40;76
64;15;JAMBI;1571;157104;1571041001;Octopuss Hotel Dan Spa ;HOTEL BERBINTANG ;L;1;3,7;Standar;25;32
65;15;JAMBI;1571;157111;1571111005;Hotel Mj's;HOTEL BERBINTANG ;L;2;3,7;Standar;26;33
66;15;JAMBI;1571;157109;1571091001;V Hotel ;HOTEL BERBINTANG ;L;4;3,7;Standar;28;39
67;15;JAMBI;1501;150109;1501092012;Timan Bakri Home stay;HOTEL NON BINTANG;L;6;3,7;Standar;22;24
68;15;JAMBI;1501;150122;1501222002;Mess Pemda;HOTEL NON BINTANG;L;2;3,7;Standar;10;11
69;15;JAMBI;1501;150109;1501092012;B Darmin Home Stay;HOTEL NON BINTANG;L;4;3,7,15 ;Standar, Deluxe, Superior ;25;45
70;15;JAMBI;1501;150109;1501092012;Subandi Homestay;HOTEL NON BINTANG;L;6;3,7,15 ;Standar, Deluxe, Superior ;45;75
71;15;JAMBI;1501;150109;1501092039;Family Home Stay;HOTEL NON BINTANG;L;5;3,7,15 ;Standar, Deluxe, Superior ;48;80
72;15;JAMBI;1501;150109;1501092039;Paiman Home Stay;HOTEL NON BINTANG;L;4;3,13;Standar, Superior, Delux ;20;30
73;15;JAMBI;1501;150115;1501152004;Krinci View Home stay;HOTEL NON BINTANG;L;3;3,7,10,13 ;Standar, Superior, Delux ;15;22
74;15;JAMBI;1501;150115;1501152004;Guest hause;HOTEL NON BINTANG;L;4;3,7,10,13 ;Standar, Superior, Delux ;18;26
75;15;JAMBI;1501;150119;1501192003;Aroma Pecco;HOTEL NON BINTANG;L;3;3,7,10,13 ;Standar, Superior, Delux ;13;20
76;15;JAMBI;1501;150119;1501192003;Zacky Homestay;HOTEL NON BINTANG;L;2;3,13;Standar;8;10
77;15;JAMBI;1501;150101;1501011004;Indah Wisma ;HOTEL NON BINTANG;L;3;3,7,10,13 ;Standar, Superior, Delux ;18;26
78;15;JAMBI;1501;150109;1501092025;Serambi Madinah;HOTEL NON BINTANG;L;5;3,7,10,13 ;Standar, Superior, Delux ;25;40
79;15;JAMBI;1501;150115;1501152002;Gunung Tujuh Hotel;HOTEL NON BINTANG;L;4;3,7,10,13 ;Standar, Superior, Delux ;19;28
80;15;JAMBI;1501;150115;1501152002;Zahza Hotel ;HOTEL NON BINTANG;L;3;3,7,10,13 ;Standar, Superior, Delux ;18;26
81;15;JAMBI;1501;150121;1501212001;Rindau 88 ;HOTEL NON BINTANG;L;4;3,7,10,13 ;Standar, Superior, Delux ;18;25
82;15;JAMBI;1502;150206;1502061008;Hotel Rizky ;HOTEL NON BINTANG;L;3;3,7,10,13 ;Standar, Superior, Delux ;17;22
83;15;JAMBI;1502;150202;1502021011;Penginapan Nawiba ;HOTEL NON BINTANG;L;1;3,13;Standar;6;6
84;15;JAMBI;1502;150202;1502021011;Hotel Cantika ;HOTEL NON BINTANG;L;2;3,13;Standar;6;6
