no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;semester;jumlah;satuan;tahun
145;15;JAMBI;1504;150407;JUMLAH PENDUDUK;PEREMPUAN;1;20574;JIWA;2022
146;15;JAMBI;1504;150404;JUMLAH PENDUDUK;PEREMPUAN;1;15861;JIWA;2022
147;15;JAMBI;1504;150408;JUMLAH PENDUDUK;PEREMPUAN;1;7472;JIWA;2022
148;15;JAMBI;1504;150406;JUMLAH PENDUDUK;PEREMPUAN;1;19063;JIWA;2022
149;15;JAMBI;1504;150401;JUMLAH PENDUDUK;PEREMPUAN;1;16340;JIWA;2022
150;15;JAMBI;1504;150403;JUMLAH PENDUDUK;PEREMPUAN;1;34476;JIWA;2022
151;15;JAMBI;1504;150402;JUMLAH PENDUDUK;PEREMPUAN;1;17286;JIWA;2022
152;15;JAMBI;1504;150405;JUMLAH PENDUDUK;PEREMPUAN;1;18618;JIWA;2022
153;15;JAMBI;1508;150815;JUMLAH PENDUDUK;PEREMPUAN;1;4345;JIWA;2022
154;15;JAMBI;1508;150811;JUMLAH PENDUDUK;PEREMPUAN;1;12894;JIWA;2022
155;15;JAMBI;1508;150814;JUMLAH PENDUDUK;PEREMPUAN;1;4639;JIWA;2022
156;15;JAMBI;1508;150810;JUMLAH PENDUDUK;PEREMPUAN;1;7127;JIWA;2022
157;15;JAMBI;1508;150812;JUMLAH PENDUDUK;PEREMPUAN;1;13417;JIWA;2022
158;15;JAMBI;1508;150804;JUMLAH PENDUDUK;PEREMPUAN;1;9168;JIWA;2022
159;15;JAMBI;1508;150816;JUMLAH PENDUDUK;PEREMPUAN;1;4988;JIWA;2022
160;15;JAMBI;1508;150807;JUMLAH PENDUDUK;PEREMPUAN;1;8226;JIWA;2022
161;15;JAMBI;1508;150808;JUMLAH PENDUDUK;PEREMPUAN;1;7828;JIWA;2022
162;15;JAMBI;1508;150803;JUMLAH PENDUDUK;PEREMPUAN;1;10564;JIWA;2022
163;15;JAMBI;1508;150806;JUMLAH PENDUDUK;PEREMPUAN;1;17140;JIWA;2022
164;15;JAMBI;1508;150809;JUMLAH PENDUDUK;PEREMPUAN;1;24938;JIWA;2022
165;15;JAMBI;1508;150802;JUMLAH PENDUDUK;PEREMPUAN;1;5199;JIWA;2022
166;15;JAMBI;1508;150813;JUMLAH PENDUDUK;PEREMPUAN;1;16189;JIWA;2022
167;15;JAMBI;1508;150805;JUMLAH PENDUDUK;PEREMPUAN;1;11958;JIWA;2022
168;15;JAMBI;1508;150817;JUMLAH PENDUDUK;PEREMPUAN;1;11960;JIWA;2022
169;15;JAMBI;1508;150801;JUMLAH PENDUDUK;PEREMPUAN;1;7523;JIWA;2022
170;15;JAMBI;1501;150105;JUMLAH PENDUDUK;PEREMPUAN;1;5842;JIWA;2022
171;15;JAMBI;1501;150121;JUMLAH PENDUDUK;PEREMPUAN;1;5131;JIWA;2022
172;15;JAMBI;1501;150111;JUMLAH PENDUDUK;PEREMPUAN;1;10191;JIWA;2022
173;15;JAMBI;1501;150107;JUMLAH PENDUDUK;PEREMPUAN;1;6066;JIWA;2022
174;15;JAMBI;1501;150120;JUMLAH PENDUDUK;PEREMPUAN;1;6730;JIWA;2022
175;15;JAMBI;1501;150102;JUMLAH PENDUDUK;PEREMPUAN;1;6827;JIWA;2022
176;15;JAMBI;1501;150123;JUMLAH PENDUDUK;PEREMPUAN;1;6367;JIWA;2022
177;15;JAMBI;1501;150117;JUMLAH PENDUDUK;PEREMPUAN;1;8781;JIWA;2022
178;15;JAMBI;1501;150106;JUMLAH PENDUDUK;PEREMPUAN;1;6406;JIWA;2022
179;15;JAMBI;1501;150101;JUMLAH PENDUDUK;PEREMPUAN;1;4403;JIWA;2022
180;15;JAMBI;1501;150115;JUMLAH PENDUDUK;PEREMPUAN;1;7668;JIWA;2022
181;15;JAMBI;1501;150109;JUMLAH PENDUDUK;PEREMPUAN;1;10001;JIWA;2022
182;15;JAMBI;1501;150119;JUMLAH PENDUDUK;PEREMPUAN;1;10587;JIWA;2022
183;15;JAMBI;1501;150108;JUMLAH PENDUDUK;PEREMPUAN;1;6745;JIWA;2022
184;15;JAMBI;1501;150104;JUMLAH PENDUDUK;PEREMPUAN;1;5206;JIWA;2022
185;15;JAMBI;1501;150116;JUMLAH PENDUDUK;PEREMPUAN;1;11578;JIWA;2022
186;15;JAMBI;1501;150118;JUMLAH PENDUDUK;PEREMPUAN;1;5736;JIWA;2022
187;15;JAMBI;1501;150122;JUMLAH PENDUDUK;PEREMPUAN;1;4698;JIWA;2022
188;15;JAMBI;1571;157109;JUMLAH PENDUDUK;PEREMPUAN;1;55467;JIWA;2022
189;15;JAMBI;1571;157110;JUMLAH PENDUDUK;PEREMPUAN;1;21637;JIWA;2022
190;15;JAMBI;1571;157106;JUMLAH PENDUDUK;PEREMPUAN;1;6523;JIWA;2022
191;15;JAMBI;1571;157102;JUMLAH PENDUDUK;PEREMPUAN;1;29239;JIWA;2022
192;15;JAMBI;1571;157103;JUMLAH PENDUDUK;PEREMPUAN;1;33193;JIWA;2022
193;15;JAMBI;1571;157108;JUMLAH PENDUDUK;PEREMPUAN;1;30476;JIWA;2022
194;15;JAMBI;1571;157107;JUMLAH PENDUDUK;PEREMPUAN;1;41947;JIWA;2022
195;15;JAMBI;1571;157111;JUMLAH PENDUDUK;PEREMPUAN;1;53654;JIWA;2022
196;15;JAMBI;1571;157104;JUMLAH PENDUDUK;PEREMPUAN;1;5827;JIWA;2022
197;15;JAMBI;1571;157105;JUMLAH PENDUDUK;PEREMPUAN;1;6583;JIWA;2022
198;15;JAMBI;1571;157101;JUMLAH PENDUDUK;PEREMPUAN;1;25067;JIWA;2022
199;15;JAMBI;1572;157203;JUMLAH PENDUDUK;PEREMPUAN;1;7934;JIWA;2022
200;15;JAMBI;1572;157207;JUMLAH PENDUDUK;PEREMPUAN;1;4867;JIWA;2022
201;15;JAMBI;1572;157205;JUMLAH PENDUDUK;PEREMPUAN;1;5366;JIWA;2022
202;15;JAMBI;1572;157202;JUMLAH PENDUDUK;PEREMPUAN;1;6447;JIWA;2022
203;15;JAMBI;1572;157206;JUMLAH PENDUDUK;PEREMPUAN;1;9179;JIWA;2022
204;15;JAMBI;1572;157208;JUMLAH PENDUDUK;PEREMPUAN;1;5421;JIWA;2022
205;15;JAMBI;1572;157201;JUMLAH PENDUDUK;PEREMPUAN;1;5291;JIWA;2022
206;15;JAMBI;1572;157204;JUMLAH PENDUDUK;PEREMPUAN;1;5407;JIWA;2022
207;15;JAMBI;1502;150202;JUMLAH PENDUDUK;PEREMPUAN;1;24660;JIWA;2022
208;15;JAMBI;1502;150210;JUMLAH PENDUDUK;PEREMPUAN;1;5583;JIWA;2022
209;15;JAMBI;1502;150212;JUMLAH PENDUDUK;PEREMPUAN;1;5835;JIWA;2022
210;15;JAMBI;1502;150201;JUMLAH PENDUDUK;PEREMPUAN;1;5119;JIWA;2022
211;15;JAMBI;1502;150218;JUMLAH PENDUDUK;PEREMPUAN;1;4963;JIWA;2022
212;15;JAMBI;1502;150209;JUMLAH PENDUDUK;PEREMPUAN;1;7717;JIWA;2022
213;15;JAMBI;1502;150221;JUMLAH PENDUDUK;PEREMPUAN;1;6841;JIWA;2022
214;15;JAMBI;1502;150203;JUMLAH PENDUDUK;PEREMPUAN;1;5174;JIWA;2022
215;15;JAMBI;1502;150211;JUMLAH PENDUDUK;PEREMPUAN;1;9361;JIWA;2022
216;15;JAMBI;1502;150206;JUMLAH PENDUDUK;PEREMPUAN;1;17179;JIWA;2022
217;15;JAMBI;1502;150213;JUMLAH PENDUDUK;PEREMPUAN;1;8818;JIWA;2022
218;15;JAMBI;1502;150220;JUMLAH PENDUDUK;PEREMPUAN;1;5317;JIWA;2022
219;15;JAMBI;1502;150217;JUMLAH PENDUDUK;PEREMPUAN;1;3471;JIWA;2022
220;15;JAMBI;1502;150219;JUMLAH PENDUDUK;PEREMPUAN;1;7177;JIWA;2022
221;15;JAMBI;1502;150216;JUMLAH PENDUDUK;PEREMPUAN;1;6628;JIWA;2022
222;15;JAMBI;1502;150204;JUMLAH PENDUDUK;PEREMPUAN;1;5594;JIWA;2022
223;15;JAMBI;1502;150205;JUMLAH PENDUDUK;PEREMPUAN;1;15349;JIWA;2022
224;15;JAMBI;1502;150223;JUMLAH PENDUDUK;PEREMPUAN;1;4825;JIWA;2022
