no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;semester;jumlah;satuan;tahun
80;15;JAMBI;1502;150223;PEREKAMAN KTP;WAJIB KTP;1;6815;JIWA;2022
81;15;JAMBI;1502;150214;PEREKAMAN KTP;WAJIB KTP;1;6694;JIWA;2022
82;15;JAMBI;1502;150222;PEREKAMAN KTP;WAJIB KTP;1;6009;JIWA;2022
83;15;JAMBI;1502;150208;PEREKAMAN KTP;WAJIB KTP;1;21306;JIWA;2022
84;15;JAMBI;1502;150215;PEREKAMAN KTP;WAJIB KTP;1;5684;JIWA;2022
85;15;JAMBI;1502;150207;PEREKAMAN KTP;WAJIB KTP;1;6086;JIWA;2022
86;15;JAMBI;1502;150224;PEREKAMAN KTP;WAJIB KTP;1;3606;JIWA;2022
87;15;JAMBI;1505;150510;PEREKAMAN KTP;WAJIB KTP;1;12272;JIWA;2022
88;15;JAMBI;1505;150509;PEREKAMAN KTP;WAJIB KTP;1;10239;JIWA;2022
89;15;JAMBI;1505;150501;PEREKAMAN KTP;WAJIB KTP;1;49946;JIWA;2022
90;15;JAMBI;1505;150503;PEREKAMAN KTP;WAJIB KTP;1;18713;JIWA;2022
91;15;JAMBI;1505;150506;PEREKAMAN KTP;WAJIB KTP;1;43513;JIWA;2022
92;15;JAMBI;1505;150504;PEREKAMAN KTP;WAJIB KTP;1;16342;JIWA;2022
93;15;JAMBI;1505;150505;PEREKAMAN KTP;WAJIB KTP;1;30658;JIWA;2022
94;15;JAMBI;1505;150502;PEREKAMAN KTP;WAJIB KTP;1;33312;JIWA;2022
95;15;JAMBI;1505;150507;PEREKAMAN KTP;WAJIB KTP;1;21245;JIWA;2022
96;15;JAMBI;1505;150508;PEREKAMAN KTP;WAJIB KTP;1;51872;JIWA;2022
97;15;JAMBI;1505;150511;PEREKAMAN KTP;WAJIB KTP;1;10038;JIWA;2022
98;15;JAMBI;1503;150307;PEREKAMAN KTP;WAJIB KTP;1;17947;JIWA;2022
99;15;JAMBI;1503;150301;PEREKAMAN KTP;WAJIB KTP;1;12858;JIWA;2022
100;15;JAMBI;1503;150308;PEREKAMAN KTP;WAJIB KTP;1;14574;JIWA;2022
101;15;JAMBI;1503;150310;PEREKAMAN KTP;WAJIB KTP;1;9037;JIWA;2022
102;15;JAMBI;1503;150302;PEREKAMAN KTP;WAJIB KTP;1;12442;JIWA;2022
103;15;JAMBI;1503;150306;PEREKAMAN KTP;WAJIB KTP;1;16284;JIWA;2022
104;15;JAMBI;1503;15030;PEREKAMAN KTP;WAJIB KTP;1;9173;JIWA;2022
105;15;JAMBI;1503;150304;PEREKAMAN KTP;WAJIB KTP;1;16614;JIWA;2022
106;15;JAMBI;1503;150305;PEREKAMAN KTP;WAJIB KTP;1;23941;JIWA;2022
107;15;JAMBI;1503;150303;PEREKAMAN KTP;WAJIB KTP;1;38911;JIWA;2022
108;15;JAMBI;1503;150309;PEREKAMAN KTP;WAJIB KTP;1;28450;JIWA;2022
109;15;JAMBI;1506;150607;PEREKAMAN KTP;WAJIB KTP;1;22547;JIWA;2022
110;15;JAMBI;1506;150604;PEREKAMAN KTP;WAJIB KTP;1;21029;JIWA;2022
