NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
229;15;JAMBI;1502;150207;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;194;2022
373;15;JAMBI;1502;150207;AKTA LAHIR;UMUR 0-18;JIWA;1;2555;2022
679;15;JAMBI;1502;150207;AKTA LAHIR;MEMILIKI;JIWA;2;2568;2022
703;15;JAMBI;1502;150207;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;5;2022
83;15;JAMBI;1502;150208;AKTA LAHIR;MEMILIKI;JIWA;1;8658;2022
227;15;JAMBI;1502;150208;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;562;2022
371;15;JAMBI;1502;150208;AKTA LAHIR;UMUR 0-18;JIWA;1;9220;2022
680;15;JAMBI;1502;150208;AKTA LAHIR;MEMILIKI;JIWA;2;9143;2022
704;15;JAMBI;1502;150208;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;11;2022
68;15;JAMBI;1502;150209;AKTA LAHIR;MEMILIKI;JIWA;1;4793;2022
212;15;JAMBI;1502;150209;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;327;2022
356;15;JAMBI;1502;150209;AKTA LAHIR;UMUR 0-18;JIWA;1;5120;2022
681;15;JAMBI;1502;150209;AKTA LAHIR;MEMILIKI;JIWA;2;5214;2022
705;15;JAMBI;1502;150209;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;28;2022
64;15;JAMBI;1502;150210;AKTA LAHIR;MEMILIKI;JIWA;1;3163;2022
208;15;JAMBI;1502;150210;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;272;2022
352;15;JAMBI;1502;150210;AKTA LAHIR;UMUR 0-18;JIWA;1;3435;2022
682;15;JAMBI;1502;150210;AKTA LAHIR;MEMILIKI;JIWA;2;3363;2022
706;15;JAMBI;1502;150210;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;7;2022
71;15;JAMBI;1502;150211;AKTA LAHIR;MEMILIKI;JIWA;1;6194;2022
215;15;JAMBI;1502;150211;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;403;2022
359;15;JAMBI;1502;150211;AKTA LAHIR;UMUR 0-18;JIWA;1;6597;2022
683;15;JAMBI;1502;150211;AKTA LAHIR;MEMILIKI;JIWA;2;6507;2022
707;15;JAMBI;1502;150211;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;21;2022
65;15;JAMBI;1502;150212;AKTA LAHIR;MEMILIKI;JIWA;1;3475;2022
209;15;JAMBI;1502;150212;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;285;2022
353;15;JAMBI;1502;150212;AKTA LAHIR;UMUR 0-18;JIWA;1;3760;2022
684;15;JAMBI;1502;150212;AKTA LAHIR;MEMILIKI;JIWA;2;3797;2022
708;15;JAMBI;1502;150212;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;10;2022
73;15;JAMBI;1502;150213;AKTA LAHIR;MEMILIKI;JIWA;1;5005;2022
217;15;JAMBI;1502;150213;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;380;2022
361;15;JAMBI;1502;150213;AKTA LAHIR;UMUR 0-18;JIWA;1;5385;2022
685;15;JAMBI;1502;150213;AKTA LAHIR;MEMILIKI;JIWA;2;5399;2022
709;15;JAMBI;1502;150213;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;9;2022
81;15;JAMBI;1502;150214;AKTA LAHIR;MEMILIKI;JIWA;1;2716;2022
225;15;JAMBI;1502;150214;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;294;2022
369;15;JAMBI;1502;150214;AKTA LAHIR;UMUR 0-18;JIWA;1;3010;2022
686;15;JAMBI;1502;150214;AKTA LAHIR;MEMILIKI;JIWA;2;3032;2022
710;15;JAMBI;1502;150214;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;12;2022
84;15;JAMBI;1502;150215;AKTA LAHIR;MEMILIKI;JIWA;1;2337;2022
228;15;JAMBI;1502;150215;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;50;2022
372;15;JAMBI;1502;150215;AKTA LAHIR;UMUR 0-18;JIWA;1;2387;2022
687;15;JAMBI;1502;150215;AKTA LAHIR;MEMILIKI;JIWA;2;2419;2022
711;15;JAMBI;1502;150215;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;4;2022
77;15;JAMBI;1502;150216;AKTA LAHIR;MEMILIKI;JIWA;1;4157;2022
221;15;JAMBI;1502;150216;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;313;2022
365;15;JAMBI;1502;150216;AKTA LAHIR;UMUR 0-18;JIWA;1;4470;2022
688;15;JAMBI;1502;150216;AKTA LAHIR;MEMILIKI;JIWA;2;4479;2022
712;15;JAMBI;1502;150216;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;9;2022
75;15;JAMBI;1502;150217;AKTA LAHIR;MEMILIKI;JIWA;1;1952;2022
219;15;JAMBI;1502;150217;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;145;2022
363;15;JAMBI;1502;150217;AKTA LAHIR;UMUR 0-18;JIWA;1;2097;2022
689;15;JAMBI;1502;150217;AKTA LAHIR;MEMILIKI;JIWA;2;2087;2022
713;15;JAMBI;1502;150217;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;2;2022
67;15;JAMBI;1502;150218;AKTA LAHIR;MEMILIKI;JIWA;1;3261;2022
211;15;JAMBI;1502;150218;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;169;2022
355;15;JAMBI;1502;150218;AKTA LAHIR;UMUR 0-18;JIWA;1;3430;2022
690;15;JAMBI;1502;150218;AKTA LAHIR;MEMILIKI;JIWA;2;3492;2022
