id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;jumlah;bulan;tahun
152;15;JAMBI;1505;PEREMPUAN;0;FEBRUARI;2024
153;15;JAMBI;1506;PEREMPUAN;0;FEBRUARI;2024
154;15;JAMBI;1507;PEREMPUAN;0;FEBRUARI;2024
155;15;JAMBI;1571;PEREMPUAN;26;MARET;2024
156;15;JAMBI;1504;PEREMPUAN;0;MARET;2024
157;15;JAMBI;1509;PEREMPUAN;0;MARET;2024
158;15;JAMBI;1508;PEREMPUAN;1;MARET;2024
159;15;JAMBI;1502;PEREMPUAN;0;MARET;2024
160;15;JAMBI;1503;PEREMPUAN;4;MARET;2024
161;15;JAMBI;1501;PEREMPUAN;11;MARET;2024
162;15;JAMBI;1572;PEREMPUAN;0;MARET;2024
163;15;JAMBI;1505;PEREMPUAN;0;MARET;2024
164;15;JAMBI;1506;PEREMPUAN;2;MARET;2024
165;15;JAMBI;1507;PEREMPUAN;0;MARET;2024
166;15;JAMBI;1571;PEREMPUAN;31;APRIL;2024
167;15;JAMBI;1504;PEREMPUAN;0;APRIL;2024
168;15;JAMBI;1509;PEREMPUAN;0;APRIL;2024
169;15;JAMBI;1508;PEREMPUAN;2;APRIL;2024
170;15;JAMBI;1502;PEREMPUAN;0;APRIL;2024
171;15;JAMBI;1503;PEREMPUAN;1;APRIL;2024
172;15;JAMBI;1501;PEREMPUAN;0;APRIL;2024
173;15;JAMBI;1572;PEREMPUAN;0;APRIL;2024
174;15;JAMBI;1505;PEREMPUAN;0;APRIL;2024
175;15;JAMBI;1506;PEREMPUAN;1;APRIL;2024
176;15;JAMBI;1507;PEREMPUAN;0;APRIL;2024
177;15;JAMBI;1571;PEREMPUAN;561;MEI;2024
178;15;JAMBI;1504;PEREMPUAN;0;MEI;2024
179;15;JAMBI;1509;PEREMPUAN;0;MEI;2024
180;15;JAMBI;1508;PEREMPUAN;4;MEI;2024
181;15;JAMBI;1502;PEREMPUAN;0;MEI;2024
182;15;JAMBI;1503;PEREMPUAN;0;MEI;2024
183;15;JAMBI;1501;PEREMPUAN;7;MEI;2024
184;15;JAMBI;1572;PEREMPUAN;0;MEI;2024
185;15;JAMBI;1505;PEREMPUAN;0;MEI;2024
186;15;JAMBI;1506;PEREMPUAN;3;MEI;2024
187;15;JAMBI;1507;PEREMPUAN;0;MEI;2024
188;15;JAMBI;1571;PEREMPUAN;14;JUNI;2024
189;15;JAMBI;1504;PEREMPUAN;0;JUNI;2024
190;15;JAMBI;1509;PEREMPUAN;0;JUNI;2024
191;15;JAMBI;1508;PEREMPUAN;12;JUNI;2024
192;15;JAMBI;1502;PEREMPUAN;0;JUNI;2024
193;15;JAMBI;1503;PEREMPUAN;4;JUNI;2024
194;15;JAMBI;1501;PEREMPUAN;0;JUNI;2024
195;15;JAMBI;1572;PEREMPUAN;0;JUNI;2024
196;15;JAMBI;1505;PEREMPUAN;0;JUNI;2024
197;15;JAMBI;1506;PEREMPUAN;10;JUNI;2024
198;15;JAMBI;1507;PEREMPUAN;0;JUNI;2024
199;15;JAMBI;1571;PEREMPUAN;47;JULI;2024
200;15;JAMBI;1504;PEREMPUAN;0;JULI;2024
201;15;JAMBI;1509;PEREMPUAN;0;JULI;2024
202;15;JAMBI;1508;PEREMPUAN;1;JULI;2024
203;15;JAMBI;1502;PEREMPUAN;0;JULI;2024
204;15;JAMBI;1503;PEREMPUAN;2;JULI;2024
205;15;JAMBI;1501;PEREMPUAN;0;JULI;2024
206;15;JAMBI;1572;PEREMPUAN;0;JULI;2024
207;15;JAMBI;1505;PEREMPUAN;0;JULI;2024
208;15;JAMBI;1506;PEREMPUAN;2;JULI;2024
209;15;JAMBI;1507;PEREMPUAN;0;JULI;2024
210;15;JAMBI;1571;PEREMPUAN;20;AGUSTUS;2024
211;15;JAMBI;1504;PEREMPUAN;4;AGUSTUS;2024
212;15;JAMBI;1509;PEREMPUAN;0;AGUSTUS;2024
213;15;JAMBI;1508;PEREMPUAN;2;AGUSTUS;2024
214;15;JAMBI;1502;PEREMPUAN;0;AGUSTUS;2024
215;15;JAMBI;1503;PEREMPUAN;0;AGUSTUS;2024
216;15;JAMBI;1501;PEREMPUAN;0;AGUSTUS;2024
217;15;JAMBI;1572;PEREMPUAN;0;AGUSTUS;2024
218;15;JAMBI;1505;PEREMPUAN;0;AGUSTUS;2024
219;15;JAMBI;1506;PEREMPUAN;0;AGUSTUS;2024
220;15;JAMBI;1507;PEREMPUAN;0;AGUSTUS;2024
221;15;JAMBI;1571;PEREMPUAN;28;SEPTEMBER;2024
222;15;JAMBI;1504;PEREMPUAN;17;SEPTEMBER;2024
223;15;JAMBI;1509;PEREMPUAN;0;SEPTEMBER;2024
224;15;JAMBI;1508;PEREMPUAN;0;SEPTEMBER;2024
225;15;JAMBI;1502;PEREMPUAN;0;SEPTEMBER;2024
226;15;JAMBI;1503;PEREMPUAN;1;SEPTEMBER;2024
227;15;JAMBI;1501;PEREMPUAN;0;SEPTEMBER;2024
228;15;JAMBI;1572;PEREMPUAN;0;SEPTEMBER;2024
229;15;JAMBI;1505;PEREMPUAN;0;SEPTEMBER;2024
230;15;JAMBI;1506;PEREMPUAN;0;SEPTEMBER;2024
231;15;JAMBI;1507;PEREMPUAN;0;SEPTEMBER;2024
232;15;JAMBI;1571;PEREMPUAN;15;OKTOBER;2024
233;15;JAMBI;1504;PEREMPUAN;1;OKTOBER;2024
234;15;JAMBI;1509;PEREMPUAN;0;OKTOBER;2024
235;15;JAMBI;1508;PEREMPUAN;5;OKTOBER;2024
236;15;JAMBI;1502;PEREMPUAN;0;OKTOBER;2024
237;15;JAMBI;1503;PEREMPUAN;0;OKTOBER;2024
238;15;JAMBI;1501;PEREMPUAN;0;OKTOBER;2024
239;15;JAMBI;1572;PEREMPUAN;0;OKTOBER;2024
240;15;JAMBI;1505;PEREMPUAN;0;OKTOBER;2024
241;15;JAMBI;1506;PEREMPUAN;0;OKTOBER;2024
242;15;JAMBI;1507;PEREMPUAN;0;OKTOBER;2024
243;15;JAMBI;1571;PEREMPUAN;12;NOVEMBER;2024
244;15;JAMBI;1504;PEREMPUAN;3;NOVEMBER;2024
245;15;JAMBI;1509;PEREMPUAN;0;NOVEMBER;2024
246;15;JAMBI;1508;PEREMPUAN;0;NOVEMBER;2024
247;15;JAMBI;1502;PEREMPUAN;0;NOVEMBER;2024
248;15;JAMBI;1503;PEREMPUAN;0;NOVEMBER;2024
249;15;JAMBI;1501;PEREMPUAN;0;NOVEMBER;2024
250;15;JAMBI;1572;PEREMPUAN;0;NOVEMBER;2024
251;15;JAMBI;1505;PEREMPUAN;0;NOVEMBER;2024
252;15;JAMBI;1506;PEREMPUAN;0;NOVEMBER;2024
253;15;JAMBI;1507;PEREMPUAN;0;NOVEMBER;2024
254;15;JAMBI;1571;PEREMPUAN;12;DESEMBER;2024
255;15;JAMBI;1504;PEREMPUAN;31;DESEMBER;2024
256;15;JAMBI;1509;PEREMPUAN;94;DESEMBER;2024
257;15;JAMBI;1508;PEREMPUAN;0;DESEMBER;2024
258;15;JAMBI;1502;PEREMPUAN;0;DESEMBER;2024
259;15;JAMBI;1503;PEREMPUAN;9;DESEMBER;2024
260;15;JAMBI;1501;PEREMPUAN;0;DESEMBER;2024
261;15;JAMBI;1572;PEREMPUAN;0;DESEMBER;2024
262;15;JAMBI;1505;PEREMPUAN;0;DESEMBER;2024
263;15;JAMBI;1506;PEREMPUAN;10;DESEMBER;2024
264;15;JAMBI;1507;PEREMPUAN;0;DESEMBER;2024
