id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kategori_terdampak_bencana;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
50;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0;Rp18.000.000,00;2025
51;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;SARANA IBADAH;UNIT;0;Rp18.000.000,00;2025
52;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;SARANA KESEHATAN;UNIT;0;Rp18.000.000,00;2025
53;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;PERKANTORAN;UNIT;0;Rp18.000.000,00;2025
54;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;BANGUNAN LAIN;UNIT;0;Rp18.000.000,00;2025
55;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;JEMBATAN;UNIT;0;Rp18.000.000,00;2025
56;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;JALAN;KM;0;Rp18.000.000,00;2025
57;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;SAWAH;HA;0;Rp18.000.000,00;2025
58;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;KEBUN/HUTAN;HA;0;Rp18.000.000,00;2025
59;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;KOLAM;HA;0;Rp18.000.000,00;2025
60;15;JAMBI ;1572;157107;15/02/2025;KERUSAKAN;IRIGASI;HA;0;Rp18.000.000,00;2025
61;15;JAMBI ;1502;150202;01/02/2025;KORBAN;MENINGGAL;JIWA;0;Rp50.000.000,00;2025
62;15;JAMBI ;1502;150202;01/02/2025;KORBAN;HILANG;JIWA;0;Rp50.000.000,00;2025
63;15;JAMBI ;1502;150202;01/02/2025;KORBAN;LUKA;JIWA;0;Rp50.000.000,00;2025
64;15;JAMBI ;1502;150202;01/02/2025;KORBAN;MENDERITA;JIWA;0;Rp50.000.000,00;2025
65;15;JAMBI ;1502;150202;01/02/2025;KORBAN;MENGUNGSI;JIWA;0;Rp50.000.000,00;2025
66;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;RUMAH RB;UNIT;0;Rp50.000.000,00;2025
67;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;RUMAH RS;UNIT;0;Rp50.000.000,00;2025
68;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;RUMAH RR;UNIT;0;Rp50.000.000,00;2025
69;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;RUMAH TERENDAM;UNIT;0;Rp50.000.000,00;2025
70;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0;Rp50.000.000,00;2025
71;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;SARANA IBADAH;UNIT;0;Rp50.000.000,00;2025
72;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;SARANA KESEHATAN;UNIT;0;Rp50.000.000,00;2025
73;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;PERKANTORAN;UNIT;0;Rp50.000.000,00;2025
74;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;BANGUNAN LAIN;UNIT;0;Rp50.000.000,00;2025
75;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;JEMBATAN;UNIT;0;Rp50.000.000,00;2025
76;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;JALAN;KM;0;Rp50.000.000,00;2025
77;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;SAWAH;HA;0;Rp50.000.000,00;2025
78;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;KEBUN/HUTAN;HA;0;Rp50.000.000,00;2025
79;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;KOLAM;HA;0;Rp50.000.000,00;2025
80;15;JAMBI ;1502;150202;01/02/2025;KERUSAKAN;IRIGASI;HA;0;Rp50.000.000,00;2025
81;15;JAMBI ;1501;150115;01/02/2025;KORBAN;MENINGGAL;JIWA;0;Rp0,00;2025
82;15;JAMBI ;1501;150115;01/02/2025;KORBAN;HILANG;JIWA;0;Rp0,00;2025
83;15;JAMBI ;1501;150115;01/02/2025;KORBAN;LUKA;JIWA;0;Rp0,00;2025
84;15;JAMBI ;1501;150115;01/02/2025;KORBAN;MENDERITA;JIWA;9;Rp0,00;2025
85;15;JAMBI ;1501;150115;01/02/2025;KORBAN;MENGUNGSI;JIWA;0;Rp0,00;2025
86;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;RUMAH RB;UNIT;0;Rp0,00;2025
87;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;RUMAH RS;UNIT;0;Rp0,00;2025
88;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;RUMAH RR;UNIT;0;Rp0,00;2025
